QUARTER,TIME_REMAINING,PORTLAND_ACTION,PHILADELPHIA_ACTION,PORTLAND_SCORE,PHILADELPHIA_SCORE
4,7:51.0,,Shooting foul by E. Freedom (drawn by B. Simmons),111,89
4,7:51.0,,B. Simmons makes free throw 1 of 2,111,90
4,7:51.0,,B. Simmons makes free throw 2 of 2,111,91
4,7:35.0,C. McCollum misses 2-pt jump shot from 19 ft,,111,91
4,7:32.0,,Defensive rebound by B. Simmons,111,91
4,7:26.0,,B. Simmons makes 2-pt layup from 1 ft,111,93
4,7:05.0,C. McCollum makes 2-pt jump shot from 19 ft (assist by E. Freedom),,113,93
4,6:51.0,,B. Simmons makes 2-pt jump shot from 8 ft (assist by J. Redick),113,95
4,6:32.0,R. Hood misses 2-pt jump shot from 16 ft,,113,95
4,6:29.0,,Defensive rebound by T. Harris,113,95
4,6:23.0,,J. Redick misses 3-pt jump shot from 27 ft,113,95
4,6:20.0,Defensive rebound by E. Freedom,,113,95
4,6:08.0,S. Curry makes 2-pt layup from 2 ft,,115,95
4,5:52.0,,T. Harris makes 2-pt jump shot from 18 ft,115,97
4,5:25.0,J. Layman makes 2-pt dunk from 1 ft (assist by C. McCollum),,117,97
4,5:24.0,,Philadelphia full timeout,117,97
4,5:24.0,,T. McConnell enters the game for J. Butler,117,97
4,5:24.0,,J. Simmons enters the game for J. Redick,117,97
4,5:14.0,,Turnover by B. Simmons (bad pass; steal by R. Hood),117,97
4,5:06.0,Offensive foul by J. Layman (drawn by B. Simmons),,117,97
4,5:06.0,Turnover by J. Layman (offensive foul),,117,97
4,4:53.0,,T. McConnell misses 2-pt jump shot from 23 ft,117,97
4,4:51.0,Defensive rebound by J. Layman,,117,97
4,4:33.0,C. McCollum makes 2-pt layup from 4 ft,,119,97
4,4:24.0,,J. Simmons makes 2-pt layup from 2 ft,119,99
4,4:03.0,Turnover by E. Freedom (lost ball; steal by J. Simmons),,119,99
4,3:56.0,,T. McConnell misses 2-pt jump shot from 18 ft,119,99
4,3:52.0,Defensive rebound by R. Hood,,119,99
4,3:48.0,Personal take foul by T. Harris (drawn by S. Curry),,119,99
4,3:48.0,Z. Collins enters the game for E. Freedom,,119,99
4,3:48.0,G. Trent enters the game for C. McCollum,,119,99
4,3:48.0,,J. Bolden enters the game for T. Harris,119,99
4,3:48.0,,J. Ennis enters the game for B. Simmons,119,99
4,3:33.0,Z. Collins makes 2-pt layup from 2 ft (assist by S. Curry),,121,99
4,3:23.0,,J. Ennis misses 3-pt jump shot from 26 ft,121,99
4,3:21.0,,Offensive rebound by T. McConnell,121,99
4,3:21.0,S. Labissière enters the game for R. Hood,,121,99
4,3:17.0,,J. Simmons makes 2-pt jump shot from 10 ft (assist by T. McConnell),121,101
4,3:02.0,J. Layman misses 3-pt jump shot from 26 ft,,121,101
4,2:59.0,,Defensive rebound by M. Scott,121,101
4,2:50.0,,Shooting foul by S. Labissière (drawn by J. Simmons),121,101
4,2:50.0,,J. Simmons misses free throw 1 of 2,121,101
4,2:50.0,,Offensive rebound by Team,121,101
4,2:50.0,,J. Simmons makes free throw 2 of 2,121,102
4,2:35.0,,Violation by Team (kicked ball),121,102
4,2:32.0,Turnover by S. Labissière (traveling),,121,102
4,2:20.0,,J. Bolden makes 2-pt layup from 1 ft (assist by J. Simmons),121,104
4,2:08.0,Z. Collins misses 3-pt jump shot from 27 ft,,121,104
4,2:08.0,Offensive rebound by Team,,121,104
4,2:08.0,,Loose ball foul by M. Scott (drawn by S. Labissière),121,104
4,2:02.0,S. Curry makes 2-pt jump shot from 21 ft (assist by Z. Collins),,123,104
4,1:52.0,,J. Bolden makes 3-pt jump shot from 26 ft (assist by M. Scott),123,107
4,1:43.0,G. Trent misses 3-pt jump shot from 26 ft,,123,107
4,1:40.0,,Defensive rebound by J. Bolden,123,107
4,1:36.0,,J. Simmons makes 3-pt jump shot from 23 ft (assist by T. McConnell),123,110
4,1:28.0,Shooting foul by J. Simmons (drawn by S. Curry),,123,110
4,1:28.0,S. Curry makes free throw 1 of 2,,124,110
4,1:28.0,S. Curry makes free throw 2 of 2,,125,110
4,1:14.0,,M. Scott makes 3-pt jump shot from 25 ft (assist by T. McConnell),125,113
4,0:52.0,Z. Collins makes 2-pt hook shot from 6 ft,,127,113
4,0:47.0,,J. Simmons misses 3-pt jump shot from 26 ft,127,113
4,0:43.0,Defensive rebound by Team,,127,113
4,0:24.0,S. Curry makes 3-pt jump shot from 27 ft,,130,113
4,0:05.0,,T. McConnell misses 2-pt layup from 1 ft (block by S. Labissière),130,113
4,0:03.0,,Offensive rebound by M. Scott,130,113
4,0:03.0,,M. Scott misses 2-pt layup at rim,130,113
4,0:03.0,,Offensive rebound by M. Scott,130,113
4,0:03.0,,M. Scott makes 2-pt layup from 1 ft,130,115
