QUARTER,TIME_REMAINING,CLEVELAND_ACTION,PHILADELPHIA_ACTION,CLEVELAND_SCORE,PHILADELPHIA_SCORE
4,3:14.0,C. Sexton makes 2-pt layup from 2 ft,,95,96
4,2:58.0,,M. Scott misses 3-pt jump shot from 27 ft,95,96
4,2:55.0,Defensive rebound by C. Osman,,95,96
4,2:53.0,C. Osman makes 2-pt layup from 2 ft,,97,96
4,2:37.0,,M. Scott makes 3-pt jump shot from 24 ft (assist by J. Embiid),97,99
4,2:09.0,J. Clarkson misses 2-pt jump shot from 3 ft,,97,99
4,2:07.0,,Defensive rebound by J. Embiid,97,99
4,1:48.0,,J. Embiid misses 3-pt jump shot from 27 ft,97,99
4,1:46.0,,Offensive rebound by B. Simmons,97,99
4,1:46.0,,Shooting foul by D. Nwaba (drawn by B. Simmons),97,99
4,1:46.0,,B. Simmons makes free throw 1 of 2,97,100
4,1:46.0,,B. Simmons misses free throw 2 of 2,97,100
4,1:42.0,Defensive rebound by C. Osman,,97,100
4,1:23.0,J. Clarkson makes 2-pt layup from 2 ft,,99,100
4,1:07.0,,T. Harris misses 3-pt jump shot from 24 ft,99,100
4,1:04.0,,Offensive rebound by Team,99,100
4,0:53.0,,J. Embiid misses 2-pt jump shot from 10 ft,99,100
4,0:51.0,,Offensive rebound by J. Embiid,99,100
4,0:51.0,,J. Embiid makes 2-pt dunk from 1 ft,99,102
4,0:33.0,J. Clarkson misses 2-pt layup from 2 ft,,99,102
4,0:33.0,Offensive rebound by Team,,99,102
4,0:33.0,Cleveland full timeout,,99,102
4,0:31.0,A. Žižić misses 2-pt layup from 1 ft (block by J. Embiid),,99,102
4,0:29.0,,Defensive rebound by J. Embiid,99,102
4,0:29.0,,Personal take foul by C. Osman (drawn by J. Embiid),99,102
4,0:29.0,,J. Embiid makes free throw 1 of 2,99,103
4,0:29.0,,J. Ennis enters the game for J. Redick,99,103
4,0:29.0,,J. Embiid makes free throw 2 of 2,99,104
4,0:23.0,C. Osman misses 3-pt jump shot from 25 ft,,99,104
4,0:19.0,,Defensive rebound by J. Embiid,99,104
4,0:19.0,,Personal take foul by C. Sexton (drawn by J. Embiid),99,104
4,0:19.0,,J. Embiid makes free throw 1 of 2,99,105
4,0:19.0,,J. Embiid makes free throw 2 of 2,99,106
4,0:19.0,Cleveland full timeout,,99,106
4,0:19.0,N. Stauskas enters the game for D. Nwaba,,99,106
4,0:16.0,J. Clarkson misses 3-pt jump shot from 29 ft,,99,106
4,0:12.0,,Defensive rebound by J. Embiid,99,106
