QUARTER,TIME_REMAINING,WASHINGTON_ACTION,DALLAS_ACTION,WASHINGTON_SCORE,DALLAS_SCORE
4,3:50.0,,L. Dončić makes 2-pt jump shot from 14 ft,95,108
4,3:31.0,Shooting foul by D. Smith (drawn by J. Wall),,95,108
4,3:31.0,J. Wall misses free throw 1 of 2,,95,108
4,3:31.0,Offensive rebound by Team,,95,108
4,3:31.0,J. Wall makes free throw 2 of 2,,96,108
4,3:10.0,,H. Barnes makes 2-pt jump shot from 16 ft (assist by D. Smith),96,110
4,2:49.0,M. Morris misses 3-pt jump shot from 25 ft,,96,110
4,2:47.0,,Defensive rebound by D. Jordan,96,110
4,2:37.0,,Shooting foul by B. Beal (drawn by W. Matthews),96,110
4,2:37.0,,W. Matthews makes free throw 1 of 3,96,111
4,2:37.0,,W. Matthews makes free throw 2 of 3,96,112
4,2:37.0,Washington full timeout,,96,112
4,2:37.0,,W. Matthews makes free throw 3 of 3,96,113
4,2:27.0,O. Porter misses 3-pt jump shot from 23 ft,,96,113
4,2:25.0,,Defensive rebound by H. Barnes,96,113
4,2:13.0,,D. Smith makes 2-pt layup from 2 ft,96,115
4,1:57.0,J. Wall makes 2-pt layup from 1 ft (assist by M. Morris),,98,115
4,1:40.0,,H. Barnes misses 2-pt jump shot from 13 ft,98,115
4,1:37.0,Defensive rebound by M. Morris,,98,115
4,1:30.0,J. Wall misses 2-pt jump shot from 19 ft,,98,115
4,1:28.0,,Defensive rebound by H. Barnes,98,115
4,1:16.0,,Personal foul by B. Beal (drawn by L. Dončić),98,115
4,1:16.0,,L. Dončić makes free throw 1 of 2,98,116
4,1:16.0,T. Brown enters the game for B. Beal,,98,116
4,1:16.0,T. Bryant enters the game for D. Howard,,98,116
4,1:16.0,J. Green enters the game for M. Morris,,98,116
4,1:16.0,K. Oubre enters the game for O. Porter,,98,116
4,1:16.0,J. Smith enters the game for J. Wall,,98,116
4,1:16.0,,R. Broekhoff enters the game for H. Barnes,98,116
4,1:16.0,,J. Brunson enters the game for D. Jordan,98,116
4,1:16.0,,S. Mejri enters the game for W. Matthews,98,116
4,1:16.0,,L. Dončić makes free throw 2 of 2,98,117
4,1:01.0,Turnover by J. Green (bad pass),,98,117
4,1:01.0,,M. Kleber enters the game for L. Dončić,98,117
4,0:44.0,,D. Smith makes 2-pt dunk at rim,98,119
4,0:40.0,Personal take foul by D. Smith (drawn by T. Brown),,98,119
4,0:40.0,T. Brown makes free throw 1 of 2,,99,119
4,0:40.0,,D. Powell enters the game for D. Smith,99,119
4,0:40.0,T. Brown makes free throw 2 of 2,,100,119
4,0:29.0,,M. Kleber misses 3-pt jump shot from 25 ft,100,119
4,0:25.0,Defensive rebound by J. Green,,100,119
4,0:21.0,T. Brown misses 2-pt layup from 2 ft,,100,119
4,0:19.0,,Defensive rebound by D. Powell,100,119
