QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,MILWAUKEE_ACTION,OKLAHOMA CITY_SCORE,MILWAUKEE_SCORE
4,5:34.0,,Personal foul by T. Ferguson (drawn by D. Wilson),114,100
4,5:22.0,,D. Wilson misses 2-pt jump shot from 22 ft,114,100
4,5:19.0,Defensive rebound by R. Westbrook,,114,100
4,5:15.0,R. Westbrook misses 2-pt layup from 2 ft,,114,100
4,5:12.0,,Defensive rebound by B. Colson,114,100
4,5:06.0,,P. Connaughton misses 3-pt jump shot from 27 ft,114,100
4,5:03.0,Defensive rebound by D. Schröder,,114,100
4,4:52.0,D. Schröder makes 3-pt jump shot from 24 ft (assist by T. Ferguson),,117,100
4,4:33.0,,S. Brown misses 3-pt jump shot from 27 ft,117,100
4,4:30.0,Defensive rebound by D. Schröder,,117,100
4,4:27.0,D. Schröder makes 3-pt jump shot from 27 ft,,120,100
4,4:15.0,,T. Frazier makes 2-pt jump shot from 11 ft,120,102
4,4:15.0,,Shooting foul by D. Schröder (drawn by T. Frazier),120,102
4,4:15.0,,G. Hill enters the game for P. Connaughton,120,102
4,4:15.0,,T. Frazier makes free throw 1 of 1,120,103
4,4:09.0,D. Schröder makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,123,103
4,4:07.0,,Milwaukee full timeout,123,103
4,3:47.0,,G. Hill misses 3-pt jump shot from 28 ft,123,103
4,3:40.0,,Offensive rebound by B. Colson,123,103
4,3:40.0,,B. Colson makes 2-pt dunk from 1 ft,123,105
4,3:25.0,D. Schröder misses 3-pt jump shot from 28 ft,,123,105
4,3:25.0,,Defensive rebound by Team,123,105
4,3:03.0,,Shooting foul by M. Morris (drawn by G. Hill),123,105
4,3:03.0,,Offensive rebound by Team,123,105
4,3:03.0,,G. Hill misses free throw 1 of 2,123,105
4,3:03.0,,G. Hill makes free throw 2 of 2,123,106
4,2:50.0,J. Grant misses 2-pt jump shot from 15 ft,,123,106
4,2:46.0,,Defensive rebound by S. Brown,123,106
4,2:41.0,,Personal foul by M. Morris (drawn by T. Frazier),123,106
4,2:41.0,,T. Frazier makes free throw 1 of 2,123,107
4,2:41.0,R. Felton enters the game for M. Morris,,123,107
4,2:41.0,,T. Frazier makes free throw 2 of 2,123,108
4,2:26.0,Shooting foul by S. Brown (drawn by R. Westbrook),,123,108
4,2:26.0,R. Westbrook misses free throw 1 of 2,,123,108
4,2:26.0,Offensive rebound by Team,,123,108
4,2:26.0,,Defensive rebound by B. Colson,123,108
4,2:26.0,R. Westbrook misses free throw 2 of 2,,123,108
4,2:16.0,,T. Frazier makes 3-pt jump shot from 27 ft,123,111
4,2:05.0,J. Grant misses 2-pt layup from 3 ft (block by T. Frazier),,123,111
4,2:05.0,,Defensive rebound by G. Hill,123,111
4,2:03.0,,Shooting foul by R. Felton (drawn by S. Brown),123,111
4,2:03.0,,S. Brown misses free throw 1 of 2,123,111
4,2:03.0,,Offensive rebound by Team,123,111
4,2:03.0,,S. Brown makes free throw 2 of 2,123,112
4,1:54.0,R. Westbrook makes 2-pt layup from 2 ft,,125,112
4,1:40.0,,Shooting foul by R. Westbrook (drawn by S. Brown),125,112
4,1:40.0,,S. Brown makes free throw 1 of 2,125,113
4,1:40.0,,S. Brown makes free throw 2 of 2,125,114
4,1:29.0,D. Schröder misses 3-pt jump shot from 25 ft,,125,114
4,1:25.0,,Defensive rebound by S. Brown,125,114
4,1:20.0,,T. Frazier misses 2-pt layup from 4 ft,125,114
4,1:17.0,Defensive rebound by R. Westbrook,,125,114
4,1:15.0,Turnover by R. Westbrook (bad pass),,125,114
4,1:06.0,,T. Frazier misses 2-pt jump shot from 18 ft,125,114
4,1:03.0,Defensive rebound by R. Westbrook,,125,114
4,0:49.0,J. Grant makes 2-pt jump shot from 14 ft (assist by T. Ferguson),,127,114
4,0:34.0,,Personal foul by R. Westbrook (drawn by B. Colson),127,114
4,0:34.0,,B. Colson makes free throw 1 of 2,127,115
4,0:34.0,D. Burton enters the game for J. Grant,,127,115
4,0:34.0,J. Evans enters the game for D. Schröder,,127,115
4,0:34.0,A. Nader enters the game for R. Westbrook,,127,115
4,0:34.0,,B. Colson makes free throw 2 of 2,127,116
4,0:15.0,J. Evans misses 3-pt jump shot from 26 ft,,127,116
4,0:12.0,,Defensive rebound by B. Colson,127,116
