QUARTER,TIME_REMAINING,CHICAGO_ACTION,SAN ANTONIO_ACTION,CHICAGO_SCORE,SAN ANTONIO_SCORE
4,2:38.0,Defensive rebound by L. Markkanen,,88,90
4,2:13.0,L. Markkanen makes 2-pt jump shot from 17 ft,,90,90
4,1:53.0,,D. DeRozan misses 2-pt layup from 3 ft (block by L. Markkanen),90,90
4,1:53.0,,Offensive rebound by Team,90,90
4,1:51.0,,Shooting foul by W. Carter (drawn by L. Aldridge),90,90
4,1:51.0,,L. Aldridge misses free throw 1 of 2,90,90
4,1:51.0,,Offensive rebound by Team,90,90
4,1:51.0,B. Portis enters the game for W. Carter,,90,90
4,1:51.0,,L. Aldridge makes free throw 2 of 2,90,91
4,1:39.0,B. Portis makes 2-pt jump shot from 9 ft (assist by K. Dunn),,92,91
4,1:15.0,,D. DeRozan misses 3-pt jump shot from 26 ft,92,91
4,1:12.0,,Offensive rebound by R. Gay,92,91
4,0:59.0,,R. Gay misses 2-pt layup from 1 ft (block by B. Portis),92,91
4,0:56.0,Defensive rebound by K. Dunn,,92,91
4,0:38.0,K. Dunn makes 2-pt jump shot from 14 ft,,94,91
4,0:38.0,,San Antonio full timeout,94,91
4,0:30.0,,D. DeRozan makes 2-pt layup from 1 ft (assist by R. Gay),94,93
4,0:23.0,Chicago full timeout,,94,93
4,0:08.0,K. Dunn makes 2-pt jump shot from 18 ft,,96,93
4,0:08.0,,San Antonio full timeout,96,93
4,0:08.0,,B. Forbes enters the game for P. Mills,96,93
4,0:04.0,,B. Forbes misses 3-pt jump shot from 24 ft,96,93
4,0:03.0,Defensive rebound by K. Dunn,,96,93
4,0:03.0,Personal foul by L. Aldridge (drawn by K. Dunn),,96,93
4,0:03.0,K. Dunn makes free throw 1 of 2,,97,93
4,0:03.0,K. Dunn makes free throw 2 of 2,,98,93
4,0:00.0,,B. Forbes misses 3-pt jump shot from 31 ft,98,93
4,0:00.0,,Offensive rebound by Team,98,93
