QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,PHILADELPHIA_ACTION,NEW ORLEANS_SCORE,PHILADELPHIA_SCORE
4,10:05.0,,Offensive foul by J. Embiid (drawn by J. Randle),88,104
4,10:05.0,,Turnover by J. Embiid (offensive foul),88,104
4,10:05.0,W. Johnson enters the game for J. Randle,,88,104
4,9:55.0,Shooting foul by L. Shamet (drawn by J. Holiday),,88,104
4,9:55.0,J. Holiday makes free throw 1 of 2,,89,104
4,9:55.0,J. Holiday misses free throw 2 of 2,,89,104
4,9:53.0,,Defensive rebound by J. Embiid,89,104
4,9:45.0,,Personal foul by A. Davis (drawn by J. Embiid),89,104
4,9:45.0,,J. Butler enters the game for L. Shamet,89,104
4,9:36.0,,Turnover by J. Embiid (lost ball; steal by A. Davis),89,104
4,9:30.0,Shooting foul by J. Embiid (drawn by J. Holiday),,89,104
4,9:30.0,J. Holiday makes free throw 1 of 2,,90,104
4,9:30.0,J. Holiday makes free throw 2 of 2,,91,104
4,9:17.0,,J. Redick misses 3-pt jump shot from 27 ft,91,104
4,9:12.0,Defensive rebound by W. Johnson,,91,104
4,9:07.0,E. Moore makes 3-pt jump shot from 23 ft (assist by F. Jackson),,94,104
4,9:07.0,Shooting foul by J. Redick (drawn by E. Moore),,94,104
4,9:07.0,E. Moore misses free throw 1 of 1,,94,104
4,9:07.0,,Defensive rebound by J. Embiid,94,104
4,8:47.0,,J. Embiid misses 2-pt jump shot from 10 ft,94,104
4,8:45.0,Defensive rebound by F. Jackson,,94,104
4,8:41.0,F. Jackson makes 2-pt layup from 2 ft,,96,104
4,8:41.0,,Philadelphia full timeout,96,104
4,8:41.0,,W. Chandler enters the game for J. Embiid,96,104
4,8:41.0,,B. Simmons enters the game for T. McConnell,96,104
4,8:34.0,,J. Butler misses 3-pt jump shot from 27 ft,96,104
4,8:30.0,Defensive rebound by A. Davis,,96,104
4,8:08.0,Shooting foul by J. Redick (drawn by J. Holiday),,96,104
4,8:08.0,J. Holiday makes free throw 1 of 2,,97,104
4,8:08.0,,L. Shamet enters the game for J. Redick,97,104
4,8:08.0,J. Holiday makes free throw 2 of 2,,98,104
4,7:56.0,,J. Butler misses 2-pt layup from 2 ft,98,104
4,7:54.0,Defensive rebound by J. Holiday,,98,104
4,7:50.0,E. Moore misses 2-pt layup from 2 ft (block by J. Butler),,98,104
4,7:50.0,Offensive rebound by Team,,98,104
4,7:47.0,E. Moore makes 2-pt layup from 1 ft (assist by J. Holiday),,100,104
4,7:26.0,,J. Butler misses 3-pt jump shot from 27 ft,100,104
4,7:21.0,,Offensive rebound by J. Butler,100,104
4,7:19.0,,J. Butler misses 2-pt layup from 1 ft (block by A. Davis),100,104
4,7:18.0,,Offensive rebound by W. Chandler,100,104
4,7:18.0,,W. Chandler makes 2-pt layup at rim,100,106
4,7:18.0,New Orleans full timeout,,100,106
4,7:05.0,J. Holiday makes 2-pt layup from 3 ft,,102,106
4,6:44.0,,L. Shamet makes 3-pt jump shot from 30 ft (assist by B. Simmons),102,109
4,6:30.0,J. Holiday makes 2-pt layup from 2 ft,,104,109
4,6:23.0,,Personal foul by E. Moore (drawn by W. Chandler),104,109
4,6:06.0,,J. Butler makes 2-pt jump shot from 6 ft (assist by W. Chandler),104,111
4,5:52.0,E. Moore misses 2-pt jump shot from 11 ft,,104,111
4,5:50.0,Offensive rebound by Team,,104,111
4,5:48.0,W. Johnson misses 2-pt jump shot from 19 ft,,104,111
4,5:43.0,,Defensive rebound by L. Shamet,104,111
4,5:38.0,,B. Simmons misses 2-pt layup from 2 ft (block by A. Davis),104,111
4,5:35.0,Defensive rebound by J. Holiday,,104,111
4,5:25.0,J. Holiday misses 3-pt jump shot from 26 ft,,104,111
4,5:22.0,Offensive rebound by W. Johnson,,104,111
4,5:19.0,W. Johnson makes 2-pt layup from 2 ft,,106,111
4,5:08.0,,Personal foul by F. Jackson (drawn by L. Shamet),106,111
4,5:08.0,,J. Redick enters the game for L. Shamet,106,111
4,4:57.0,,J. Butler makes 2-pt jump shot from 17 ft,106,113
4,4:47.0,J. Holiday misses 2-pt jump shot from 6 ft,,106,113
4,4:44.0,Offensive rebound by J. Holiday,,106,113
4,4:40.0,Shooting foul by M. Muscala (drawn by A. Davis),,106,113
4,4:40.0,A. Davis makes free throw 1 of 2,,107,113
4,4:40.0,J. Randle enters the game for W. Johnson,,107,113
4,4:40.0,,J. Embiid enters the game for M. Muscala,107,113
4,4:40.0,A. Davis makes free throw 2 of 2,,108,113
4,4:25.0,,J. Butler misses 2-pt layup from 1 ft (block by J. Holiday),108,113
4,4:23.0,Defensive rebound by F. Jackson,,108,113
4,4:16.0,Turnover by J. Holiday (bad pass; steal by J. Butler),,108,113
4,4:03.0,,J. Embiid makes 3-pt jump shot from 26 ft (assist by W. Chandler),108,116
4,3:42.0,J. Holiday misses 2-pt layup from 2 ft,,108,116
4,3:41.0,Offensive rebound by J. Randle,,108,116
4,3:37.0,F. Jackson misses 3-pt jump shot from 27 ft,,108,116
4,3:33.0,,Defensive rebound by J. Embiid,108,116
4,3:30.0,,Philadelphia full timeout,108,116
4,3:30.0,N. Mirotić enters the game for F. Jackson,,108,116
4,3:19.0,,Turnover by J. Embiid (3 sec),108,116
4,3:08.0,J. Holiday misses 3-pt jump shot from 26 ft,,108,116
4,3:04.0,,Defensive rebound by W. Chandler,108,116
4,2:51.0,,Turnover by B. Simmons (bad pass),108,116
4,2:41.0,E. Moore makes 2-pt jump shot from 6 ft (assist by J. Holiday),,110,116
4,2:28.0,,W. Chandler makes 3-pt jump shot from 27 ft (assist by B. Simmons),110,119
4,2:09.0,E. Moore makes 2-pt layup from 2 ft (assist by J. Holiday),,112,119
4,1:46.0,,Turnover by J. Embiid (lost ball; steal by A. Davis),112,119
4,1:34.0,E. Moore makes 3-pt jump shot from 26 ft (assist by J. Randle),,115,119
4,1:21.0,,B. Simmons misses 2-pt layup from 1 ft (block by J. Randle),115,119
4,1:18.0,Defensive rebound by N. Mirotić,,115,119
4,1:08.0,N. Mirotić makes 3-pt jump shot from 28 ft (assist by J. Randle),,118,119
4,0:53.0,,J. Redick makes 2-pt layup from 3 ft (assist by B. Simmons),118,121
4,0:43.0,A. Davis misses 3-pt jump shot from 27 ft,,118,121
4,0:39.0,,Defensive rebound by W. Chandler,118,121
4,0:14.0,,B. Simmons misses 2-pt jump shot from 9 ft,118,121
4,0:13.0,,Offensive rebound by J. Embiid,118,121
4,0:13.0,,J. Embiid misses 2-pt layup at rim,118,121
4,0:13.0,Defensive rebound by N. Mirotić,,118,121
4,0:13.0,New Orleans full timeout,,118,121
4,0:13.0,,T. McConnell enters the game for J. Redick,118,121
4,0:13.0,New Orleans full timeout,,118,121
4,0:13.0,D. Miller enters the game for J. Randle,,118,121
4,0:09.0,J. Holiday misses 2-pt layup from 3 ft (block by J. Embiid),,118,121
4,0:08.0,,Defensive rebound by B. Simmons,118,121
4,0:06.0,,Turnover by B. Simmons (bad pass; steal by A. Davis),118,121
4,0:02.0,Shooting foul by J. Embiid (drawn by A. Davis),,118,121
4,0:02.0,A. Davis makes free throw 1 of 3,,119,121
4,0:02.0,J. Okafor enters the game for D. Miller,,119,121
4,0:02.0,J. Randle enters the game for E. Moore,,119,121
4,0:02.0,,A. Johnson enters the game for T. McConnell,119,121
4,0:02.0,A. Davis makes free throw 2 of 3,,120,121
4,0:02.0,A. Davis misses free throw 3 of 3,,120,121
4,0:02.0,Offensive rebound by A. Davis,,120,121
