QUARTER,TIME_REMAINING,LA CLIPPERS_ACTION,BOSTON_ACTION,LA CLIPPERS_SCORE,BOSTON_SCORE
4,9:42.0,,G. Hayward makes 2-pt jump shot from 18 ft,86,93
4,9:31.0,M. Harrell makes 2-pt layup from 2 ft (assist by L. Williams),,88,93
4,9:31.0,Shooting foul by M. Morris (drawn by M. Harrell),,88,93
4,9:31.0,M. Harrell makes free throw 1 of 1,,89,93
4,9:17.0,,M. Morris makes 2-pt layup from 4 ft (assist by G. Hayward),89,95
4,9:10.0,Turnover by S. Gilgeous-Alexander (out of bounds lost ball),,89,95
4,8:46.0,,M. Morris misses 2-pt jump shot from 9 ft,89,95
4,8:44.0,Defensive rebound by M. Harrell,,89,95
4,8:38.0,J. Green makes 2-pt layup from 4 ft (assist by S. Gilgeous-Alexander),,91,95
4,8:19.0,,J. Brown misses 2-pt layup from 4 ft (block by L. Williams),91,95
4,8:18.0,,Offensive rebound by Team,91,95
4,8:18.0,,M. Smart enters the game for J. Brown,91,95
4,8:18.0,,J. Tatum enters the game for G. Hayward,91,95
4,8:08.0,,A. Horford misses 2-pt jump shot from 13 ft,91,95
4,8:07.0,,Offensive rebound by J. Tatum,91,95
4,8:06.0,,J. Tatum makes 2-pt layup from 2 ft,91,97
4,8:02.0,L. Williams makes 2-pt jump shot from 13 ft,,93,97
4,8:02.0,Shooting foul by M. Smart (drawn by L. Williams),,93,97
4,8:02.0,L. Williams makes free throw 1 of 1,,94,97
4,7:56.0,,Personal foul by M. Harrell (drawn by M. Smart),94,97
4,7:44.0,,Shooting foul by S. Gilgeous-Alexander (drawn by J. Tatum),94,97
4,7:44.0,,J. Tatum makes free throw 1 of 2,94,98
4,7:44.0,,D. Theis enters the game for A. Horford,94,98
4,7:44.0,,J. Tatum misses free throw 2 of 2,94,98
4,7:44.0,Defensive rebound by M. Harrell,,94,98
4,7:32.0,L. Williams misses 2-pt jump shot from 5 ft,,94,98
4,7:30.0,,Defensive rebound by M. Morris,94,98
4,7:21.0,,J. Tatum makes 2-pt layup from 2 ft (assist by M. Smart),94,100
4,7:21.0,LA Clippers full timeout,,94,100
4,7:21.0,P. Beverley enters the game for S. Gilgeous-Alexander,,94,100
4,7:21.0,D. Gallinari enters the game for J. Green,,94,100
4,7:13.0,L. Shamet makes 3-pt jump shot from 28 ft (assist by L. Williams),,97,100
4,6:50.0,,M. Morris misses 2-pt jump shot from 12 ft,97,100
4,6:48.0,Defensive rebound by D. Gallinari,,97,100
4,6:42.0,L. Shamet makes 3-pt jump shot from 23 ft (assist by L. Williams),,100,100
4,6:42.0,,J. Brown enters the game for M. Morris,100,100
4,6:42.0,,T. Rozier enters the game for B. Wanamaker,100,100
4,6:22.0,,Turnover by J. Tatum (bad pass),100,100
4,6:02.0,D. Gallinari makes 2-pt jump shot from 13 ft,,102,100
4,5:32.0,,D. Theis makes 2-pt layup from 1 ft (assist by M. Smart),102,102
4,5:10.0,M. Harrell misses 2-pt hook shot from 3 ft,,102,102
4,5:08.0,,Defensive rebound by T. Rozier,102,102
4,5:02.0,,Offensive foul by J. Tatum (drawn by P. Beverley),102,102
4,5:02.0,,Turnover by J. Tatum (offensive foul),102,102
4,4:45.0,M. Harrell misses 2-pt layup from 2 ft,,102,102
4,4:43.0,,Defensive rebound by J. Brown,102,102
4,4:26.0,,M. Smart misses 2-pt jump shot from 15 ft,102,102
4,4:24.0,Defensive rebound by D. Gallinari,,102,102
4,4:16.0,L. Williams misses 2-pt jump shot from 17 ft,,102,102
4,4:13.0,Offensive rebound by L. Williams,,102,102
4,4:13.0,Turnover by L. Williams (step out of bounds),,102,102
4,4:13.0,I. Zubac enters the game for M. Harrell,,102,102
4,3:58.0,,Offensive foul by D. Theis (drawn by L. Williams),102,102
4,3:58.0,,Turnover by D. Theis (offensive foul),102,102
4,3:58.0,,A. Horford enters the game for D. Theis,102,102
4,3:41.0,I. Zubac misses 2-pt layup from 5 ft (block by M. Smart),,102,102
4,3:39.0,,Defensive rebound by A. Horford,102,102
4,3:32.0,,J. Brown misses 3-pt jump shot from 23 ft,102,102
4,3:30.0,Defensive rebound by D. Gallinari,,102,102
4,3:24.0,L. Shamet makes 3-pt jump shot from 26 ft (assist by D. Gallinari),,105,102
4,3:24.0,Shooting foul by J. Brown (drawn by L. Shamet),,105,102
4,3:24.0,M. Harrell enters the game for I. Zubac,,105,102
4,3:24.0,,G. Hayward enters the game for J. Brown,105,102
4,3:24.0,,Boston full timeout,105,102
4,3:24.0,L. Shamet makes free throw 1 of 1,,106,102
4,3:07.0,,G. Hayward makes 3-pt jump shot from 24 ft (assist by A. Horford),106,105
4,2:47.0,D. Gallinari makes 3-pt jump shot from 27 ft (assist by L. Williams),,109,105
4,2:33.0,,G. Hayward makes 2-pt jump shot from 10 ft,109,107
4,2:14.0,L. Shamet misses 3-pt jump shot from 23 ft,,109,107
4,2:12.0,,Defensive rebound by A. Horford,109,107
4,2:06.0,,M. Smart misses 3-pt jump shot from 27 ft,109,107
4,2:03.0,Defensive rebound by P. Beverley,,109,107
4,1:53.0,P. Beverley makes 3-pt jump shot from 23 ft (assist by L. Shamet),,112,107
4,1:37.0,,Turnover by G. Hayward (lost ball; steal by M. Harrell),112,107
4,1:35.0,M. Harrell makes 2-pt dunk at rim,,114,107
4,1:35.0,,Boston full timeout,114,107
4,1:35.0,,M. Morris enters the game for M. Smart,114,107
4,1:23.0,,J. Tatum makes 3-pt jump shot from 28 ft (assist by A. Horford),114,110
4,1:02.0,P. Beverley makes 3-pt jump shot from 23 ft (assist by M. Harrell),,117,110
4,0:50.0,,Turnover by A. Horford (bad pass; steal by L. Shamet),117,110
4,0:43.0,Personal take foul by T. Rozier (drawn by L. Williams),,117,110
4,0:43.0,L. Williams makes free throw 1 of 2,,118,110
4,0:43.0,L. Williams makes free throw 2 of 2,,119,110
4,0:36.0,,T. Rozier makes 2-pt layup from 1 ft,119,112
4,0:35.0,Personal foul by T. Rozier (drawn by L. Williams),,119,112
4,0:35.0,L. Williams misses free throw 1 of 2,,119,112
4,0:35.0,Offensive rebound by Team,,119,112
4,0:35.0,L. Williams misses free throw 2 of 2,,119,112
4,0:35.0,,Defensive rebound by J. Tatum,119,112
4,0:29.0,,J. Tatum misses 2-pt layup from 3 ft,119,112
4,0:27.0,Defensive rebound by P. Beverley,,119,112
4,0:27.0,Personal take foul by G. Hayward (drawn by P. Beverley),,119,112
4,0:27.0,P. Beverley makes free throw 1 of 2,,120,112
4,0:27.0,,M. Smart enters the game for G. Hayward,120,112
4,0:27.0,P. Beverley makes free throw 2 of 2,,121,112
4,0:23.0,,T. Rozier misses 3-pt jump shot from 27 ft,121,112
4,0:22.0,,Offensive rebound by J. Tatum,121,112
4,0:21.0,,J. Tatum misses 2-pt dunk at rim,121,112
4,0:19.0,Defensive rebound by P. Beverley,,121,112
4,0:18.0,Flagrant foul type 1 by J. Tatum (drawn by P. Beverley),,121,112
4,0:18.0,,B. Wanamaker enters the game for J. Tatum,121,112
4,0:18.0,P. Beverley makes flagrant free throw 1 of 2,,122,112
4,0:18.0,P. Beverley makes flagrant free throw 2 of 2,,123,112
