QUARTER,TIME_REMAINING,BOSTON_ACTION,MEMPHIS_ACTION,BOSTON_SCORE,MEMPHIS_SCORE
4,2:19.0,,Turnover by M. Conley (lost ball; steal by K. Irving),98,97
4,2:13.0,G. Hayward makes 2-pt layup from 1 ft (assist by K. Irving),,100,97
4,1:57.0,,M. Conley makes 2-pt jump shot from 8 ft,100,99
4,1:41.0,G. Hayward misses 3-pt jump shot from 23 ft,,100,99
4,1:39.0,Offensive rebound by G. Hayward,,100,99
4,1:33.0,A. Horford makes 3-pt jump shot from 26 ft (assist by K. Irving),,103,99
4,1:32.0,,Memphis full timeout,103,99
4,1:18.0,,Turnover by G. Temple (bad pass; steal by M. Smart),103,99
4,1:18.0,,Loose ball foul by M. Gasol (drawn by M. Smart),103,99
4,0:59.0,M. Morris makes 2-pt jump shot from 14 ft (assist by K. Irving),,105,99
4,0:51.0,,M. Conley makes 2-pt jump shot from 12 ft,105,101
4,0:51.0,J. Tatum enters the game for M. Smart,,105,101
4,0:35.0,A. Horford makes 3-pt jump shot from 26 ft (assist by K. Irving),,108,101
4,0:32.0,,M. Conley misses 3-pt jump shot from 28 ft,108,101
4,0:29.0,Defensive rebound by K. Irving,,108,101
4,0:28.0,Personal take foul by M. Conley (drawn by K. Irving),,108,101
4,0:28.0,K. Irving makes free throw 1 of 2,,109,101
4,0:28.0,K. Irving makes free throw 2 of 2,,110,101
4,0:22.0,,Shooting foul by J. Tatum (drawn by M. Gasol),110,101
4,0:22.0,,M. Gasol makes free throw 1 of 2,110,102
4,0:22.0,,M. Gasol makes free throw 2 of 2,110,103
4,0:15.0,Boston full timeout,,110,103
4,0:12.0,Personal foul by G. Temple (drawn by K. Irving),,110,103
4,0:12.0,K. Irving makes free throw 1 of 2,,111,103
4,0:12.0,S. Ojeleye enters the game for A. Horford,,111,103
4,0:12.0,K. Irving makes free throw 2 of 2,,112,103
4,0:08.0,,M. Conley misses 3-pt jump shot from 26 ft,112,103
4,0:04.0,Defensive rebound by M. Morris,,112,103
