QUARTER,TIME_REMAINING,BROOKLYN_ACTION,WASHINGTON_ACTION,BROOKLYN_SCORE,WASHINGTON_SCORE
4,2:09.0,,Defensive rebound by O. Porter,82,99
4,2:05.0,,J. Wall misses 3-pt jump shot from 24 ft,82,99
4,2:03.0,Defensive rebound by S. Napier,,82,99
4,1:57.0,D. Musa makes 2-pt layup from 2 ft (assist by T. Pinson),,84,99
4,1:39.0,,Shooting foul by R. Kurucs (drawn by B. Beal),84,99
4,1:39.0,,B. Beal misses free throw 1 of 2,84,99
4,1:39.0,,Offensive rebound by Team,84,99
4,1:39.0,,T. Brown enters the game for M. Morris,84,99
4,1:39.0,,T. Bryant enters the game for O. Porter,84,99
4,1:39.0,,T. Satoranský enters the game for J. Wall,84,99
4,1:39.0,,B. Beal makes free throw 2 of 2,84,100
4,1:24.0,S. Napier misses 2-pt layup from 3 ft,,84,100
4,1:22.0,Offensive rebound by K. Faried,,84,100
4,1:22.0,K. Faried makes 2-pt layup at rim,,86,100
4,1:12.0,,T. Brown makes 2-pt layup from 1 ft (assist by T. Satoranský),86,102
4,0:57.0,S. Napier misses 3-pt jump shot from 27 ft,,86,102
4,0:55.0,,Defensive rebound by T. Bryant,86,102
4,0:43.0,,Turnover by T. Bryant (out of bounds lost ball),86,102
4,0:43.0,,K. Oubre enters the game for B. Beal,86,102
4,0:34.0,R. Kurucs misses 3-pt jump shot from 26 ft,,86,102
4,0:32.0,,Defensive rebound by T. Bryant,86,102
4,0:21.0,,A. Rivers misses 3-pt jump shot from 26 ft,86,102
4,0:18.0,Defensive rebound by R. Kurucs,,86,102
4,0:12.0,R. Kurucs makes 2-pt layup from 2 ft (assist by S. Napier),,88,102
