QUARTER,TIME_REMAINING,MINNESOTA_ACTION,SACRAMENTO_ACTION,MINNESOTA_SCORE,SACRAMENTO_SCORE
4,9:32.0,,Turnover by M. Bagley (bad pass; steal by C. Williams),85,98
4,9:23.0,C. Williams misses 3-pt jump shot from 25 ft,,85,98
4,9:21.0,,Defensive rebound by T. Williams,85,98
4,9:21.0,,Sacramento full timeout,85,98
4,9:21.0,D. Rose enters the game for G. Dieng,,85,98
4,9:21.0,K. Towns enters the game for C. Williams,,85,98
4,9:06.0,,B. Hield makes 2-pt dunk from 1 ft (assist by F. Mason),85,100
4,8:39.0,A. Tolliver makes 3-pt jump shot from 23 ft (assist by T. Jones),,88,100
4,8:23.0,,W. Cauley-Stein makes 2-pt dunk from 2 ft (assist by F. Mason),88,102
4,8:11.0,Personal foul by W. Cauley-Stein (drawn by K. Towns),,88,102
4,7:57.0,J. Butler misses 3-pt jump shot from 23 ft,,88,102
4,7:54.0,,Defensive rebound by F. Mason,88,102
4,7:53.0,,Offensive foul by F. Mason (drawn by T. Jones),88,102
4,7:53.0,,Turnover by F. Mason (offensive foul),88,102
4,7:35.0,Turnover by J. Butler (bad pass),,88,102
4,7:18.0,,W. Cauley-Stein misses 2-pt jump shot from 17 ft,88,102
4,7:14.0,Defensive rebound by K. Towns,,88,102
4,7:13.0,K. Towns makes 2-pt layup from 2 ft,,90,102
4,7:13.0,Shooting foul by W. Cauley-Stein (drawn by K. Towns),,90,102
4,7:13.0,Technical foul by,,90,102
4,7:13.0,K. Towns makes technical free throw,,91,102
4,7:13.0,K. Towns makes free throw 1 of 1,,92,102
4,6:55.0,,B. Hield makes 3-pt jump shot from 25 ft,92,105
4,6:44.0,K. Towns makes 2-pt layup from 1 ft (assist by D. Rose),,94,105
4,6:27.0,,B. Hield makes 3-pt jump shot from 25 ft,94,108
4,6:15.0,D. Rose makes 3-pt jump shot from 26 ft,,97,108
4,6:02.0,,Offensive foul by B. Hield (drawn by D. Rose),97,108
4,6:02.0,,Turnover by B. Hield (offensive foul),97,108
4,6:02.0,,N. Bjelica enters the game for M. Bagley,97,108
4,6:02.0,,I. Shumpert enters the game for T. Williams,97,108
4,5:55.0,D. Rose makes 3-pt jump shot from 27 ft,,100,108
4,5:55.0,,Sacramento full timeout,100,108
4,5:55.0,,D. Fox enters the game for W. Cauley-Stein,100,108
4,5:55.0,,K. Koufos enters the game for F. Mason,100,108
4,5:45.0,,D. Fox misses 2-pt jump shot from 6 ft,100,108
4,5:42.0,Defensive rebound by J. Butler,,100,108
4,5:38.0,T. Jones makes 2-pt layup from 8 ft (assist by J. Butler),,102,108
4,5:38.0,Shooting foul by N. Bjelica (drawn by T. Jones),,102,108
4,5:38.0,T. Jones makes free throw 1 of 1,,103,108
4,5:23.0,,I. Shumpert misses 3-pt jump shot from 25 ft,103,108
4,5:18.0,Defensive rebound by K. Towns,,103,108
4,5:08.0,T. Jones misses 3-pt jump shot from 25 ft,,103,108
4,5:05.0,Offensive rebound by K. Towns,,103,108
4,5:03.0,K. Towns misses 2-pt hook shot from 3 ft,,103,108
4,5:01.0,,Defensive rebound by K. Koufos,103,108
4,4:58.0,,D. Fox misses 2-pt jump shot from 6 ft,103,108
4,4:55.0,,Offensive rebound by B. Hield,103,108
4,4:53.0,,N. Bjelica misses 3-pt jump shot from 25 ft,103,108
4,4:49.0,Defensive rebound by T. Jones,,103,108
4,4:42.0,Turnover by D. Rose (lost ball; steal by N. Bjelica),,103,108
4,4:37.0,,N. Bjelica misses 2-pt layup from 3 ft,103,108
4,4:33.0,Defensive rebound by D. Rose,,103,108
4,4:31.0,A. Tolliver makes 3-pt jump shot from 25 ft (assist by D. Rose),,106,108
4,4:09.0,,B. Hield misses 2-pt jump shot from 15 ft,106,108
4,4:07.0,,Offensive rebound by I. Shumpert,106,108
4,4:01.0,,Personal foul by K. Towns (drawn by D. Fox),106,108
4,3:46.0,,N. Bjelica misses 2-pt jump shot from 12 ft,106,108
4,3:46.0,Defensive rebound by Team,,106,108
4,3:23.0,D. Rose misses 3-pt jump shot from 25 ft,,106,108
4,3:19.0,Offensive rebound by J. Butler,,106,108
4,3:19.0,Personal foul by I. Shumpert (drawn by J. Butler),,106,108
4,3:19.0,J. Butler misses free throw 1 of 2,,106,108
4,3:19.0,Offensive rebound by Team,,106,108
4,3:19.0,J. Butler misses free throw 2 of 2,,106,108
4,3:16.0,,Defensive rebound by N. Bjelica,106,108
4,2:56.0,,K. Koufos makes 2-pt dunk from 1 ft (assist by B. Hield),106,110
4,2:32.0,Turnover by K. Towns (lost ball; steal by K. Koufos),,106,110
4,2:26.0,,D. Fox makes 2-pt layup from 3 ft,106,112
4,2:06.0,Turnover by J. Butler (lost ball; steal by I. Shumpert),,106,112
4,2:01.0,,B. Hield makes 3-pt jump shot from 23 ft (assist by I. Shumpert),106,115
4,2:00.0,Minnesota full timeout,,106,115
4,1:50.0,K. Towns makes 2-pt jump shot from 7 ft (assist by T. Jones),,108,115
4,1:27.0,,Turnover by N. Bjelica (lost ball; steal by A. Tolliver),108,115
4,1:27.0,J. Okogie enters the game for D. Rose,,108,115
4,1:17.0,Turnover by K. Towns (lost ball; steal by K. Koufos),,108,115
4,1:15.0,,Shooting foul by T. Jones (drawn by D. Fox),108,115
4,1:15.0,,D. Fox makes free throw 1 of 2,108,116
4,1:15.0,,D. Fox makes free throw 2 of 2,108,117
4,1:06.0,Personal foul by N. Bjelica (drawn by J. Okogie),,108,117
4,1:06.0,J. Okogie makes free throw 1 of 2,,109,117
4,1:06.0,,W. Cauley-Stein enters the game for K. Koufos,109,117
4,1:06.0,J. Okogie makes free throw 2 of 2,,110,117
4,1:01.0,,Sacramento full timeout,110,117
4,1:01.0,,Sacramento full timeout,110,117
4,0:47.0,,B. Hield misses 2-pt layup from 2 ft,110,117
4,0:45.0,Defensive rebound by A. Tolliver,,110,117
4,0:41.0,Turnover by J. Okogie (lost ball),,110,117
4,0:35.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),110,119
4,0:35.0,Minnesota full timeout,,110,119
4,0:30.0,A. Tolliver misses 3-pt jump shot from 25 ft,,110,119
4,0:28.0,,Defensive rebound by D. Fox,110,119
4,0:28.0,,Personal foul by A. Tolliver (drawn by D. Fox),110,119
4,0:28.0,,D. Fox makes free throw 1 of 2,110,120
4,0:28.0,,D. Fox makes free throw 2 of 2,110,121
4,0:22.0,J. Okogie misses 2-pt layup from 3 ft,,110,121
4,0:19.0,,Defensive rebound by B. Hield,110,121
