QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,WASHINGTON_ACTION,SAN ANTONIO_SCORE,WASHINGTON_SCORE
1,0:32.0,,Loose ball foul by S. Dekker (drawn by P. Mills),32,30
1,0:32.0,Defensive rebound by Team,,32,30
1,0:32.0,P. Mills makes free throw 1 of 2,,33,30
1,0:32.0,L. Aldridge enters the game for J. Poeltl,,33,30
1,0:32.0,P. Mills makes free throw 2 of 2,,34,30
1,0:11.0,,B. Beal makes 2-pt layup from 1 ft,34,32
1,0:03.0,P. Mills makes 3-pt jump shot from 26 ft,,37,32
1,0:00.0,,J. McRae misses 3-pt jump shot from 47 ft,37,32
1,0:00.0,,Offensive rebound by Team,37,32
2,11:48.0,,Turnover by J. Green (bad pass; steal by D. Cunningham),37,32
2,11:44.0,Turnover by D. Bertāns (out of bounds lost ball),,37,32
2,11:27.0,,J. McRae makes 2-pt jump shot from 17 ft,37,34
2,11:14.0,B. Forbes makes 2-pt jump shot from 20 ft (assist by J. Poeltl),,39,34
2,10:57.0,,B. Portis makes 2-pt layup from 1 ft (assist by J. McRae),39,36
2,10:43.0,Personal foul by J. Green (drawn by D. Bertāns),,39,36
2,10:43.0,D. White enters the game for P. Mills,,39,36
2,10:35.0,J. Poeltl makes 2-pt layup from 2 ft (assist by D. White),,41,36
2,10:25.0,,B. Portis makes 3-pt jump shot from 24 ft (assist by C. Randle),41,39
2,10:11.0,Shooting foul by C. Randle (drawn by D. White),,41,39
2,10:11.0,D. White makes free throw 1 of 2,,42,39
2,10:11.0,D. White makes free throw 2 of 2,,43,39
2,10:02.0,,B. Portis misses 2-pt jump shot from 20 ft,43,39
2,9:59.0,Defensive rebound by D. Cunningham,,43,39
2,9:51.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by D. Cunningham),,46,39
2,9:31.0,,J. Green misses 3-pt jump shot from 23 ft,46,39
2,9:29.0,,Offensive rebound by S. Dekker,46,39
2,9:27.0,,J. Green makes 2-pt layup from 1 ft (assist by S. Dekker),46,41
2,9:09.0,J. Poeltl makes 2-pt jump shot from 8 ft (assist by B. Forbes),,48,41
2,8:57.0,,J. McRae makes 2-pt layup from 7 ft,48,43
2,8:48.0,D. White makes 2-pt jump shot from 20 ft,,50,43
2,8:31.0,,C. Randle misses 3-pt jump shot from 26 ft,50,43
2,8:29.0,,Offensive rebound by B. Portis,50,43
2,8:20.0,,S. Dekker misses 3-pt jump shot from 26 ft,50,43
2,8:16.0,Defensive rebound by B. Forbes,,50,43
2,8:02.0,D. White misses 2-pt layup from 4 ft,,50,43
2,8:00.0,,Defensive rebound by J. Green,50,43
2,7:57.0,,J. Green makes 2-pt dunk from 1 ft (assist by J. McRae),50,45
2,7:57.0,San Antonio full timeout,,50,45
2,7:57.0,L. Aldridge enters the game for D. Cunningham,,50,45
2,7:57.0,R. Gay enters the game for J. Poeltl,,50,45
2,7:37.0,R. Gay makes 2-pt jump shot from 13 ft,,52,45
2,7:21.0,,Turnover by J. McRae (bad pass),52,45
2,7:21.0,D. DeRozan enters the game for D. Bertāns,,52,45
2,6:58.0,D. White makes 2-pt jump shot from 6 ft,,54,45
2,6:44.0,,Turnover by C. Randle (bad pass; steal by R. Gay),54,45
2,6:41.0,R. Gay makes 2-pt layup from 2 ft,,56,45
2,6:41.0,,Washington full timeout,56,45
2,6:41.0,,B. Beal enters the game for S. Dekker,56,45
2,6:41.0,,T. Brown enters the game for J. McRae,56,45
2,6:41.0,,T. Satoranský enters the game for C. Randle,56,45
2,6:30.0,,B. Portis misses 3-pt jump shot from 27 ft,56,45
2,6:24.0,Defensive rebound by R. Gay,,56,45
2,6:21.0,L. Aldridge makes 2-pt layup from 4 ft (assist by R. Gay),,58,45
2,6:21.0,Shooting foul by B. Portis (drawn by L. Aldridge),,58,45
2,6:21.0,L. Aldridge makes free throw 1 of 1,,59,45
2,6:02.0,,J. Green misses 3-pt jump shot from 26 ft,59,45
2,5:59.0,Defensive rebound by D. White,,59,45
2,5:49.0,B. Forbes makes 3-pt jump shot from 28 ft (assist by D. White),,62,45
2,5:34.0,,Turnover by B. Beal (bad pass),62,45
2,5:17.0,L. Aldridge misses 2-pt hook shot from 7 ft,,62,45
2,5:15.0,,Defensive rebound by B. Portis,62,45
2,5:02.0,,T. Brown makes 2-pt jump shot from 10 ft,62,47
2,4:49.0,D. DeRozan misses 2-pt layup from 3 ft,,62,47
2,4:47.0,Offensive rebound by D. DeRozan,,62,47
2,4:46.0,D. DeRozan makes 2-pt layup from 3 ft,,64,47
2,4:34.0,,B. Portis makes 2-pt jump shot from 16 ft (assist by B. Beal),64,49
2,4:21.0,L. Aldridge makes 2-pt hook shot from 7 ft (assist by D. White),,66,49
2,4:09.0,,B. Portis misses 2-pt jump shot from 18 ft,66,49
2,4:05.0,Defensive rebound by D. DeRozan,,66,49
2,4:03.0,Personal foul by B. Portis (drawn by L. Aldridge),,66,49
2,4:03.0,P. Mills enters the game for B. Forbes,,66,49
2,4:03.0,,T. Bryant enters the game for J. Green,66,49
2,3:55.0,P. Mills misses 3-pt jump shot from 25 ft,,66,49
2,3:54.0,,Defensive rebound by Team,66,49
2,3:41.0,,Turnover by B. Beal (bad pass; steal by P. Mills),66,49
2,3:33.0,D. DeRozan makes 2-pt dunk from 1 ft (assist by D. White),,68,49
2,3:33.0,,Washington full timeout,68,49
2,3:21.0,,Personal foul by R. Gay (drawn by B. Beal),68,49
2,3:17.0,,Personal foul by P. Mills (drawn by B. Beal),68,49
2,3:12.0,,T. Brown makes 3-pt jump shot from 23 ft (assist by T. Satoranský),68,52
2,2:57.0,P. Mills makes 3-pt jump shot from 24 ft (assist by R. Gay),,71,52
2,2:40.0,,B. Beal misses 2-pt jump shot from 18 ft,71,52
2,2:36.0,Defensive rebound by L. Aldridge,,71,52
2,2:23.0,L. Aldridge makes 2-pt dunk from 1 ft (assist by R. Gay),,73,52
2,2:12.0,,T. Satoranský makes 2-pt layup from 1 ft (assist by T. Bryant),73,54
2,1:54.0,L. Aldridge makes 2-pt hook shot from 10 ft (assist by P. Mills),,75,54
2,1:54.0,,Violation by Team (def goaltending),75,54
2,1:38.0,,T. Brown makes 2-pt jump shot from 16 ft (assist by T. Bryant),75,56
2,1:12.0,Turnover by R. Gay (out of bounds lost ball),,75,56
2,1:04.0,,B. Beal misses 2-pt layup from 4 ft (block by L. Aldridge),75,56
2,1:00.0,Defensive rebound by P. Mills,,75,56
2,0:56.0,D. White misses 2-pt layup from 2 ft (block by T. Brown),,75,56
2,0:54.0,Offensive rebound by D. DeRozan,,75,56
2,0:53.0,D. DeRozan makes 2-pt layup from 2 ft,,77,56
2,0:44.0,,B. Beal misses 2-pt jump shot from 16 ft,77,56
2,0:40.0,Defensive rebound by D. White,,77,56
2,0:29.0,P. Mills misses 3-pt jump shot from 23 ft,,77,56
2,0:26.0,,Defensive rebound by B. Portis,77,56
2,0:04.0,,B. Beal makes 2-pt layup from 1 ft (assist by T. Satoranský),77,58
2,0:00.0,D. DeRozan misses 2-pt jump shot from 12 ft,,77,58
2,0:00.0,Offensive rebound by Team,,77,58
3,11:35.0,,T. Bryant makes 2-pt hook shot from 2 ft,77,60
3,11:17.0,L. Aldridge makes 2-pt jump shot from 17 ft,,79,60
3,11:02.0,,Shooting foul by L. Aldridge (drawn by T. Brown),79,60
3,11:02.0,,T. Brown makes free throw 1 of 2,79,61
3,11:02.0,,T. Brown makes free throw 2 of 2,79,62
3,10:44.0,D. White misses 2-pt jump shot from 19 ft,,79,62
3,10:40.0,,Defensive rebound by B. Portis,79,62
3,10:34.0,,B. Beal makes 2-pt layup from 1 ft,79,64
3,10:23.0,Turnover by D. White (step out of bounds),,79,64
3,10:01.0,,T. Satoranský misses 3-pt jump shot from 24 ft,79,64
3,9:58.0,Defensive rebound by D. White,,79,64
3,9:52.0,D. White misses 3-pt jump shot from 26 ft,,79,64
3,9:47.0,,Defensive rebound by T. Bryant,79,64
3,9:42.0,,T. Satoranský misses 2-pt layup from 3 ft,79,64
3,9:42.0,Defensive rebound by Team,,79,64
3,9:24.0,B. Forbes makes 2-pt jump shot from 3 ft (assist by D. DeRozan),,81,64
3,9:10.0,,T. Brown misses 3-pt jump shot from 26 ft,81,64
3,9:08.0,Defensive rebound by Team,,81,64
3,8:49.0,D. DeRozan makes 2-pt layup from 2 ft (assist by L. Aldridge),,83,64
3,8:36.0,,B. Beal misses 3-pt jump shot from 27 ft,83,64
3,8:33.0,,Offensive rebound by T. Bryant,83,64
3,8:32.0,,T. Bryant makes 2-pt layup from 2 ft,83,66
3,8:16.0,J. Poeltl makes 2-pt layup from 2 ft (assist by D. White),,85,66
3,8:03.0,,B. Portis misses 3-pt jump shot from 25 ft,85,66
3,8:00.0,Defensive rebound by J. Poeltl,,85,66
3,7:39.0,D. DeRozan misses 2-pt jump shot from 20 ft,,85,66
3,7:36.0,,Defensive rebound by B. Portis,85,66
3,7:18.0,,T. Brown misses 2-pt layup from 3 ft (block by D. White),85,66
3,7:15.0,Defensive rebound by D. White,,85,66
3,7:13.0,Shooting foul by T. Satoranský (drawn by L. Aldridge),,85,66
3,7:13.0,L. Aldridge misses free throw 1 of 2,,85,66
3,7:13.0,Offensive rebound by Team,,85,66
3,7:13.0,L. Aldridge makes free throw 2 of 2,,86,66
3,6:58.0,,Shooting foul by D. White (drawn by T. Satoranský),86,66
3,6:58.0,,Washington full timeout,86,66
3,6:58.0,R. Gay enters the game for J. Poeltl,,86,66
3,6:58.0,,T. Satoranský makes free throw 1 of 2,86,67
3,6:58.0,,T. Satoranský makes free throw 2 of 2,86,68
3,6:42.0,R. Gay makes 3-pt jump shot from 25 ft (assist by L. Aldridge),,89,68
3,6:21.0,,B. Beal makes 2-pt jump shot from 2 ft,89,70
3,6:21.0,,Shooting foul by D. DeRozan (drawn by B. Beal),89,70
3,6:21.0,,B. Beal makes free throw 1 of 1,89,71
3,6:04.0,D. DeRozan makes 2-pt layup from 1 ft (assist by B. Forbes),,91,71
3,5:53.0,,Personal foul by B. Forbes (drawn by B. Portis),91,71
3,5:53.0,P. Mills enters the game for D. White,,91,71
3,5:48.0,,T. Bryant misses 3-pt jump shot from 26 ft,91,71
3,5:44.0,Defensive rebound by D. DeRozan,,91,71
3,5:40.0,Personal foul by T. Bryant (drawn by D. DeRozan),,91,71
3,5:22.0,B. Forbes misses 2-pt jump shot from 18 ft,,91,71
3,5:19.0,,Defensive rebound by B. Beal,91,71
3,5:11.0,,Shooting foul by R. Gay (drawn by B. Portis),91,71
3,5:11.0,,B. Portis makes free throw 1 of 2,91,72
3,5:11.0,D. Bertāns enters the game for B. Forbes,,91,72
3,5:11.0,,B. Portis makes free throw 2 of 2,91,73
3,4:52.0,P. Mills makes 3-pt jump shot from 27 ft,,94,73
3,4:31.0,,Offensive foul by B. Portis (drawn by R. Gay),94,73
3,4:31.0,,Turnover by B. Portis (offensive foul),94,73
3,4:20.0,P. Mills misses 3-pt jump shot from 25 ft,,94,73
3,4:18.0,,Defensive rebound by T. Bryant,94,73
3,4:07.0,,T. Satoranský misses 2-pt layup from 5 ft,94,73
3,4:07.0,,Offensive rebound by T. Bryant,94,73
3,4:07.0,,T. Bryant makes 2-pt dunk from 1 ft,94,75
3,4:07.0,San Antonio full timeout,,94,75
3,3:54.0,L. Aldridge misses 2-pt layup from 3 ft,,94,75
3,3:51.0,,Defensive rebound by T. Bryant,94,75
3,3:37.0,,B. Beal makes 3-pt jump shot from 30 ft (assist by T. Satoranský),94,78
3,3:17.0,P. Mills misses 3-pt jump shot from 24 ft,,94,78
3,3:14.0,Offensive rebound by L. Aldridge,,94,78
3,3:10.0,D. DeRozan makes 2-pt layup from 1 ft (assist by D. Bertāns),,96,78
3,2:47.0,,B. Beal misses 3-pt jump shot from 25 ft,96,78
3,2:43.0,Defensive rebound by D. DeRozan,,96,78
3,2:39.0,D. Bertāns misses 3-pt jump shot from 27 ft,,96,78
3,2:35.0,,Defensive rebound by T. Brown,96,78
3,2:31.0,,B. Portis makes 3-pt jump shot from 23 ft (assist by B. Beal),96,81
3,2:08.0,R. Gay misses 3-pt jump shot from 26 ft,,96,81
3,2:01.0,Offensive rebound by L. Aldridge,,96,81
3,2:01.0,L. Aldridge misses 2-pt dunk at rim,,96,81
3,2:01.0,L. Aldridge misses 2-pt layup from 2 ft,,96,81
3,2:01.0,Offensive rebound by L. Aldridge,,96,81
3,2:01.0,Offensive rebound by L. Aldridge,,96,81
3,2:01.0,L. Aldridge misses 2-pt layup at rim,,96,81
3,2:01.0,Offensive rebound by L. Aldridge,,96,81
3,2:01.0,Shooting foul by T. Satoranský (drawn by L. Aldridge),,96,81
3,2:01.0,B. Forbes enters the game for D. DeRozan,,96,81
3,2:01.0,,J. Green enters the game for T. Bryant,96,81
3,2:01.0,,D. Robinson enters the game for T. Satoranský,96,81
3,2:01.0,L. Aldridge makes free throw 1 of 2,,97,81
3,2:01.0,L. Aldridge makes free throw 2 of 2,,98,81
3,1:51.0,,B. Beal makes 3-pt jump shot from 25 ft,98,84
3,1:33.0,L. Aldridge makes 2-pt dunk from 2 ft,,100,84
3,1:19.0,,B. Beal makes 2-pt layup from 1 ft,100,86
3,1:03.0,R. Gay makes 2-pt layup from 1 ft (assist by D. Bertāns),,102,86
3,0:55.0,,Personal foul by L. Aldridge (drawn by B. Beal),102,86
3,0:55.0,,B. Beal makes free throw 1 of 2,102,87
3,0:55.0,J. Poeltl enters the game for L. Aldridge,,102,87
3,0:55.0,,B. Beal makes free throw 2 of 2,102,88
3,0:34.0,Shooting foul by D. Robinson (drawn by P. Mills),,102,88
3,0:34.0,P. Mills misses free throw 1 of 2,,102,88
3,0:34.0,Offensive rebound by Team,,102,88
3,0:34.0,P. Mills makes free throw 2 of 2,,103,88
3,0:31.0,,B. Beal misses 3-pt jump shot from 27 ft,103,88
3,0:27.0,Defensive rebound by R. Gay,,103,88
3,0:11.0,R. Gay makes 2-pt jump shot from 15 ft,,105,88
3,0:03.0,,B. Portis misses 3-pt jump shot from 28 ft,105,88
3,0:03.0,Defensive rebound by D. Bertāns,,105,88
4,11:43.0,B. Forbes misses 3-pt jump shot from 29 ft,,105,88
4,11:38.0,,Defensive rebound by J. Green,105,88
4,11:34.0,,J. Green makes 2-pt layup from 1 ft,105,90
4,11:14.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by P. Mills),,108,90
4,11:14.0,Shooting foul by D. Robinson (drawn by B. Forbes),,108,90
4,11:14.0,B. Forbes makes free throw 1 of 1,,109,90
4,11:00.0,,D. Robinson misses 2-pt jump shot from 14 ft,109,90
4,10:57.0,Defensive rebound by J. Poeltl,,109,90
4,10:51.0,P. Mills makes 2-pt layup from 2 ft,,111,90
4,10:37.0,,Turnover by T. Bryant (3 sec),111,90
4,10:37.0,D. Cunningham enters the game for R. Gay,,111,90
4,10:24.0,D. Cunningham misses 2-pt jump shot from 18 ft,,111,90
4,10:19.0,,Defensive rebound by C. Randle,111,90
4,10:11.0,,J. McRae misses 2-pt jump shot from 19 ft,111,90
4,10:07.0,Defensive rebound by D. Bertāns,,111,90
4,9:51.0,B. Forbes misses 2-pt jump shot from 16 ft,,111,90
4,9:47.0,Offensive rebound by J. Poeltl,,111,90
4,9:44.0,P. Mills misses 3-pt jump shot from 23 ft,,111,90
4,9:39.0,,Defensive rebound by D. Robinson,111,90
4,9:31.0,,T. Bryant misses 3-pt jump shot from 27 ft,111,90
4,9:28.0,Defensive rebound by D. Bertāns,,111,90
4,9:24.0,D. Bertāns makes 2-pt layup from 3 ft,,113,90
4,9:24.0,,Violation by Team (def goaltending),113,90
4,9:09.0,,J. Green misses 2-pt jump shot from 17 ft,113,90
4,9:05.0,Defensive rebound by J. Poeltl,,113,90
4,8:56.0,D. Bertāns misses 3-pt jump shot from 27 ft,,113,90
4,8:52.0,,Defensive rebound by J. McRae,113,90
4,8:45.0,,Shooting foul by D. Cunningham (drawn by J. Green),113,90
4,8:45.0,,J. Green makes free throw 1 of 2,113,91
4,8:45.0,D. White enters the game for P. Mills,,113,91
4,8:45.0,,J. Green makes free throw 2 of 2,113,92
4,8:26.0,D. Bertāns misses 3-pt jump shot from 25 ft,,113,92
4,8:23.0,,Defensive rebound by T. Bryant,113,92
4,8:13.0,,D. Robinson makes 2-pt layup from 4 ft (assist by C. Randle),113,94
4,8:13.0,San Antonio full timeout,,113,94
4,8:13.0,,T. Brown enters the game for J. McRae,113,94
4,7:59.0,B. Forbes makes 3-pt jump shot from 25 ft (assist by J. Poeltl),,116,94
4,7:43.0,,Shooting foul by D. Bertāns (drawn by D. Robinson),116,94
4,7:43.0,,D. Robinson makes free throw 1 of 2,116,95
4,7:43.0,,D. Robinson makes free throw 2 of 2,116,96
4,7:28.0,D. White makes 2-pt jump shot from 20 ft (assist by J. Poeltl),,118,96
4,7:10.0,,J. Green makes 2-pt jump shot from 17 ft,118,98
4,6:51.0,D. Bertāns makes 2-pt jump shot from 20 ft (assist by B. Forbes),,120,98
4,6:33.0,,T. Brown misses 2-pt jump shot from 9 ft,120,98
4,6:32.0,Defensive rebound by D. White,,120,98
4,6:19.0,J. Poeltl makes 2-pt layup from 1 ft (assist by D. White),,122,98
4,6:02.0,,Def 3 sec tech foul by Team,122,98
4,6:02.0,,C. Randle misses technical free throw,122,98
4,6:02.0,,Offensive rebound by Team,122,98
4,6:02.0,R. Gay enters the game for D. Bertāns,,122,98
4,6:02.0,,B. Portis enters the game for T. Bryant,122,98
4,5:52.0,,C. Randle misses 2-pt layup from 3 ft,122,98
4,5:50.0,Defensive rebound by R. Gay,,122,98
4,5:44.0,D. White misses 2-pt layup from 2 ft (block by J. Green),,122,98
4,5:39.0,,Defensive rebound by D. Robinson,122,98
4,5:38.0,,Shooting foul by J. Poeltl (drawn by C. Randle),122,98
4,5:38.0,,C. Randle makes free throw 1 of 2,122,99
4,5:38.0,,C. Randle makes free throw 2 of 2,122,100
4,5:15.0,J. Poeltl misses 2-pt layup from 8 ft (block by D. Robinson),,122,100
4,5:11.0,Offensive rebound by J. Poeltl,,122,100
4,5:11.0,J. Poeltl makes 2-pt layup from 2 ft,,124,100
4,4:57.0,,J. Green makes 2-pt jump shot from 20 ft,124,102
4,4:42.0,Shooting foul by D. Robinson (drawn by J. Poeltl),,124,102
4,4:42.0,J. Poeltl makes free throw 1 of 2,,125,102
4,4:42.0,L. Walker enters the game for B. Forbes,,125,102
4,4:42.0,J. Poeltl misses free throw 2 of 2,,125,102
4,4:39.0,,Defensive rebound by B. Portis,125,102
