QUARTER,TIME_REMAINING,HOUSTON_ACTION,ATLANTA_ACTION,HOUSTON_SCORE,ATLANTA_SCORE
4,1:38.0,Turnover by G. Clark (bad pass; steal by V. Carter),,118,101
4,1:34.0,,Turnover by T. Young (bad pass; steal by G. Green),118,101
4,1:33.0,Turnover by G. Green (out of bounds lost ball),,118,101
4,1:27.0,,Turnover by T. Young (bad pass; steal by G. Green),118,101
4,1:16.0,A. Rivers misses 3-pt jump shot from 25 ft,,118,101
4,1:12.0,,Defensive rebound by J. Collins,118,101
4,1:05.0,,J. Collins makes 2-pt dunk from 1 ft (assist by T. Young),118,103
4,0:50.0,D. House misses 3-pt jump shot from 25 ft,,118,103
4,0:46.0,Offensive rebound by A. Rivers,,118,103
4,0:45.0,G. Clark makes 3-pt jump shot from 25 ft (assist by A. Rivers),,121,103
4,0:45.0,,Atlanta full timeout,121,103
4,0:45.0,,J. Adams enters the game for V. Carter,121,103
4,0:45.0,,J. Anderson enters the game for J. Collins,121,103
4,0:45.0,,D. Davis enters the game for T. Prince,121,103
4,0:45.0,,B. Johnson enters the game for T. Young,121,103
4,0:31.0,,B. Johnson makes 2-pt jump shot from 19 ft,121,105
4,0:12.0,G. Clark misses 3-pt jump shot from 23 ft,,121,105
4,0:10.0,,Defensive rebound by D. Bembry,121,105
4,0:03.0,,J. Adams misses 2-pt layup from 2 ft,121,105
4,0:00.0,Defensive rebound by K. Faried,,121,105
