QUARTER,TIME_REMAINING,PHOENIX_ACTION,BOSTON_ACTION,PHOENIX_SCORE,BOSTON_SCORE
4,4:31.0,,R. Williams enters the game for D. Theis,100,91
4,4:31.0,,K. Irving makes free throw 2 of 2,100,92
4,4:16.0,Shooting foul by K. Irving (drawn by D. Ayton),,100,92
4,4:16.0,D. Ayton misses free throw 1 of 2,,100,92
4,4:16.0,Offensive rebound by Team,,100,92
4,4:16.0,D. Ayton makes free throw 2 of 2,,101,92
4,4:01.0,,Shooting foul by D. Booker (drawn by M. Smart),101,92
4,4:01.0,,M. Smart makes free throw 1 of 3,101,93
4,4:01.0,,M. Smart makes free throw 2 of 3,101,94
4,4:01.0,,M. Smart makes free throw 3 of 3,101,95
4,3:52.0,Personal foul by J. Tatum (drawn by T. Warren),,101,95
4,3:46.0,J. Jackson misses 3-pt jump shot from 23 ft (block by J. Tatum),,101,95
4,3:46.0,Offensive rebound by Team,,101,95
4,3:44.0,K. Oubre misses 3-pt jump shot from 27 ft,,101,95
4,3:42.0,,Defensive rebound by G. Hayward,101,95
4,3:32.0,,Shooting foul by T. Warren (drawn by R. Williams),101,95
4,3:32.0,,R. Williams misses free throw 1 of 2,101,95
4,3:32.0,,Offensive rebound by Team,101,95
4,3:32.0,,R. Williams misses free throw 2 of 2,101,95
4,3:30.0,Defensive rebound by D. Ayton,,101,95
4,3:12.0,Phoenix full timeout,,101,95
4,3:09.0,D. Booker misses 2-pt jump shot from 12 ft,,101,95
4,3:08.0,,Defensive rebound by J. Tatum,101,95
4,2:53.0,,Boston full timeout,101,95
4,2:48.0,,K. Irving misses 2-pt layup from 2 ft (block by J. Jackson),101,95
4,2:46.0,Defensive rebound by K. Oubre,,101,95
4,2:31.0,K. Oubre misses 2-pt layup from 1 ft,,101,95
4,2:29.0,,Defensive rebound by R. Williams,101,95
4,2:19.0,,K. Irving misses 2-pt layup from 7 ft,101,95
4,2:17.0,Defensive rebound by D. Ayton,,101,95
4,2:12.0,D. Booker makes 2-pt layup from 2 ft,,103,95
4,1:49.0,,M. Smart makes 3-pt jump shot from 23 ft (assist by R. Williams),103,98
4,1:25.0,Shooting foul by M. Smart (drawn by T. Warren),,103,98
4,1:25.0,T. Warren makes free throw 1 of 3,,104,98
4,1:25.0,T. Warren makes free throw 2 of 3,,105,98
4,1:25.0,T. Warren makes free throw 3 of 3,,106,98
4,1:11.0,,K. Irving makes 3-pt jump shot from 26 ft (assist by M. Smart),106,101
4,0:49.0,K. Oubre makes 3-pt jump shot from 27 ft (assist by D. Booker),,109,101
4,0:42.0,,K. Irving makes 2-pt layup from 2 ft,109,103
4,0:29.0,Personal foul by M. Smart (drawn by D. Booker),,109,103
4,0:29.0,D. Booker makes free throw 1 of 2,,110,103
4,0:29.0,,T. Rozier enters the game for R. Williams,110,103
4,0:29.0,D. Booker makes free throw 2 of 2,,111,103
4,0:23.0,Violation by Team (kicked ball),,111,103
4,0:19.0,,T. Rozier misses 3-pt jump shot from 26 ft,111,103
4,0:17.0,Defensive rebound by D. Ayton,,111,103
