QUARTER,TIME_REMAINING,LA LAKERS_ACTION,DENVER_ACTION,LA LAKERS_SCORE,DENVER_SCORE
4,4:21.0,M. Wagner enters the game for M. Beasley,,80,106
4,4:05.0,,T. Lydon makes 2-pt dunk from 1 ft (assist by M. Morris),80,108
4,3:47.0,S. Mykhailiuk makes 3-pt jump shot from 23 ft (assist by J. Hart),,83,108
4,3:28.0,,T. Craig misses 2-pt layup from 4 ft,83,108
4,3:24.0,Defensive rebound by M. Wagner,,83,108
4,3:21.0,S. Mykhailiuk misses 3-pt jump shot from 22 ft,,83,108
4,3:18.0,,Defensive rebound by M. Morris,83,108
4,3:06.0,,T. Lyles misses 2-pt jump shot from 10 ft,83,108
4,3:04.0,Defensive rebound by K. Caldwell-Pope,,83,108
4,2:59.0,Personal take foul by T. Craig (drawn by K. Caldwell-Pope),,83,108
4,2:59.0,,D. Akoon-Purcell enters the game for M. Morris,83,108
4,2:54.0,Turnover by S. Mykhailiuk (bad pass; steal by D. Akoon-Purcell),,83,108
4,2:49.0,,M. Beasley makes 2-pt dunk at rim (assist by D. Akoon-Purcell),83,110
4,2:26.0,Turnover by I. Zubac (out of bounds lost ball),,83,110
4,2:14.0,,T. Lydon makes 3-pt jump shot from 25 ft (assist by D. Akoon-Purcell),83,113
4,1:59.0,S. Mykhailiuk misses 3-pt jump shot from 26 ft,,83,113
4,1:57.0,,Defensive rebound by T. Craig,83,113
4,1:46.0,,D. Akoon-Purcell misses 2-pt layup from 3 ft (block by I. Zubac),83,113
4,1:46.0,,Offensive rebound by Team,83,113
4,1:39.0,,Offensive foul by T. Lydon (drawn by K. Caldwell-Pope),83,113
4,1:39.0,,Turnover by T. Lydon (offensive foul),83,113
4,1:28.0,M. Wagner misses 3-pt jump shot from 25 ft,,83,113
4,1:25.0,,Defensive rebound by D. Akoon-Purcell,83,113
4,1:19.0,,D. Akoon-Purcell makes 2-pt layup from 3 ft,83,115
4,1:10.0,J. Hart makes 2-pt dunk from 1 ft (assist by M. Wagner),,85,115
4,0:50.0,,M. Beasley makes 2-pt jump shot from 7 ft (assist by D. Akoon-Purcell),85,117
4,0:36.0,J. Hart misses 3-pt jump shot from 26 ft,,85,117
4,0:31.0,,Defensive rebound by T. Lyles,85,117
4,0:09.0,,Turnover by Team (shot clock),85,117
4,0:00.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,,85,117
4,0:00.0,Offensive rebound by Team,,85,117
