QUARTER,TIME_REMAINING,PORTLAND_ACTION,DETROIT_ACTION,PORTLAND_SCORE,DETROIT_SCORE
4,3:14.0,,T. Maker misses 3-pt jump shot from 26 ft,75,87
4,3:11.0,Defensive rebound by D. Lillard,,75,87
4,3:04.0,D. Lillard makes 2-pt jump shot from 15 ft,,77,87
4,2:59.0,,Detroit full timeout,77,87
4,2:59.0,,L. Galloway enters the game for B. Brown,77,87
4,2:46.0,,W. Ellington misses 3-pt jump shot from 23 ft,77,87
4,2:43.0,,Offensive rebound by W. Ellington,77,87
4,2:36.0,,R. Jackson makes 2-pt jump shot from 19 ft,77,89
4,2:21.0,E. Freedom misses 2-pt jump shot from 14 ft,,77,89
4,2:18.0,,Defensive rebound by W. Ellington,77,89
4,2:00.0,,R. Jackson makes 2-pt jump shot from 11 ft,77,91
4,1:48.0,D. Lillard misses 2-pt jump shot from 16 ft,,77,91
4,1:48.0,Offensive rebound by Team,,77,91
4,1:48.0,Personal foul by W. Ellington (drawn by E. Freedom),,77,91
4,1:48.0,E. Freedom makes free throw 1 of 2,,78,91
4,1:48.0,E. Freedom makes free throw 2 of 2,,79,91
4,1:33.0,,A. Drummond misses 2-pt layup from 2 ft,79,91
4,1:31.0,Defensive rebound by D. Lillard,,79,91
4,1:26.0,S. Curry misses 3-pt jump shot from 27 ft,,79,91
4,1:22.0,Offensive rebound by E. Freedom,,79,91
4,1:18.0,D. Lillard makes 2-pt jump shot from 5 ft,,81,91
4,1:18.0,Shooting foul by R. Jackson (drawn by D. Lillard),,81,91
4,1:18.0,D. Lillard makes free throw 1 of 1,,82,91
4,1:10.0,,Personal foul by E. Freedom (drawn by A. Drummond),82,91
4,1:09.0,,Personal take foul by E. Freedom (drawn by A. Drummond),82,91
4,1:09.0,,A. Drummond makes free throw 1 of 2,82,92
4,1:09.0,M. Leonard enters the game for E. Freedom,,82,92
4,1:09.0,,A. Drummond makes free throw 2 of 2,82,93
4,0:55.0,D. Lillard makes 3-pt jump shot from 25 ft (assist by M. Leonard),,85,93
4,0:49.0,,Personal foul by S. Curry (drawn by T. Maker),85,93
4,0:49.0,,T. Maker makes free throw 1 of 2,85,94
4,0:49.0,,B. Brown enters the game for W. Ellington,85,94
4,0:49.0,,T. Maker makes free throw 2 of 2,85,95
4,0:49.0,Portland full timeout,,85,95
4,0:49.0,,W. Ellington enters the game for T. Maker,85,95
4,0:47.0,Turnover by R. Hood (bad pass; steal by A. Drummond),,85,95
4,0:38.0,,Turnover by R. Jackson (back court),85,95
4,0:35.0,D. Lillard makes 3-pt jump shot from 24 ft,,88,95
4,0:35.0,,Violation by Team (def goaltending),88,95
4,0:31.0,,Personal foul by R. Hood (drawn by L. Galloway),88,95
4,0:31.0,,L. Galloway misses free throw 1 of 2,88,95
4,0:31.0,,Offensive rebound by Team,88,95
4,0:31.0,,L. Galloway makes free throw 2 of 2,88,96
4,0:23.0,D. Lillard misses 2-pt layup from 2 ft,,88,96
4,0:21.0,,Defensive rebound by A. Drummond,88,96
4,0:21.0,,Personal take foul by M. Harkless (drawn by A. Drummond),88,96
4,0:21.0,,A. Drummond misses free throw 1 of 2,88,96
4,0:21.0,,Offensive rebound by Team,88,96
4,0:21.0,,A. Drummond makes free throw 2 of 2,88,97
4,0:15.0,D. Lillard misses 2-pt jump shot from 1 ft,,88,97
4,0:15.0,Offensive rebound by M. Leonard,,88,97
4,0:15.0,M. Leonard makes 2-pt dunk at rim,,90,97
4,0:11.0,,Personal take foul by M. Harkless (drawn by R. Jackson),90,97
4,0:11.0,,R. Jackson makes free throw 1 of 2,90,98
4,0:11.0,,R. Jackson makes free throw 2 of 2,90,99
4,0:04.0,R. Hood misses 3-pt jump shot from 25 ft,,90,99
4,0:02.0,,Defensive rebound by A. Drummond,90,99
