QUARTER,TIME_REMAINING,CLEVELAND_ACTION,PORTLAND_ACTION,CLEVELAND_SCORE,PORTLAND_SCORE
4,2:13.0,,G. Trent enters the game for J. Nurkić,106,127
4,2:04.0,C. Sexton makes 2-pt jump shot from 8 ft,,108,127
4,1:47.0,,N. Stauskas misses 3-pt jump shot from 24 ft,108,127
4,1:45.0,Defensive rebound by C. Sexton,,108,127
4,1:31.0,A. Burks misses 2-pt jump shot from 7 ft,,108,127
4,1:29.0,,Defensive rebound by N. Stauskas,108,127
4,1:22.0,,J. Layman makes 2-pt dunk from 1 ft (assist by M. Leonard),108,129
4,1:14.0,C. Sexton misses 2-pt jump shot from 13 ft,,108,129
4,1:11.0,,Defensive rebound by J. Layman,108,129
4,0:59.0,,A. Simons misses 3-pt jump shot from 25 ft,108,129
4,0:57.0,Defensive rebound by A. Burks,,108,129
4,0:47.0,R. Hood misses 3-pt jump shot from 23 ft,,108,129
4,0:44.0,Offensive rebound by A. Žižić,,108,129
4,0:41.0,A. Žižić misses 2-pt jump shot from 5 ft,,108,129
4,0:39.0,Offensive rebound by R. Hood,,108,129
4,0:38.0,R. Hood makes 2-pt jump shot from 7 ft,,110,129
4,0:24.0,,A. Simons misses 2-pt jump shot from 6 ft,110,129
4,0:22.0,Defensive rebound by A. Žižić,,110,129
4,0:18.0,A. Žižić makes 2-pt layup from 1 ft (assist by R. Hood),,112,129
