QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,ORLANDO_ACTION,SACRAMENTO_SCORE,ORLANDO_SCORE
4,4:20.0,Violation by Team (kicked ball),,94,91
4,4:20.0,,E. Fournier enters the game for T. Ross,94,91
4,4:01.0,,E. Fournier misses 2-pt jump shot from 18 ft,94,91
4,3:58.0,Defensive rebound by W. Cauley-Stein,,94,91
4,3:54.0,Personal foul by A. Gordon (drawn by D. Fox),,94,91
4,3:43.0,N. Bjelica misses 2-pt jump shot from 8 ft,,94,91
4,3:41.0,,Defensive rebound by M. Bamba,94,91
4,3:41.0,,T. Ross enters the game for E. Fournier,94,91
4,3:31.0,,Turnover by J. Simmons (bad pass; steal by D. Fox),94,91
4,3:30.0,D. Fox makes 2-pt layup from 2 ft,,96,91
4,3:30.0,,Violation by Team (def goaltending),96,91
4,3:30.0,Shooting foul by D. Augustin (drawn by D. Fox),,96,91
4,3:30.0,D. Fox misses free throw 1 of 1,,96,91
4,3:25.0,,Defensive rebound by T. Ross,96,91
4,3:25.0,,Orlando full timeout,96,91
4,3:25.0,J. Jackson enters the game for D. Fox,,96,91
4,3:14.0,,Turnover by M. Bamba (lost ball; steal by N. Bjelica),96,91
4,3:14.0,Sacramento full timeout,,96,91
4,3:14.0,D. Fox enters the game for J. Jackson,,96,91
4,2:57.0,W. Cauley-Stein misses 2-pt hook shot from 6 ft,,96,91
4,2:55.0,,Defensive rebound by A. Gordon,96,91
4,2:47.0,,Turnover by A. Gordon (lost ball; steal by W. Cauley-Stein),96,91
4,2:43.0,T. Williams makes 2-pt layup from 2 ft (assist by D. Fox),,98,91
4,2:18.0,,J. Simmons misses 3-pt jump shot from 29 ft,98,91
4,2:15.0,Defensive rebound by N. Bjelica,,98,91
4,2:00.0,Shooting foul by D. Augustin (drawn by D. Fox),,98,91
4,2:00.0,D. Fox makes free throw 1 of 2,,99,91
4,2:00.0,,N. Vučević enters the game for M. Bamba,99,91
4,2:00.0,D. Fox misses free throw 2 of 2,,99,91
4,1:58.0,,Defensive rebound by N. Vučević,99,91
4,1:42.0,,T. Ross misses 2-pt jump shot from 20 ft,99,91
4,1:40.0,Defensive rebound by N. Bjelica,,99,91
4,1:28.0,B. Hield makes 2-pt jump shot from 19 ft,,101,91
4,1:28.0,,Orlando full timeout,101,91
4,1:28.0,,J. Isaac enters the game for A. Gordon,101,91
4,1:23.0,,T. Ross misses 3-pt jump shot from 25 ft (block by T. Williams),101,91
4,1:23.0,Defensive rebound by D. Fox,,101,91
4,1:22.0,Personal take foul by T. Ross (drawn by D. Fox),,101,91
4,1:22.0,D. Fox makes free throw 1 of 2,,102,91
4,1:22.0,D. Fox misses free throw 2 of 2,,102,91
4,1:22.0,,Defensive rebound by N. Vučević,102,91
4,1:11.0,,J. Simmons makes 3-pt jump shot from 26 ft (assist by J. Isaac),102,94
4,1:08.0,Personal foul by J. Isaac (drawn by N. Bjelica),,102,94
4,1:08.0,N. Bjelica misses free throw 1 of 2,,102,94
4,1:08.0,Offensive rebound by Team,,102,94
4,1:08.0,N. Bjelica makes free throw 2 of 2,,103,94
4,0:58.0,,Personal foul by T. Williams (drawn by J. Isaac),103,94
4,0:58.0,,J. Isaac makes free throw 1 of 2,103,95
4,0:58.0,,J. Isaac makes free throw 2 of 2,103,96
4,0:53.0,Turnover by N. Bjelica (bad pass; steal by J. Isaac),,103,96
4,0:48.0,,J. Simmons misses 3-pt jump shot from 28 ft,103,96
4,0:46.0,Defensive rebound by W. Cauley-Stein,,103,96
4,0:45.0,Personal take foul by T. Ross (drawn by B. Hield),,103,96
4,0:45.0,B. Hield makes free throw 1 of 2,,104,96
4,0:45.0,B. Hield makes free throw 2 of 2,,105,96
4,0:34.0,,T. Ross misses 3-pt jump shot from 29 ft,105,96
4,0:31.0,Defensive rebound by N. Bjelica,,105,96
4,0:29.0,Personal take foul by T. Ross (drawn by B. Hield),,105,96
4,0:29.0,B. Hield makes free throw 1 of 2,,106,96
4,0:29.0,F. Mason enters the game for W. Cauley-Stein,,106,96
4,0:29.0,B. Hield makes free throw 2 of 2,,107,96
4,0:17.0,,J. Isaac misses 3-pt jump shot from 26 ft,107,96
4,0:15.0,,Offensive rebound by N. Vučević,107,96
4,0:15.0,,D. Augustin makes 3-pt jump shot from 26 ft (assist by N. Vučević),107,99
4,0:11.0,Turnover by F. Mason (bad pass),,107,99
4,0:08.0,,Turnover by J. Simmons (bad pass; steal by F. Mason),107,99
