QUARTER,TIME_REMAINING,OKLAHOMA CITY_ACTION,BOSTON_ACTION,OKLAHOMA CITY_SCORE,BOSTON_SCORE
3,2:51.0,D. Schröder makes free throw 2 of 2,,82,92
3,2:39.0,,M. Smart makes 2-pt layup from 5 ft (assist by G. Hayward),82,94
3,2:27.0,P. George misses 3-pt jump shot from 26 ft,,82,94
3,2:25.0,Offensive rebound by S. Adams,,82,94
3,2:24.0,S. Adams makes 2-pt layup from 1 ft,,84,94
3,2:11.0,,M. Smart misses 3-pt jump shot from 26 ft,84,94
3,2:09.0,Defensive rebound by P. Patterson,,84,94
3,1:54.0,P. Patterson makes 2-pt hook shot from 10 ft (assist by D. Schröder),,86,94
3,1:40.0,,K. Irving makes 2-pt jump shot from 10 ft,86,96
3,1:40.0,N. Noel enters the game for S. Adams,,86,96
3,1:40.0,,T. Rozier enters the game for A. Horford,86,96
3,1:40.0,,D. Theis enters the game for M. Smart,86,96
3,1:20.0,D. Schröder makes 2-pt layup from 1 ft,,88,96
3,1:02.0,,D. Theis makes 3-pt jump shot from 24 ft (assist by K. Irving),88,99
3,0:55.0,P. George makes 2-pt layup from 1 ft,,90,99
3,0:55.0,Shooting foul by D. Theis (drawn by P. George),,90,99
3,0:55.0,P. George makes free throw 1 of 1,,91,99
3,0:48.0,,Personal foul by D. Schröder (drawn by K. Irving),91,99
3,0:44.0,,G. Hayward misses 2-pt jump shot from 19 ft,91,99
3,0:42.0,Defensive rebound by D. Schröder,,91,99
3,0:35.0,P. George misses 3-pt jump shot from 29 ft,,91,99
3,0:32.0,,Defensive rebound by T. Rozier,91,99
3,0:24.0,,T. Rozier misses 2-pt jump shot from 18 ft,91,99
3,0:21.0,Defensive rebound by P. Patterson,,91,99
3,0:01.0,D. Schröder makes 2-pt jump shot from 9 ft,,93,99
4,11:50.0,Personal foul by M. Morris (drawn by P. George),,93,99
4,11:42.0,P. George misses 3-pt jump shot from 24 ft,,93,99
4,11:40.0,,Defensive rebound by T. Rozier,93,99
4,11:27.0,,Shooting foul by D. Schröder (drawn by T. Rozier),93,99
4,11:27.0,,T. Rozier misses free throw 1 of 2,93,99
4,11:27.0,,Offensive rebound by Team,93,99
4,11:27.0,,T. Rozier makes free throw 2 of 2,93,100
4,11:10.0,D. Schröder misses 2-pt jump shot from 14 ft,,93,100
4,11:08.0,,Defensive rebound by M. Morris,93,100
4,10:52.0,,M. Morris makes 2-pt jump shot from 16 ft (assist by J. Brown),93,102
4,10:42.0,P. George misses 2-pt layup from 2 ft,,93,102
4,10:40.0,,Defensive rebound by M. Morris,93,102
4,10:35.0,,T. Rozier misses 3-pt jump shot from 24 ft,93,102
4,10:33.0,Defensive rebound by P. George,,93,102
4,10:25.0,P. George misses 2-pt layup from 1 ft,,93,102
4,10:25.0,Offensive rebound by N. Noel,,93,102
4,10:21.0,N. Noel makes 2-pt layup from 1 ft,,95,102
4,10:21.0,Technical foul by P. George,,95,102
4,10:21.0,,M. Morris makes technical free throw,95,103
4,10:12.0,,Personal foul by D. Schröder (drawn by G. Hayward),95,103
4,10:08.0,,G. Hayward misses 2-pt layup from 2 ft (block by P. George),95,103
4,10:07.0,,Offensive rebound by Team,95,103
4,10:00.0,,D. Theis makes 2-pt layup from 1 ft (assist by M. Morris),95,105
4,9:44.0,D. Schröder misses 3-pt jump shot from 26 ft,,95,105
4,9:42.0,,Defensive rebound by J. Brown,95,105
4,9:38.0,,Turnover by J. Brown (lost ball; steal by N. Noel),95,105
4,9:36.0,Personal foul by M. Morris (drawn by P. George),,95,105
4,9:36.0,R. Westbrook enters the game for D. Schröder,,95,105
4,9:28.0,R. Westbrook misses 2-pt layup from 5 ft (block by T. Rozier),,95,105
4,9:26.0,,Defensive rebound by T. Rozier,95,105
4,9:08.0,,M. Morris misses 3-pt jump shot from 26 ft,95,105
4,9:06.0,Defensive rebound by R. Westbrook,,95,105
4,8:55.0,H. Diallo makes 2-pt dunk from 1 ft (assist by P. George),,97,105
4,8:55.0,Shooting foul by D. Theis (drawn by H. Diallo),,97,105
4,8:55.0,H. Diallo makes free throw 1 of 1,,98,105
4,8:37.0,,Personal foul by N. Noel (drawn by J. Brown),98,105
4,8:35.0,,M. Morris misses 3-pt jump shot from 26 ft,98,105
4,8:33.0,Defensive rebound by R. Westbrook,,98,105
4,8:25.0,R. Westbrook misses 3-pt jump shot from 25 ft,,98,105
4,8:23.0,Offensive rebound by N. Noel,,98,105
4,8:21.0,Turnover by H. Diallo (bad pass),,98,105
4,8:21.0,T. Ferguson enters the game for P. George,,98,105
4,8:08.0,,T. Rozier makes 2-pt jump shot from 17 ft,98,107
4,7:54.0,P. Patterson makes 3-pt jump shot from 26 ft (assist by R. Westbrook),,101,107
4,7:46.0,,Personal foul by R. Westbrook (drawn by J. Brown),101,107
4,7:46.0,,Boston full timeout,101,107
4,7:46.0,S. Adams enters the game for H. Diallo,,101,107
4,7:46.0,P. George enters the game for N. Noel,,101,107
4,7:34.0,,J. Brown misses 2-pt jump shot from 8 ft,101,107
4,7:32.0,Defensive rebound by S. Adams,,101,107
4,7:28.0,R. Westbrook makes 2-pt layup at rim,,103,107
4,7:16.0,,T. Rozier makes 3-pt jump shot from 26 ft,103,110
4,6:48.0,Turnover by P. George (bad pass; steal by G. Hayward),,103,110
4,6:45.0,,G. Hayward misses 2-pt dunk from 4 ft (block by P. Patterson),103,110
4,6:43.0,,Offensive rebound by M. Morris,103,110
4,6:42.0,,M. Morris makes 2-pt dunk from 3 ft,103,112
4,6:30.0,T. Ferguson misses 3-pt jump shot from 26 ft,,103,112
4,6:27.0,,Defensive rebound by T. Rozier,103,112
4,6:24.0,,Turnover by T. Rozier (bad pass; steal by P. Patterson),103,112
4,6:20.0,R. Westbrook makes 2-pt dunk from 1 ft (assist by P. George),,105,112
4,5:58.0,,D. Theis makes 3-pt jump shot from 26 ft (assist by T. Rozier),105,115
4,5:46.0,Shooting foul by J. Brown (drawn by P. George),,105,115
4,5:46.0,P. George makes free throw 1 of 2,,106,115
4,5:46.0,J. Grant enters the game for P. Patterson,,106,115
4,5:46.0,,K. Irving enters the game for G. Hayward,106,115
4,5:46.0,,J. Tatum enters the game for M. Morris,106,115
4,5:46.0,P. George makes free throw 2 of 2,,107,115
4,5:25.0,,T. Rozier makes 2-pt jump shot from 15 ft (assist by K. Irving),107,117
4,5:16.0,T. Ferguson misses 3-pt jump shot from 23 ft,,107,117
4,5:14.0,,Defensive rebound by J. Tatum,107,117
4,4:56.0,,Shooting foul by R. Westbrook (drawn by D. Theis),107,117
4,4:56.0,,D. Theis makes free throw 1 of 2,107,118
4,4:56.0,D. Schröder enters the game for T. Ferguson,,107,118
4,4:56.0,,M. Smart enters the game for T. Rozier,107,118
4,4:56.0,,D. Theis makes free throw 2 of 2,107,119
4,4:52.0,P. George makes 3-pt jump shot from 25 ft (assist by R. Westbrook),,110,119
4,4:31.0,,K. Irving misses 2-pt layup from 1 ft,110,119
4,4:29.0,Defensive rebound by D. Schröder,,110,119
4,4:29.0,,A. Horford enters the game for D. Theis,110,119
4,4:21.0,J. Grant makes 2-pt jump shot from 8 ft (assist by R. Westbrook),,112,119
4,4:21.0,Shooting foul by J. Brown (drawn by J. Grant),,112,119
4,4:21.0,J. Grant misses free throw 1 of 1,,112,119
4,4:21.0,,Defensive rebound by J. Brown,112,119
4,4:04.0,,Shooting foul by P. George (drawn by J. Brown),112,119
4,4:04.0,,J. Brown misses free throw 1 of 2,112,119
4,4:04.0,,Offensive rebound by Team,112,119
4,4:04.0,,J. Brown misses free throw 2 of 2,112,119
4,4:04.0,Defensive rebound by R. Westbrook,,112,119
4,3:56.0,J. Grant misses 2-pt jump shot from 14 ft,,112,119
4,3:53.0,Offensive rebound by R. Westbrook,,112,119
4,3:52.0,Shooting foul by A. Horford (drawn by P. George),,112,119
4,3:52.0,P. George makes free throw 1 of 2,,113,119
4,3:52.0,,M. Morris enters the game for J. Brown,113,119
4,3:52.0,P. George makes free throw 2 of 2,,114,119
4,3:36.0,,A. Horford makes 2-pt jump shot from 21 ft (assist by K. Irving),114,121
4,3:27.0,Turnover by R. Westbrook (lost ball; steal by A. Horford),,114,121
4,3:23.0,,J. Tatum misses 2-pt layup from 2 ft,114,121
4,3:21.0,Defensive rebound by S. Adams,,114,121
4,3:18.0,R. Westbrook makes 3-pt jump shot from 26 ft (assist by D. Schröder),,117,121
4,2:50.0,,M. Smart misses 3-pt jump shot from 27 ft,117,121
4,2:49.0,Defensive rebound by R. Westbrook,,117,121
4,2:42.0,R. Westbrook makes 2-pt layup from 1 ft,,119,121
4,2:24.0,,K. Irving makes 2-pt layup from 1 ft (assist by M. Smart),119,123
