QUARTER,TIME_REMAINING,CHARLOTTE_ACTION,MINNESOTA_ACTION,CHARLOTTE_SCORE,MINNESOTA_SCORE
4,4:22.0,N. Batum misses 2-pt jump shot from 16 ft,,98,108
4,4:19.0,,Defensive rebound by K. Towns,98,108
4,4:07.0,,R. Covington makes 2-pt jump shot from 21 ft (assist by K. Towns),98,110
4,4:05.0,Charlotte full timeout,,98,110
4,4:05.0,F. Kaminsky enters the game for M. Kidd-Gilchrist,,98,110
4,4:05.0,M. Monk enters the game for J. Lamb,,98,110
4,3:52.0,K. Walker misses 2-pt layup from 1 ft,,98,110
4,3:48.0,,Defensive rebound by K. Towns,98,110
4,3:31.0,,K. Towns makes 2-pt layup from 1 ft (assist by J. Teague),98,112
4,3:07.0,F. Kaminsky misses 2-pt jump shot from 9 ft,,98,112
4,3:06.0,,Defensive rebound by K. Towns,98,112
4,3:01.0,,A. Wiggins makes 3-pt jump shot from 25 ft (assist by J. Teague),98,115
4,2:42.0,N. Batum misses 2-pt layup from 4 ft,,98,115
4,2:39.0,,Defensive rebound by K. Towns,98,115
4,2:27.0,,Turnover by J. Teague (bad pass; steal by N. Batum),98,115
4,2:27.0,D. Bacon enters the game for N. Batum,,98,115
4,2:27.0,M. Bridges enters the game for F. Kaminsky,,98,115
4,2:27.0,D. Graham enters the game for K. Walker,,98,115
4,2:27.0,W. Hernangómez enters the game for C. Zeller,,98,115
4,2:16.0,Shooting foul by R. Covington (drawn by M. Monk),,98,115
4,2:16.0,M. Monk makes free throw 1 of 2,,99,115
4,2:16.0,M. Monk makes free throw 2 of 2,,100,115
4,1:59.0,,K. Towns makes 2-pt layup from 1 ft (assist by J. Teague),100,117
4,1:47.0,M. Bridges misses 2-pt jump shot from 6 ft,,100,117
4,1:47.0,,Defensive rebound by R. Covington,100,117
4,1:35.0,,A. Wiggins makes 2-pt jump shot from 15 ft (assist by J. Teague),100,119
4,1:31.0,Personal take foul by K. Towns (drawn by D. Graham),,100,119
4,1:31.0,,G. Dieng enters the game for R. Covington,100,119
4,1:31.0,,T. Jones enters the game for D. Šarić,100,119
4,1:31.0,,J. Nunnally enters the game for J. Teague,100,119
4,1:31.0,,J. Okogie enters the game for K. Towns,100,119
4,1:31.0,,A. Tolliver enters the game for A. Wiggins,100,119
4,1:14.0,D. Bacon misses 2-pt jump shot from 9 ft,,100,119
4,1:12.0,Offensive rebound by W. Hernangómez,,100,119
4,1:12.0,W. Hernangómez makes 2-pt layup from 3 ft,,102,119
4,1:00.0,,G. Dieng makes 2-pt jump shot from 22 ft (assist by J. Nunnally),102,121
4,0:50.0,W. Hernangómez makes 2-pt jump shot from 5 ft (assist by D. Graham),,104,121
4,0:36.0,,J. Nunnally misses 2-pt jump shot from 21 ft,104,121
4,0:33.0,Defensive rebound by W. Hernangómez,,104,121
4,0:26.0,M. Bridges misses 3-pt jump shot from 25 ft,,104,121
4,0:22.0,,Defensive rebound by A. Tolliver,104,121
