QUARTER,TIME_REMAINING,DENVER_ACTION,SACRAMENTO_ACTION,DENVER_SCORE,SACRAMENTO_SCORE
4,4:31.0,,W. Cauley-Stein misses 2-pt layup from 2 ft (block by N. Jokić),100,92
4,4:25.0,Defensive rebound by N. Jokić,,100,92
4,4:25.0,Turnover by N. Jokić (lost ball; steal by B. Hield),,100,92
4,4:25.0,,B. Hield makes 3-pt jump shot from 27 ft,100,95
4,4:25.0,Denver full timeout,,100,95
4,4:25.0,M. Plumlee enters the game for P. Millsap,,100,95
4,4:09.0,N. Jokić misses 2-pt hook shot from 6 ft,,100,95
4,4:07.0,,Defensive rebound by W. Cauley-Stein,100,95
4,3:55.0,,Turnover by D. Fox (bad pass; steal by J. Murray),100,95
4,3:51.0,G. Harris makes 2-pt dunk from 1 ft,,102,95
4,3:40.0,,B. Hield makes 3-pt jump shot from 27 ft (assist by D. Fox),102,98
4,3:17.0,J. Murray misses 2-pt jump shot from 8 ft,,102,98
4,3:15.0,Offensive rebound by J. Murray,,102,98
4,3:13.0,J. Murray makes 2-pt jump shot from 1 ft,,104,98
4,2:54.0,,B. Hield makes 3-pt jump shot from 26 ft,104,101
4,2:35.0,Turnover by N. Jokić (bad pass; steal by B. Bogdanović),,104,101
4,2:22.0,,B. Hield misses 3-pt jump shot from 26 ft,104,101
4,2:21.0,Defensive rebound by Team,,104,101
4,2:05.0,N. Jokić makes 2-pt hook shot from 5 ft,,106,101
4,1:50.0,,D. Fox makes 2-pt jump shot from 8 ft,106,103
4,1:39.0,Personal foul by W. Cauley-Stein (drawn by N. Jokić),,106,103
4,1:30.0,M. Plumlee makes 2-pt dunk at rim (assist by N. Jokić),,108,103
4,1:24.0,,D. Fox makes 2-pt layup from 3 ft,108,105
4,1:24.0,,Shooting foul by M. Plumlee (drawn by D. Fox),108,105
4,1:24.0,,D. Fox makes free throw 1 of 1,108,106
4,1:01.0,J. Murray makes 3-pt jump shot from 25 ft,,111,106
4,0:55.0,,D. Fox makes 2-pt layup from 1 ft,111,108
4,0:36.0,J. Murray makes 3-pt jump shot from 26 ft,,114,108
4,0:36.0,Shooting foul by W. Cauley-Stein (drawn by J. Murray),,114,108
4,0:36.0,T. Craig enters the game for N. Jokić,,114,108
4,0:36.0,J. Murray misses free throw 1 of 1,,114,108
4,0:35.0,,Defensive rebound by W. Cauley-Stein,114,108
4,0:35.0,,Sacramento full timeout,114,108
4,0:25.0,,B. Bogdanović makes 3-pt jump shot from 31 ft (assist by D. Fox),114,111
4,0:25.0,Denver full timeout,,114,111
4,0:25.0,N. Jokić enters the game for T. Craig,,114,111
4,0:24.0,Personal take foul by B. Hield (drawn by J. Murray),,114,111
4,0:24.0,J. Murray misses free throw 1 of 2,,114,111
4,0:24.0,Offensive rebound by Team,,114,111
4,0:24.0,T. Craig enters the game for N. Jokić,,114,111
4,0:24.0,J. Murray makes free throw 2 of 2,,115,111
4,0:18.0,,B. Bogdanović misses 3-pt jump shot from 25 ft,115,111
4,0:14.0,Defensive rebound by G. Harris,,115,111
4,0:14.0,Personal foul by B. Hield (drawn by G. Harris),,115,111
4,0:14.0,G. Harris makes free throw 1 of 2,,116,111
4,0:14.0,G. Harris makes free throw 2 of 2,,117,111
4,0:03.0,,B. Hield makes 2-pt layup from 2 ft,117,113
