QUARTER,TIME_REMAINING,ATLANTA_ACTION,OKLAHOMA CITY_ACTION,ATLANTA_SCORE,OKLAHOMA CITY_SCORE
4,5:07.0,Defensive rebound by J. Collins,,92,114
4,4:59.0,J. Collins misses 3-pt jump shot from 23 ft,,92,114
4,4:55.0,,Defensive rebound by R. Westbrook,92,114
4,4:43.0,,S. Adams misses 2-pt hook shot from 7 ft,92,114
4,4:43.0,Defensive rebound by Team,,92,114
4,4:43.0,,Loose ball foul by R. Westbrook (drawn by A. Len),92,114
4,4:43.0,,A. Nader enters the game for R. Westbrook,92,114
4,4:29.0,J. Collins makes 2-pt jump shot from 7 ft (assist by A. Len),,94,114
4,4:08.0,,P. Patterson misses 3-pt jump shot from 25 ft,94,114
4,4:05.0,Defensive rebound by J. Collins,,94,114
4,3:58.0,Shooting foul by D. Schröder (drawn by D. Bembry),,94,114
4,3:58.0,D. Bembry misses free throw 1 of 2,,94,114
4,3:58.0,Offensive rebound by Team,,94,114
4,3:58.0,J. Anderson enters the game for D. Bembry,,94,114
4,3:58.0,T. Dorsey enters the game for J. Collins,,94,114
4,3:58.0,O. Spellman enters the game for T. Prince,,94,114
4,3:58.0,,Á. Abrines enters the game for S. Adams,94,114
4,3:58.0,,N. Noel enters the game for D. Burton,94,114
4,3:58.0,Turnover by J. Anderson (lane violation),,94,114
4,3:50.0,,D. Schröder misses 2-pt layup from 2 ft,94,114
4,3:46.0,Defensive rebound by A. Len,,94,114
4,3:39.0,A. Len misses 3-pt jump shot from 25 ft,,94,114
4,3:36.0,Offensive rebound by T. Dorsey,,94,114
4,3:34.0,T. Dorsey makes 2-pt layup from 1 ft,,96,114
4,3:21.0,,Á. Abrines makes 3-pt jump shot from 27 ft (assist by P. Patterson),96,117
4,3:09.0,A. Len makes 2-pt layup at rim (assist by T. Dorsey),,98,117
4,3:09.0,Shooting foul by Á. Abrines (drawn by A. Len),,98,117
4,3:09.0,A. Len makes free throw 1 of 1,,99,117
4,2:58.0,,N. Noel misses 2-pt jump shot from 16 ft,99,117
4,2:56.0,Defensive rebound by K. Huerter,,99,117
4,2:49.0,Turnover by K. Huerter (bad pass; steal by P. Patterson),,99,117
4,2:44.0,,D. Schröder makes 3-pt jump shot from 25 ft (assist by P. Patterson),99,120
4,2:27.0,Turnover by T. Dorsey (bad pass; steal by P. Patterson),,99,120
4,2:25.0,,Turnover by P. Patterson (bad pass; steal by K. Huerter),99,120
4,2:21.0,Turnover by K. Huerter (bad pass; steal by P. Patterson),,99,120
4,2:17.0,,D. Schröder makes 2-pt layup from 1 ft (assist by P. Patterson),99,122
4,2:03.0,T. Dorsey misses 2-pt jump shot from 14 ft,,99,122
4,1:59.0,Offensive rebound by K. Huerter,,99,122
4,1:55.0,T. Dorsey misses 3-pt jump shot from 26 ft,,99,122
4,1:53.0,Offensive rebound by O. Spellman,,99,122
4,1:51.0,O. Spellman misses 2-pt layup from 2 ft,,99,122
4,1:49.0,Offensive rebound by O. Spellman,,99,122
4,1:49.0,Shooting foul by A. Nader (drawn by O. Spellman),,99,122
4,1:49.0,,Oklahoma City full timeout,99,122
4,1:49.0,,D. Burton enters the game for Á. Abrines,99,122
4,1:49.0,,T. Luwawu-Cabarrot enters the game for D. Schröder,99,122
4,1:49.0,O. Spellman makes free throw 1 of 2,,100,122
4,1:49.0,O. Spellman misses free throw 2 of 2,,100,122
4,1:46.0,Offensive rebound by A. Len,,100,122
4,1:40.0,O. Spellman makes 3-pt jump shot from 25 ft (assist by J. Anderson),,103,122
4,1:27.0,,Turnover by D. Burton (bad pass; steal by K. Huerter),103,122
4,1:24.0,J. Anderson makes 2-pt dunk from 2 ft (assist by K. Huerter),,105,122
4,1:12.0,,Personal foul by J. Anderson (drawn by N. Noel),105,122
4,1:04.0,,A. Nader makes 2-pt layup from 1 ft,105,124
4,0:51.0,Shooting foul by D. Burton (drawn by J. Anderson),,105,124
4,0:51.0,J. Anderson makes free throw 1 of 2,,106,124
4,0:51.0,J. Anderson makes free throw 2 of 2,,107,124
4,0:40.0,,A. Nader misses 2-pt layup from 2 ft,107,124
4,0:37.0,,Offensive rebound by N. Noel,107,124
4,0:32.0,,Turnover by D. Burton (lost ball; steal by J. Anderson),107,124
4,0:27.0,T. Dorsey makes 2-pt layup from 1 ft (assist by J. Anderson),,109,124
4,0:03.0,,Turnover by Team (shot clock),109,124
4,0:00.0,J. Anderson misses 2-pt jump shot from 12 ft,,109,124
4,0:00.0,,Defensive rebound by Team,109,124
