QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,NEW ORLEANS_ACTION,SAN ANTONIO_SCORE,NEW ORLEANS_SCORE
2,1:00.0,M. Belinelli misses 3-pt jump shot from 25 ft,,58,55
2,0:58.0,,Defensive rebound by J. Okafor,58,55
2,0:50.0,,J. Holiday misses 3-pt jump shot from 25 ft,58,55
2,0:48.0,Defensive rebound by P. Mills,,58,55
2,0:32.0,R. Gay makes 2-pt jump shot from 19 ft (assist by L. Aldridge),,60,55
2,0:15.0,,J. Okafor makes 2-pt layup from 4 ft (assist by F. Jackson),60,57
2,0:00.0,R. Gay misses 2-pt layup from 2 ft,,60,57
2,0:00.0,Offensive rebound by Team,,60,57
3,11:40.0,,J. Okafor makes 2-pt jump shot from 9 ft,60,59
3,11:24.0,L. Aldridge makes 2-pt hook shot from 8 ft,,62,59
3,11:01.0,,Turnover by E. Moore (bad pass; steal by P. Gasol),62,59
3,10:56.0,R. Gay makes 3-pt jump shot from 25 ft (assist by B. Forbes),,65,59
3,10:38.0,,J. Holiday misses 2-pt jump shot from 7 ft,65,59
3,10:36.0,Defensive rebound by P. Gasol,,65,59
3,10:31.0,B. Forbes misses 3-pt jump shot from 25 ft,,65,59
3,10:27.0,,Defensive rebound by S. Hill,65,59
3,10:16.0,,J. Holiday misses 2-pt jump shot from 4 ft,65,59
3,10:14.0,Defensive rebound by P. Gasol,,65,59
3,10:05.0,D. White misses 2-pt jump shot from 17 ft,,65,59
3,10:02.0,,Defensive rebound by E. Payton,65,59
3,9:56.0,,E. Payton makes 2-pt layup from 2 ft,65,61
3,9:41.0,B. Forbes makes 3-pt jump shot from 25 ft (assist by R. Gay),,68,61
3,9:41.0,Shooting foul by S. Hill (drawn by B. Forbes),,68,61
3,9:41.0,B. Forbes makes free throw 1 of 1,,69,61
3,9:22.0,,J. Holiday misses 2-pt jump shot from 12 ft,69,61
3,9:21.0,Defensive rebound by L. Aldridge,,69,61
3,9:17.0,B. Forbes misses 3-pt jump shot from 26 ft,,69,61
3,9:15.0,,Defensive rebound by J. Okafor,69,61
3,9:03.0,,E. Payton misses 2-pt jump shot from 11 ft,69,61
3,8:58.0,Defensive rebound by L. Aldridge,,69,61
3,8:53.0,Shooting foul by S. Hill (drawn by R. Gay),,69,61
3,8:53.0,R. Gay makes free throw 1 of 2,,70,61
3,8:53.0,R. Gay makes free throw 2 of 2,,71,61
3,8:46.0,,New Orleans full timeout,71,61
3,8:46.0,,F. Jackson enters the game for S. Hill,71,61
3,8:46.0,,D. Miller enters the game for E. Payton,71,61
3,8:39.0,,J. Holiday misses 2-pt jump shot from 4 ft (block by D. White),71,61
3,8:36.0,,Offensive rebound by J. Holiday,71,61
3,8:29.0,,F. Jackson misses 2-pt layup from 5 ft,71,61
3,8:29.0,Defensive rebound by L. Aldridge,,71,61
3,8:21.0,Personal foul by D. Miller (drawn by L. Aldridge),,71,61
3,8:21.0,D. Cunningham enters the game for P. Gasol,,71,61
3,8:13.0,D. White misses 3-pt jump shot from 26 ft,,71,61
3,8:08.0,,Defensive rebound by E. Moore,71,61
3,7:58.0,,Turnover by E. Moore (out of bounds lost ball),71,61
3,7:44.0,Shooting foul by F. Jackson (drawn by R. Gay),,71,61
3,7:44.0,R. Gay makes free throw 1 of 2,,72,61
3,7:44.0,,I. Clark enters the game for E. Moore,72,61
3,7:44.0,R. Gay makes free throw 2 of 2,,73,61
3,7:35.0,,Shooting foul by R. Gay (drawn by J. Holiday),73,61
3,7:35.0,,J. Holiday makes free throw 1 of 2,73,62
3,7:35.0,,J. Holiday makes free throw 2 of 2,73,63
3,7:18.0,D. White makes 2-pt layup from 2 ft (assist by R. Gay),,75,63
3,7:01.0,,D. Miller misses 3-pt jump shot from 26 ft (block by R. Gay),75,63
3,6:59.0,Defensive rebound by L. Aldridge,,75,63
3,6:59.0,Shooting foul by D. Miller (drawn by R. Gay),,75,63
3,6:59.0,R. Gay makes free throw 1 of 2,,76,63
3,6:59.0,R. Gay makes free throw 2 of 2,,77,63
3,6:36.0,,Shooting foul by L. Aldridge (drawn by J. Okafor),77,63
3,6:36.0,,J. Okafor makes free throw 1 of 2,77,64
3,6:36.0,,J. Okafor makes free throw 2 of 2,77,65
3,6:22.0,R. Gay misses 2-pt layup from 6 ft,,77,65
3,6:20.0,Offensive rebound by L. Aldridge,,77,65
3,6:19.0,L. Aldridge misses 2-pt layup from 2 ft,,77,65
3,6:19.0,,Defensive rebound by D. Miller,77,65
3,6:08.0,,Turnover by J. Holiday (lost ball; steal by D. White),77,65
3,6:00.0,R. Gay makes 2-pt jump shot from 11 ft,,79,65
3,5:41.0,,J. Holiday makes 2-pt jump shot from 11 ft,79,67
3,5:30.0,D. White misses 2-pt layup from 2 ft (block by J. Okafor),,79,67
3,5:26.0,Offensive rebound by D. White,,79,67
3,5:25.0,D. White makes 2-pt layup from 1 ft,,81,67
