QUARTER,TIME_REMAINING,NEW ORLEANS_ACTION,OKLAHOMA CITY_ACTION,NEW ORLEANS_SCORE,OKLAHOMA CITY_SCORE
2,2:59.0,Defensive rebound by A. Davis,,55,54
2,2:53.0,J. Holiday makes 2-pt layup at rim,,57,54
2,2:32.0,,R. Westbrook misses 3-pt jump shot from 24 ft,57,54
2,2:31.0,Defensive rebound by N. Mirotić,,57,54
2,2:11.0,A. Davis misses 2-pt jump shot from 4 ft,,57,54
2,2:07.0,,Defensive rebound by S. Adams,57,54
2,2:02.0,,R. Westbrook misses 2-pt layup from 2 ft,57,54
2,2:00.0,Defensive rebound by N. Mirotić,,57,54
2,1:47.0,N. Mirotić makes 2-pt jump shot from 17 ft (assist by I. Clark),,59,54
2,1:36.0,,Personal foul by J. Holiday (drawn by P. George),59,54
2,1:36.0,,P. George makes free throw 1 of 2,59,55
2,1:36.0,,P. George makes free throw 2 of 2,59,56
2,1:26.0,I. Clark misses 3-pt jump shot from 23 ft,,59,56
2,1:24.0,Offensive rebound by A. Davis,,59,56
2,1:24.0,A. Davis misses 2-pt dunk from 1 ft,,59,56
2,1:23.0,,Defensive rebound by R. Westbrook,59,56
2,1:18.0,,R. Westbrook makes 2-pt layup from 1 ft,59,58
2,1:12.0,Personal foul by J. Grant (drawn by A. Davis),,59,58
2,1:12.0,A. Davis makes free throw 1 of 2,,60,58
2,1:12.0,A. Davis makes free throw 2 of 2,,61,58
2,1:03.0,,J. Grant misses 3-pt jump shot from 24 ft,61,58
2,1:00.0,,Offensive rebound by S. Adams,61,58
2,0:58.0,,Oklahoma City full timeout,61,58
2,0:56.0,,R. Westbrook makes 2-pt dunk from 1 ft (assist by S. Adams),61,60
2,0:41.0,Turnover by A. Davis (lost ball; steal by R. Westbrook),,61,60
2,0:38.0,,Turnover by R. Westbrook (bad pass; steal by I. Clark),61,60
2,0:35.0,N. Mirotić misses 3-pt jump shot from 24 ft,,61,60
2,0:33.0,,Defensive rebound by Á. Abrines,61,60
2,0:29.0,,Turnover by R. Westbrook (out of bounds lost ball),61,60
2,0:09.0,J. Holiday makes 2-pt jump shot from 13 ft,,63,60
2,0:01.0,,Personal foul by A. Davis (drawn by P. George),63,60
2,0:01.0,,P. George makes free throw 1 of 2,63,61
2,0:01.0,C. Diallo enters the game for A. Davis,,63,61
2,0:01.0,,P. George makes free throw 2 of 2,63,62
3,11:50.0,,Turnover by R. Westbrook (bad pass; steal by N. Mirotić),63,62
3,11:28.0,E. Moore misses 3-pt jump shot from 25 ft,,63,62
3,11:23.0,,Defensive rebound by S. Adams,63,62
3,11:21.0,,P. George misses 3-pt jump shot from 22 ft,63,62
3,11:18.0,Defensive rebound by N. Mirotić,,63,62
3,11:10.0,Turnover by W. Johnson (out of bounds lost ball),,63,62
3,10:57.0,,J. Grant makes 2-pt layup from 1 ft (assist by P. George),63,64
3,10:41.0,J. Holiday makes 2-pt layup at rim (assist by E. Moore),,65,64
3,10:18.0,,S. Adams makes 2-pt jump shot from 2 ft,65,66
3,10:04.0,A. Davis misses 2-pt jump shot from 20 ft,,65,66
3,10:01.0,,Defensive rebound by R. Westbrook,65,66
3,9:55.0,,S. Adams makes 2-pt layup from 1 ft (assist by R. Westbrook),65,68
3,9:40.0,N. Mirotić makes 2-pt jump shot from 15 ft (assist by E. Moore),,67,68
3,9:36.0,,Turnover by R. Westbrook (bad pass),67,68
3,9:24.0,J. Holiday makes 2-pt layup from 1 ft,,69,68
3,9:15.0,,S. Adams misses 2-pt jump shot from 6 ft,69,68
3,9:13.0,Defensive rebound by N. Mirotić,,69,68
3,9:02.0,Shooting foul by R. Westbrook (drawn by N. Mirotić),,69,68
3,9:02.0,N. Mirotić makes free throw 1 of 2,,70,68
3,9:02.0,,Oklahoma City full timeout,70,68
3,9:02.0,N. Mirotić makes free throw 2 of 2,,71,68
3,8:53.0,,P. George misses 3-pt jump shot from 26 ft,71,68
3,8:49.0,,Offensive rebound by J. Grant,71,68
3,8:48.0,,J. Grant makes 2-pt layup from 1 ft,71,70
