QUARTER,TIME_REMAINING,MINNESOTA_ACTION,DETROIT_ACTION,MINNESOTA_SCORE,DETROIT_SCORE
4,2:00.0,C. Reynolds misses 3-pt jump shot from 23 ft,,105,128
4,2:00.0,Offensive rebound by G. Dieng,,105,128
4,2:00.0,G. Dieng misses 2-pt layup from 1 ft,,105,128
4,2:00.0,Offensive rebound by G. Dieng,,105,128
4,2:00.0,G. Dieng makes 2-pt layup from 1 ft,,107,128
4,2:00.0,Shooting foul by G. Robinson (drawn by G. Dieng),,107,128
4,2:00.0,G. Dieng makes free throw 1 of 1,,108,128
4,1:41.0,,T. Maker misses 2-pt layup from 1 ft,108,128
4,1:39.0,,Offensive rebound by T. Maker,108,128
4,1:37.0,,Shooting foul by K. Bates-Diop (drawn by T. Maker),108,128
4,1:37.0,,T. Maker misses free throw 1 of 2,108,128
4,1:37.0,,Offensive rebound by Team,108,128
4,1:37.0,,T. Maker makes free throw 2 of 2,108,129
4,1:26.0,A. Tolliver makes 3-pt jump shot from 28 ft (assist by C. Reynolds),,111,129
4,1:08.0,,K. Thomas makes 2-pt jump shot from 12 ft,111,131
4,0:52.0,Shooting foul by L. Galloway (drawn by K. Bates-Diop),,111,131
4,0:52.0,K. Bates-Diop makes free throw 1 of 2,,112,131
4,0:52.0,K. Bates-Diop makes free throw 2 of 2,,113,131
4,0:37.0,,K. Thomas misses 3-pt jump shot from 27 ft,113,131
4,0:34.0,Defensive rebound by A. Tolliver,,113,131
4,0:32.0,Personal foul by K. Thomas (drawn by K. Bates-Diop),,113,131
4,0:32.0,K. Bates-Diop misses free throw 1 of 2,,113,131
4,0:32.0,Offensive rebound by Team,,113,131
4,0:32.0,K. Bates-Diop makes free throw 2 of 2,,114,131
4,0:12.0,,G. Robinson misses 2-pt layup from 6 ft (block by G. Dieng),114,131
4,0:09.0,Defensive rebound by G. Dieng,,114,131
4,0:06.0,,Violation by Team (kicked ball),114,131
4,0:02.0,A. Tolliver misses 3-pt jump shot from 28 ft,,114,131
4,0:00.0,,Defensive rebound by J. Calderón,114,131
