QUARTER,TIME_REMAINING,MINNESOTA_ACTION,UTAH_ACTION,MINNESOTA_SCORE,UTAH_SCORE
2,1:38.0,Loose ball foul by G. Dieng (drawn by R. Gobert),,38,50
2,1:31.0,,D. Mitchell misses 2-pt jump shot from 8 ft,38,50
2,1:28.0,Defensive rebound by G. Dieng,,38,50
2,1:15.0,J. Bayless makes 3-pt jump shot from 24 ft (assist by T. Gibson),,41,50
2,1:02.0,,R. Rubio makes 2-pt jump shot from 18 ft (assist by R. Gobert),41,52
2,0:51.0,Personal foul by D. Mitchell (drawn by L. Deng),,41,52
2,0:51.0,L. Deng makes free throw 1 of 2,,42,52
2,0:51.0,D. Šarić enters the game for T. Gibson,,42,52
2,0:51.0,L. Deng makes free throw 2 of 2,,43,52
2,0:40.0,,Turnover by R. Rubio (bad pass; steal by L. Deng),43,52
2,0:36.0,A. Wiggins makes 2-pt dunk from 2 ft (assist by L. Deng),,45,52
2,0:29.0,,J. Crowder misses 3-pt jump shot from 25 ft,45,52
2,0:26.0,Defensive rebound by A. Wiggins,,45,52
2,0:08.0,Turnover by A. Wiggins (out of bounds lost ball),,45,52
2,0:00.0,,R. Rubio misses 3-pt jump shot from 25 ft,45,52
2,0:00.0,,Offensive rebound by Team,45,52
3,11:39.0,,D. Favors makes 3-pt jump shot from 24 ft (assist by D. Mitchell),45,55
3,11:16.0,T. Gibson misses 3-pt jump shot from 23 ft,,45,55
3,11:13.0,,Defensive rebound by J. Ingles,45,55
3,11:06.0,,Personal foul by J. Okogie (drawn by R. Gobert),45,55
3,10:59.0,,D. Mitchell makes 2-pt jump shot from 10 ft,45,57
3,10:40.0,Turnover by T. Gibson (step out of bounds),,45,57
3,10:30.0,,J. Ingles misses 3-pt jump shot from 26 ft,45,57
3,10:26.0,Defensive rebound by A. Wiggins,,45,57
3,10:15.0,T. Gibson makes 2-pt dunk from 1 ft (assist by A. Wiggins),,47,57
3,10:03.0,,Offensive foul by D. Mitchell (drawn by J. Okogie),47,57
3,10:03.0,,Turnover by D. Mitchell (offensive foul),47,57
3,9:53.0,J. Okogie makes 2-pt dunk from 1 ft (assist by K. Towns),,49,57
3,9:31.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by D. Mitchell),49,59
3,9:17.0,K. Towns makes 3-pt jump shot from 26 ft (assist by J. Bayless),,52,59
3,9:01.0,,R. Rubio misses 2-pt layup from 5 ft,52,59
3,9:01.0,,Offensive rebound by Team,52,59
3,8:53.0,,J. Ingles makes 3-pt jump shot from 25 ft,52,62
3,8:31.0,Personal foul by D. Favors (drawn by K. Towns),,52,62
3,8:27.0,K. Towns makes 2-pt jump shot from 9 ft (assist by A. Wiggins),,54,62
3,8:00.0,,J. Ingles makes 3-pt jump shot from 24 ft (assist by D. Mitchell),54,65
3,7:39.0,K. Towns misses 2-pt layup from 4 ft (block by D. Favors),,54,65
3,7:36.0,,Defensive rebound by D. Favors,54,65
3,7:22.0,,J. Ingles misses 3-pt jump shot from 26 ft,54,65
3,7:19.0,Defensive rebound by J. Bayless,,54,65
3,7:05.0,J. Bayless misses 2-pt jump shot from 22 ft,,54,65
3,7:02.0,,Defensive rebound by J. Ingles,54,65
3,6:56.0,,R. Rubio misses 3-pt jump shot from 23 ft,54,65
3,6:53.0,Defensive rebound by A. Wiggins,,54,65
3,6:48.0,A. Wiggins misses 2-pt jump shot from 8 ft (block by D. Mitchell),,54,65
3,6:44.0,,Defensive rebound by D. Favors,54,65
3,6:41.0,,Shooting foul by T. Gibson (drawn by J. Ingles),54,65
3,6:41.0,,Utah full timeout,54,65
3,6:41.0,Technical foul by T. Gibson,,54,65
3,6:41.0,Technical foul by K. Towns,,54,65
3,6:41.0,Technical foul by T. Gibson,,54,65
3,6:41.0,T. Gibson ejected from game,,54,65
3,6:41.0,D. Šarić enters the game for T. Gibson,,54,65
3,6:41.0,,K. Korver enters the game for R. Rubio,54,65
3,6:41.0,,D. Mitchell makes technical free throw,54,66
3,6:41.0,,D. Mitchell makes technical free throw,54,67
3,6:41.0,,D. Mitchell misses technical free throw,54,67
3,6:41.0,,Offensive rebound by Team,54,67
3,6:41.0,,J. Ingles makes free throw 1 of 2,54,68
3,6:41.0,,J. Ingles makes free throw 2 of 2,54,69
3,6:25.0,Offensive foul by K. Towns (drawn by R. Gobert),,54,69
3,6:25.0,Turnover by K. Towns (offensive foul),,54,69
3,6:25.0,L. Deng enters the game for J. Okogie,,54,69
3,6:25.0,G. Dieng enters the game for K. Towns,,54,69
3,6:07.0,,Personal foul by A. Wiggins (drawn by J. Ingles),54,69
3,6:07.0,,J. Crowder enters the game for D. Favors,54,69
3,5:57.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by D. Mitchell),54,72
3,5:41.0,Personal foul by J. Ingles (drawn by A. Wiggins),,54,72
3,5:34.0,A. Wiggins misses 2-pt layup from 2 ft,,54,72
3,5:32.0,,Defensive rebound by D. Mitchell,54,72
3,5:24.0,,D. Mitchell misses 2-pt layup from 3 ft,54,72
3,5:23.0,,Offensive rebound by R. Gobert,54,72
3,5:23.0,,Shooting foul by J. Bayless (drawn by R. Gobert),54,72
3,5:23.0,,R. Gobert makes free throw 1 of 2,54,73
3,5:23.0,,R. O'Neale enters the game for J. Ingles,54,73
3,5:23.0,,R. Gobert misses free throw 2 of 2,54,73
3,5:21.0,Defensive rebound by G. Dieng,,54,73
3,5:02.0,A. Wiggins misses 2-pt jump shot from 5 ft,,54,73
3,5:01.0,Offensive rebound by A. Wiggins,,54,73
3,5:01.0,Shooting foul by J. Crowder (drawn by A. Wiggins),,54,73
3,5:01.0,A. Wiggins misses free throw 1 of 2,,54,73
3,5:01.0,Offensive rebound by Team,,54,73
3,5:01.0,A. Wiggins misses free throw 2 of 2,,54,73
3,4:59.0,,Defensive rebound by R. Gobert,54,73
3,4:46.0,,Shooting foul by G. Dieng (drawn by D. Mitchell),54,73
3,4:46.0,,D. Mitchell makes free throw 1 of 2,54,74
3,4:46.0,K. Towns enters the game for G. Dieng,,54,74
3,4:46.0,,D. Mitchell makes free throw 2 of 2,54,75
3,4:34.0,Shooting foul by D. Mitchell (drawn by K. Towns),,54,75
3,4:34.0,K. Towns makes free throw 1 of 2,,55,75
3,4:34.0,J. Terrell enters the game for A. Wiggins,,55,75
3,4:34.0,K. Towns makes free throw 2 of 2,,56,75
3,4:22.0,,D. Mitchell misses 2-pt layup from 2 ft,56,75
3,4:20.0,,Offensive rebound by R. Gobert,56,75
3,4:19.0,,R. Gobert makes 2-pt dunk from 2 ft,56,77
3,4:04.0,K. Towns makes 2-pt jump shot from 19 ft,,58,77
3,3:45.0,,K. Korver misses 3-pt jump shot from 23 ft,58,77
3,3:42.0,,Offensive rebound by R. Gobert,58,77
3,3:36.0,,J. Crowder misses 2-pt jump shot from 22 ft,58,77
3,3:32.0,Defensive rebound by K. Towns,,58,77
3,3:31.0,Personal foul by D. Mitchell (drawn by L. Deng),,58,77
3,3:31.0,L. Deng makes free throw 1 of 2,,59,77
3,3:31.0,C. Williams enters the game for J. Bayless,,59,77
3,3:31.0,,R. Rubio enters the game for D. Mitchell,59,77
3,3:31.0,L. Deng makes free throw 2 of 2,,60,77
3,3:21.0,,R. Gobert makes 2-pt dunk from 2 ft (assist by R. Rubio),60,79
3,3:20.0,Minnesota full timeout,,60,79
3,3:05.0,K. Towns misses 2-pt layup from 3 ft (block by R. Gobert),,60,79
3,3:02.0,,Defensive rebound by R. Rubio,60,79
3,2:59.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by R. Rubio),60,82
3,2:44.0,Personal foul by R. Gobert (drawn by K. Towns),,60,82
3,2:44.0,K. Towns makes free throw 1 of 2,,61,82
3,2:44.0,K. Towns makes free throw 2 of 2,,62,82
3,2:23.0,,R. Rubio makes 2-pt jump shot from 18 ft,62,84
3,2:04.0,K. Towns misses 2-pt jump shot from 5 ft,,62,84
3,2:02.0,,Defensive rebound by R. O'Neale,62,84
3,1:47.0,,Shooting foul by J. Terrell (drawn by R. O'Neale),62,84
3,1:47.0,,R. O'Neale misses free throw 1 of 2,62,84
3,1:47.0,,Offensive rebound by Team,62,84
3,1:47.0,,D. Favors enters the game for R. Gobert,62,84
3,1:47.0,,R. O'Neale makes free throw 2 of 2,62,85
3,1:35.0,K. Towns makes 3-pt jump shot from 26 ft (assist by C. Williams),,65,85
3,1:11.0,,K. Korver misses 3-pt jump shot from 26 ft,65,85
3,1:09.0,Defensive rebound by J. Terrell,,65,85
3,1:05.0,L. Deng makes 2-pt layup from 2 ft (assist by J. Terrell),,67,85
3,0:48.0,,J. Crowder makes 3-pt jump shot from 25 ft (assist by R. O'Neale),67,88
3,0:35.0,Personal foul by D. Favors (drawn by K. Towns),,67,88
3,0:35.0,K. Towns makes free throw 1 of 2,,68,88
3,0:35.0,J. Okogie enters the game for L. Deng,,68,88
3,0:35.0,K. Towns makes free throw 2 of 2,,69,88
3,0:22.0,,R. O'Neale misses 2-pt dunk from 2 ft,69,88
3,0:19.0,,Offensive rebound by J. Crowder,69,88
3,0:06.0,,R. Rubio misses 2-pt layup from 3 ft,69,88
3,0:05.0,,Offensive rebound by D. Favors,69,88
3,0:05.0,,D. Favors makes 2-pt layup from 2 ft,69,90
4,11:46.0,A. Wiggins makes 2-pt layup from 5 ft (assist by K. Towns),,71,90
4,11:46.0,Shooting foul by D. Favors (drawn by A. Wiggins),,71,90
4,11:46.0,A. Wiggins makes free throw 1 of 1,,72,90
4,11:34.0,,K. Korver misses 2-pt jump shot from 22 ft,72,90
4,11:30.0,Defensive rebound by J. Okogie,,72,90
4,11:28.0,K. Towns makes 2-pt layup from 3 ft (assist by J. Okogie),,74,90
4,11:11.0,,J. Crowder misses 3-pt jump shot from 23 ft,74,90
4,11:08.0,Defensive rebound by A. Wiggins,,74,90
4,11:03.0,A. Wiggins makes 2-pt layup from 2 ft,,76,90
4,11:03.0,,Utah full timeout,76,90
4,11:03.0,,J. Ingles enters the game for K. Korver,76,90
4,10:53.0,,R. O'Neale misses 3-pt jump shot from 23 ft,76,90
4,10:50.0,Defensive rebound by J. Bayless,,76,90
4,10:40.0,A. Wiggins misses 3-pt jump shot from 26 ft,,76,90
4,10:36.0,,Defensive rebound by R. O'Neale,76,90
4,10:24.0,,J. Crowder misses 3-pt jump shot from 24 ft,76,90
4,10:21.0,,Offensive rebound by D. Favors,76,90
4,10:18.0,,R. Rubio misses 3-pt jump shot from 24 ft,76,90
4,10:18.0,Defensive rebound by J. Bayless,,76,90
4,10:18.0,,D. Mitchell enters the game for J. Crowder,76,90
4,10:18.0,,G. Niang enters the game for R. Rubio,76,90
4,10:05.0,A. Wiggins makes 2-pt dunk from 1 ft (assist by K. Towns),,78,90
4,10:05.0,Shooting foul by R. O'Neale (drawn by A. Wiggins),,78,90
4,10:05.0,A. Wiggins misses free throw 1 of 1,,78,90
4,10:03.0,,Defensive rebound by G. Niang,78,90
4,9:52.0,,D. Mitchell misses 2-pt layup from 5 ft (block by K. Towns),78,90
4,9:49.0,Defensive rebound by J. Okogie,,78,90
4,9:46.0,J. Okogie makes 2-pt jump shot from 5 ft,,80,90
4,9:36.0,,D. Favors misses 2-pt layup from 3 ft (block by A. Wiggins),80,90
4,9:33.0,Defensive rebound by A. Tolliver,,80,90
4,9:31.0,J. Okogie misses 2-pt layup from 4 ft (block by R. O'Neale),,80,90
4,9:29.0,,Defensive rebound by Team,80,90
4,9:25.0,,D. Mitchell misses 2-pt layup from 5 ft (block by J. Bayless),80,90
4,9:19.0,,Offensive rebound by D. Mitchell,80,90
4,9:18.0,,Turnover by D. Mitchell (lost ball; steal by K. Towns),80,90
4,9:01.0,K. Towns misses 2-pt jump shot from 12 ft,,80,90
4,9:00.0,Offensive rebound by K. Towns,,80,90
4,8:59.0,K. Towns makes 2-pt layup from 2 ft,,82,90
4,8:45.0,,J. Ingles makes 2-pt layup from 5 ft,82,92
4,8:26.0,J. Bayless misses 3-pt jump shot from 25 ft,,82,92
4,8:23.0,Offensive rebound by K. Towns,,82,92
4,8:19.0,K. Towns makes 2-pt hook shot from 6 ft,,84,92
4,8:04.0,,D. Favors misses 2-pt layup from 5 ft (block by K. Towns),84,92
4,8:04.0,,Offensive rebound by Team,84,92
4,8:04.0,,R. Gobert enters the game for D. Favors,84,92
4,8:04.0,,K. Korver enters the game for R. O'Neale,84,92
4,7:56.0,,D. Mitchell misses 3-pt jump shot from 27 ft,84,92
4,7:52.0,Defensive rebound by A. Tolliver,,84,92
4,7:49.0,Minnesota full timeout,,84,92
4,7:40.0,K. Towns misses 3-pt jump shot from 25 ft,,84,92
4,7:38.0,Offensive rebound by Team,,84,92
4,7:38.0,,Loose ball foul by J. Ingles (drawn by A. Wiggins),84,92
4,7:29.0,A. Wiggins misses 2-pt layup from 3 ft,,84,92
4,7:27.0,,Defensive rebound by G. Niang,84,92
4,7:21.0,,K. Korver makes 3-pt jump shot from 24 ft (assist by D. Mitchell),84,95
4,6:58.0,J. Okogie misses 2-pt layup from 3 ft,,84,95
4,6:57.0,,Defensive rebound by Team,84,95
4,6:45.0,,J. Ingles misses 3-pt jump shot from 25 ft,84,95
4,6:41.0,,Offensive rebound by R. Gobert,84,95
