QUARTER,TIME_REMAINING,MINNESOTA_ACTION,CHICAGO_ACTION,MINNESOTA_SCORE,CHICAGO_SCORE
4,3:31.0,,C. Payne misses 2-pt jump shot from 20 ft,107,87
4,3:27.0,Defensive rebound by D. Rose,,107,87
4,3:23.0,R. Covington misses 3-pt jump shot from 26 ft,,107,87
4,3:15.0,,Defensive rebound by C. Felício,107,87
4,3:12.0,,L. Markkanen misses 2-pt layup from 2 ft,107,87
4,3:09.0,Defensive rebound by K. Towns,,107,87
4,3:02.0,T. Jones makes 2-pt jump shot from 12 ft,,109,87
4,3:01.0,,Chicago full timeout,109,87
4,3:01.0,J. Okogie enters the game for D. Rose,,109,87
4,3:01.0,,C. Hutchison enters the game for L. Markkanen,109,87
4,2:43.0,,A. Blakeney misses 2-pt jump shot from 22 ft,109,87
4,2:40.0,Defensive rebound by J. Okogie,,109,87
4,2:32.0,T. Gibson makes 3-pt jump shot from 26 ft (assist by R. Covington),,112,87
4,2:22.0,,C. Felício misses 2-pt jump shot from 14 ft,112,87
4,2:22.0,Defensive rebound by R. Covington,,112,87
4,2:10.0,K. Towns makes 3-pt jump shot from 26 ft (assist by T. Jones),,115,87
4,2:05.0,,Personal foul by T. Gibson (drawn by S. Harrison),115,87
4,2:05.0,,S. Harrison misses free throw 1 of 2,115,87
4,2:05.0,,Offensive rebound by Team,115,87
4,2:05.0,J. Bayless enters the game for R. Covington,,115,87
4,2:05.0,J. Nunnally enters the game for T. Gibson,,115,87
4,2:05.0,A. Tolliver enters the game for K. Towns,,115,87
4,2:05.0,,S. Harrison makes free throw 2 of 2,115,88
4,2:00.0,J. Okogie makes 2-pt dunk from 1 ft (assist by T. Jones),,117,88
4,2:00.0,,Chicago full timeout,117,88
4,1:51.0,,A. Blakeney misses 2-pt jump shot from 19 ft,117,88
4,1:44.0,Defensive rebound by A. Tolliver,,117,88
4,1:39.0,Personal foul by S. Harrison (drawn by A. Tolliver),,117,88
4,1:39.0,A. Tolliver makes free throw 1 of 2,,118,88
4,1:39.0,A. Tolliver makes free throw 2 of 2,,119,88
4,1:29.0,,C. Felício makes 2-pt layup from 1 ft (assist by S. Harrison),119,90
4,1:20.0,J. Okogie misses 3-pt jump shot from 26 ft,,119,90
4,1:16.0,,Defensive rebound by A. Blakeney,119,90
4,1:01.0,,S. Harrison makes 2-pt layup from 2 ft,119,92
4,0:36.0,J. Okogie misses 3-pt jump shot from 23 ft,,119,92
4,0:33.0,,Defensive rebound by C. Felício,119,92
4,0:28.0,,A. Blakeney makes 2-pt layup from 2 ft (assist by S. Harrison),119,94
4,0:03.0,Turnover by Team (shot clock),,119,94
