QUARTER,TIME_REMAINING,HOUSTON_ACTION,MIAMI_ACTION,HOUSTON_SCORE,MIAMI_SCORE
4,5:46.0,,Offensive rebound by Team,90,91
4,5:46.0,,H. Whiteside misses free throw 2 of 2,90,91
4,5:43.0,Defensive rebound by P. Tucker,,90,91
4,5:25.0,J. Harden misses 2-pt layup from 2 ft,,90,91
4,5:22.0,,Defensive rebound by H. Whiteside,90,91
4,5:18.0,,T. Johnson misses 2-pt jump shot from 21 ft,90,91
4,5:16.0,Defensive rebound by C. Capela,,90,91
4,4:53.0,P. Tucker misses 3-pt jump shot from 23 ft,,90,91
4,4:53.0,,Defensive rebound by J. Richardson,90,91
4,4:36.0,,Turnover by H. Whiteside (bad pass; steal by D. House),90,91
4,4:26.0,Shooting foul by R. McGruder (drawn by J. Harden),,90,91
4,4:26.0,J. Harden makes free throw 1 of 2,,91,91
4,4:26.0,J. Harden makes free throw 2 of 2,,92,91
4,4:26.0,,Miami full timeout,92,91
4,4:13.0,,D. Jones misses 3-pt jump shot from 23 ft,92,91
4,4:10.0,,Offensive rebound by H. Whiteside,92,91
4,4:07.0,,H. Whiteside misses 2-pt layup from 8 ft,92,91
4,4:04.0,Defensive rebound by C. Capela,,92,91
4,3:53.0,E. Gordon misses 2-pt layup from 1 ft,,92,91
4,3:53.0,Offensive rebound by C. Capela,,92,91
4,3:51.0,C. Capela misses 2-pt layup from 2 ft,,92,91
4,3:50.0,Offensive rebound by C. Capela,,92,91
4,3:43.0,D. House misses 3-pt jump shot from 23 ft,,92,91
4,3:39.0,,Defensive rebound by J. Richardson,92,91
4,3:34.0,,T. Johnson makes 2-pt layup from 2 ft,92,93
4,3:15.0,J. Harden misses 2-pt layup from 2 ft (block by T. Johnson),,92,93
4,3:12.0,,Defensive rebound by H. Whiteside,92,93
4,2:56.0,,J. Richardson misses 3-pt jump shot from 26 ft,92,93
4,2:53.0,,Offensive rebound by H. Whiteside,92,93
4,2:45.0,,T. Johnson makes 3-pt jump shot from 26 ft (assist by J. Richardson),92,96
4,2:45.0,Houston full timeout,,92,96
4,2:45.0,G. Green enters the game for D. House,,92,96
4,2:45.0,,D. Wade enters the game for R. McGruder,92,96
4,2:24.0,P. Tucker misses 3-pt jump shot from 24 ft,,92,96
4,2:21.0,,Defensive rebound by H. Whiteside,92,96
4,2:17.0,,Personal take foul by C. Capela (drawn by H. Whiteside),92,96
4,2:17.0,,H. Whiteside makes free throw 1 of 2,92,97
4,2:17.0,N. Hilário enters the game for C. Capela,,92,97
4,2:17.0,,H. Whiteside misses free throw 2 of 2,92,97
4,2:15.0,Defensive rebound by P. Tucker,,92,97
4,2:00.0,P. Tucker makes 2-pt jump shot from 11 ft (assist by J. Harden),,94,97
4,1:51.0,,Shooting foul by P. Tucker (drawn by T. Johnson),94,97
4,1:51.0,,T. Johnson makes free throw 1 of 3,94,98
4,1:51.0,,T. Johnson misses free throw 2 of 3,94,98
4,1:51.0,,Offensive rebound by Team,94,98
4,1:51.0,,T. Johnson makes free throw 3 of 3,94,99
4,1:36.0,Shooting foul by J. Richardson (drawn by J. Harden),,94,99
4,1:36.0,J. Harden misses free throw 1 of 3,,94,99
4,1:36.0,Offensive rebound by Team,,94,99
4,1:36.0,J. Harden makes free throw 2 of 3,,95,99
4,1:36.0,J. Harden makes free throw 3 of 3,,96,99
4,1:20.0,,Shooting foul by E. Gordon (drawn by D. Wade),96,99
4,1:20.0,,D. Wade makes free throw 1 of 2,96,100
4,1:20.0,,D. Wade makes free throw 2 of 2,96,101
4,1:06.0,J. Harden misses 3-pt jump shot from 27 ft,,96,101
4,1:03.0,,Defensive rebound by J. Richardson,96,101
4,0:51.0,,J. Richardson misses 3-pt jump shot from 25 ft,96,101
4,0:45.0,Defensive rebound by E. Gordon,,96,101
4,0:37.0,E. Gordon makes 3-pt jump shot from 23 ft (assist by J. Harden),,99,101
4,0:20.0,,D. Wade misses 2-pt jump shot from 15 ft,99,101
4,0:18.0,,Offensive rebound by H. Whiteside,99,101
4,0:04.0,,D. Wade misses 2-pt jump shot from 7 ft,99,101
4,0:03.0,Defensive rebound by G. Green,,99,101
4,0:03.0,Houston full timeout,,99,101
4,0:00.0,E. Gordon misses 3-pt jump shot from 25 ft,,99,101
4,0:00.0,Offensive rebound by Team,,99,101
