QUARTER,TIME_REMAINING,CLEVELAND_ACTION,SAN ANTONIO_ACTION,CLEVELAND_SCORE,SAN ANTONIO_SCORE
4,0:13.0,Cleveland full timeout,,110,114
4,0:13.0,J. Clarkson enters the game for L. Nance,,110,114
4,0:13.0,,D. White enters the game for P. Mills,110,114
4,0:11.0,K. Love misses 3-pt jump shot from 22 ft,,110,114
4,0:07.0,Offensive rebound by J. Clarkson,,110,114
4,0:05.0,J. Clarkson misses 3-pt jump shot from 24 ft,,110,114
4,0:03.0,,Defensive rebound by R. Gay,110,114
4,0:03.0,,Personal foul by C. Sexton (drawn by R. Gay),110,114
4,0:03.0,,R. Gay makes free throw 1 of 2,110,115
4,0:03.0,,R. Gay makes free throw 2 of 2,110,116
4,0:00.0,C. Sexton misses 3-pt jump shot from 26 ft,,110,116
4,0:00.0,Offensive rebound by Team,,110,116
