QUARTER,TIME_REMAINING,CHICAGO_ACTION,MIAMI_ACTION,CHICAGO_SCORE,MIAMI_SCORE
4,1:41.0,,B. Adebayo makes 2-pt layup from 6 ft (assist by W. Ellington),101,85
4,1:34.0,Shooting foul by J. Winslow (drawn by L. Markkanen),,101,85
4,1:34.0,L. Markkanen makes free throw 1 of 2,,102,85
4,1:34.0,L. Markkanen misses free throw 2 of 2,,102,85
4,1:32.0,,Defensive rebound by B. Adebayo,102,85
4,1:25.0,,Offensive foul by B. Adebayo (drawn by K. Dunn),102,85
4,1:25.0,,Turnover by B. Adebayo (offensive foul),102,85
4,1:08.0,W. Selden makes 3-pt jump shot from 23 ft (assist by K. Dunn),,105,85
4,0:57.0,,B. Adebayo makes 2-pt dunk from 2 ft (assist by T. Johnson),105,87
4,0:57.0,,Shooting foul by K. Dunn (drawn by B. Adebayo),105,87
4,0:57.0,,B. Adebayo misses free throw 1 of 1,105,87
4,0:55.0,Defensive rebound by L. Markkanen,,105,87
4,0:43.0,Offensive foul by L. Markkanen (drawn by J. Richardson),,105,87
4,0:43.0,Turnover by L. Markkanen (offensive foul),,105,87
4,0:31.0,,W. Ellington misses 3-pt jump shot from 24 ft,105,87
4,0:28.0,Defensive rebound by L. Markkanen,,105,87
4,0:17.0,Offensive foul by B. Portis (drawn by B. Adebayo),,105,87
4,0:17.0,Turnover by B. Portis (offensive foul),,105,87
4,0:06.0,,B. Adebayo makes 2-pt layup from 2 ft (assist by J. Richardson),105,89
