QUARTER,TIME_REMAINING,DALLAS_ACTION,ATLANTA_ACTION,DALLAS_SCORE,ATLANTA_SCORE
4,8:58.0,D. Jordan enters the game for L. Dončić,,93,88
4,8:58.0,W. Matthews enters the game for D. Powell,,93,88
4,8:58.0,,K. Huerter enters the game for D. Dedmon,93,88
4,8:58.0,,O. Spellman enters the game for T. Young,93,88
4,8:45.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by D. Bembry),93,90
4,8:21.0,W. Matthews makes 2-pt jump shot from 9 ft,,95,90
4,8:16.0,,Shooting foul by D. Finney-Smith (drawn by T. Prince),95,90
4,8:16.0,,T. Prince misses free throw 1 of 2,95,90
4,8:16.0,,Offensive rebound by Team,95,90
4,8:16.0,,T. Prince makes free throw 2 of 2,95,91
4,7:57.0,W. Matthews misses 2-pt jump shot from 14 ft,,95,91
4,7:53.0,,Defensive rebound by D. Bembry,95,91
4,7:48.0,,D. Bembry misses 2-pt jump shot from 10 ft,95,91
4,7:46.0,,Offensive rebound by D. Bembry,95,91
4,7:44.0,,K. Bazemore misses 3-pt jump shot from 23 ft,95,91
4,7:44.0,,Offensive rebound by O. Spellman,95,91
4,7:37.0,,O. Spellman misses 2-pt layup at rim,95,91
4,7:36.0,Defensive rebound by D. Jordan,,95,91
4,7:30.0,Turnover by D. Smith (discontinued dribble),,95,91
4,7:18.0,,K. Bazemore misses 2-pt layup from 2 ft,95,91
4,7:13.0,,Offensive rebound by O. Spellman,95,91
4,7:13.0,,O. Spellman misses 2-pt layup at rim,95,91
4,7:12.0,Defensive rebound by D. Jordan,,95,91
4,7:07.0,D. Smith misses 2-pt layup from 1 ft,,95,91
4,7:05.0,,Defensive rebound by D. Bembry,95,91
4,7:00.0,,Turnover by D. Bembry (traveling),95,91
4,6:49.0,W. Matthews misses 3-pt jump shot from 26 ft,,95,91
4,6:46.0,,Defensive rebound by T. Prince,95,91
4,6:41.0,,T. Prince misses 3-pt jump shot from 25 ft,95,91
4,6:37.0,Defensive rebound by D. Jordan,,95,91
4,6:29.0,D. Smith misses 2-pt jump shot from 14 ft,,95,91
4,6:26.0,,Defensive rebound by T. Prince,95,91
4,6:06.0,,K. Bazemore misses 3-pt jump shot from 25 ft,95,91
4,6:03.0,Defensive rebound by W. Matthews,,95,91
4,5:55.0,Offensive foul by D. Jordan (drawn by K. Bazemore),,95,91
4,5:55.0,Turnover by D. Jordan (offensive foul),,95,91
4,5:55.0,J. Barea enters the game for M. Kleber,,95,91
4,5:55.0,L. Dončić enters the game for D. Smith,,95,91
4,5:55.0,,A. Len enters the game for D. Bembry,95,91
4,5:55.0,,T. Young enters the game for T. Prince,95,91
4,5:44.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by A. Len),95,93
4,5:44.0,Dallas full timeout,,95,93
4,5:44.0,,V. Carter enters the game for O. Spellman,95,93
4,5:23.0,D. Finney-Smith misses 3-pt jump shot from 23 ft,,95,93
4,5:21.0,,Defensive rebound by Team,95,93
4,5:21.0,,T. Prince enters the game for K. Bazemore,95,93
4,5:13.0,,Shooting foul by D. Finney-Smith (drawn by T. Young),95,93
4,5:13.0,,T. Young makes free throw 1 of 3,95,94
4,5:13.0,,T. Young makes free throw 2 of 3,95,95
4,5:13.0,M. Kleber enters the game for J. Barea,,95,95
4,5:13.0,D. Smith enters the game for D. Finney-Smith,,95,95
4,5:13.0,,T. Young makes free throw 3 of 3,95,96
4,4:50.0,L. Dončić makes 2-pt jump shot from 14 ft (assist by W. Matthews),,97,96
4,4:34.0,,Shooting foul by M. Kleber (drawn by K. Huerter),97,96
4,4:34.0,,K. Huerter makes free throw 1 of 2,97,97
4,4:34.0,,K. Huerter misses free throw 2 of 2,97,97
4,4:31.0,Defensive rebound by M. Kleber,,97,97
4,4:17.0,W. Matthews makes 3-pt jump shot from 26 ft,,100,97
4,4:07.0,,T. Young makes 2-pt jump shot from 4 ft,100,99
4,3:51.0,Personal foul by T. Prince (drawn by W. Matthews),,100,99
4,3:51.0,,K. Bazemore enters the game for K. Huerter,100,99
4,3:46.0,W. Matthews misses 3-pt jump shot from 26 ft,,100,99
4,3:43.0,,Defensive rebound by V. Carter,100,99
4,3:34.0,,T. Young makes 2-pt layup from 3 ft,100,101
4,3:20.0,D. Smith misses 2-pt layup from 1 ft (block by A. Len),,100,101
4,3:14.0,,Defensive rebound by V. Carter,100,101
4,3:01.0,,T. Young misses 2-pt layup from 3 ft (block by M. Kleber),100,101
4,2:58.0,Defensive rebound by D. Jordan,,100,101
4,2:49.0,Turnover by D. Smith (bad pass; steal by K. Bazemore),,100,101
4,2:31.0,,T. Prince misses 2-pt jump shot from 21 ft,100,101
4,2:27.0,Defensive rebound by M. Kleber,,100,101
4,2:17.0,Personal foul by T. Prince (drawn by L. Dončić),,100,101
4,2:17.0,J. Barea enters the game for D. Smith,,100,101
4,2:17.0,,D. Bembry enters the game for T. Prince,100,101
4,2:10.0,Shooting foul by A. Len (drawn by M. Kleber),,100,101
4,2:10.0,M. Kleber misses free throw 1 of 2,,100,101
4,2:10.0,Offensive rebound by Team,,100,101
4,2:10.0,M. Kleber makes free throw 2 of 2,,101,101
4,2:00.0,,K. Bazemore makes 2-pt jump shot from 18 ft (assist by A. Len),101,103
4,1:47.0,W. Matthews misses 3-pt jump shot from 26 ft,,101,103
4,1:44.0,,Defensive rebound by D. Bembry,101,103
4,1:34.0,,A. Len misses 2-pt layup from 1 ft (block by D. Jordan),101,103
4,1:29.0,Defensive rebound by L. Dončić,,101,103
4,1:18.0,D. Jordan misses 2-pt dunk from 2 ft,,101,103
4,1:18.0,,Defensive rebound by Team,101,103
4,1:18.0,,Atlanta full timeout,101,103
4,1:06.0,,K. Bazemore makes 2-pt dunk from 1 ft (assist by T. Young),101,105
4,0:54.0,Shooting foul by D. Bembry (drawn by D. Jordan),,101,105
4,0:54.0,D. Jordan misses free throw 1 of 2,,101,105
4,0:54.0,Offensive rebound by Team,,101,105
4,0:54.0,D. Jordan makes free throw 2 of 2,,102,105
4,0:44.0,,Personal foul by W. Matthews (drawn by T. Young),102,105
4,0:44.0,,T. Young makes free throw 1 of 2,102,106
4,0:44.0,,T. Young makes free throw 2 of 2,102,107
4,0:35.0,W. Matthews misses 3-pt jump shot from 26 ft,,102,107
4,0:32.0,,Defensive rebound by D. Bembry,102,107
4,0:26.0,,Personal foul by W. Matthews (drawn by T. Young),102,107
4,0:26.0,,T. Young misses free throw 1 of 2,102,107
4,0:26.0,,Offensive rebound by Team,102,107
4,0:26.0,J. Brunson enters the game for M. Kleber,,102,107
4,0:26.0,,K. Huerter enters the game for A. Len,102,107
4,0:26.0,,T. Young makes free throw 2 of 2,102,108
4,0:26.0,Dallas full timeout,,102,108
4,0:26.0,R. Broekhoff enters the game for J. Barea,,102,108
4,0:26.0,D. Powell enters the game for D. Jordan,,102,108
4,0:24.0,L. Dončić misses 3-pt jump shot from 27 ft,,102,108
4,0:21.0,,Defensive rebound by Team,102,108
4,0:20.0,,Personal take foul by J. Brunson (drawn by K. Bazemore),102,108
4,0:20.0,,K. Bazemore misses free throw 1 of 2,102,108
4,0:20.0,,Offensive rebound by Team,102,108
4,0:20.0,,K. Bazemore makes free throw 2 of 2,102,109
4,0:12.0,L. Dončić makes 2-pt layup from 1 ft,,104,109
4,0:10.0,,Atlanta full timeout,104,109
4,0:10.0,D. Finney-Smith enters the game for R. Broekhoff,,104,109
4,0:10.0,,A. Len enters the game for D. Bembry,104,109
4,0:07.0,,Personal take foul by D. Finney-Smith (drawn by T. Young),104,109
4,0:07.0,J. Barea enters the game for D. Finney-Smith,,104,109
4,0:07.0,,T. Young makes free throw 1 of 2,104,110
4,0:07.0,,T. Young makes free throw 2 of 2,104,111
