QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,WASHINGTON_ACTION,SACRAMENTO_SCORE,WASHINGTON_SCORE
4,7:23.0,Defensive rebound by N. Bjelica,,97,104
4,7:10.0,D. Fox makes 2-pt layup at rim,,99,104
4,6:49.0,,Turnover by J. Parker (lost ball; steal by C. Brewer),99,104
4,6:41.0,C. Brewer makes 2-pt jump shot from 18 ft (assist by W. Cauley-Stein),,101,104
4,6:25.0,,B. Portis makes 2-pt hook shot from 8 ft (assist by B. Beal),101,106
4,6:12.0,W. Cauley-Stein makes 2-pt layup at rim (assist by D. Fox),,103,106
4,6:05.0,,Turnover by J. Parker (step out of bounds),103,106
4,6:00.0,Turnover by D. Fox (bad pass; steal by B. Beal),,103,106
4,5:57.0,,B. Beal makes 2-pt dunk at rim,103,108
4,5:42.0,N. Bjelica makes 3-pt jump shot from 28 ft (assist by D. Fox),,106,108
4,5:24.0,Violation by Team (kicked ball),,106,108
4,5:24.0,,J. Green enters the game for J. Parker,106,108
4,5:18.0,,B. Beal misses 2-pt jump shot from 16 ft,106,108
4,5:14.0,Defensive rebound by B. Hield,,106,108
4,5:09.0,B. Hield misses 3-pt jump shot from 25 ft,,106,108
4,5:04.0,,Defensive rebound by B. Beal,106,108
4,5:00.0,,T. Ariza misses 3-pt jump shot from 23 ft,106,108
4,4:56.0,Defensive rebound by N. Bjelica,,106,108
4,4:54.0,Turnover by D. Fox (bad pass; steal by B. Beal),,106,108
4,4:47.0,,B. Beal makes 3-pt jump shot from 23 ft (assist by T. Satoranský),106,111
4,4:44.0,Sacramento full timeout,,106,111
4,4:44.0,H. Barnes enters the game for C. Brewer,,106,111
4,4:25.0,Shooting foul by J. Green (drawn by N. Bjelica),,106,111
4,4:25.0,N. Bjelica makes free throw 1 of 2,,107,111
4,4:25.0,N. Bjelica makes free throw 2 of 2,,108,111
4,4:14.0,,Turnover by T. Satoranský (bad pass; steal by N. Bjelica),108,111
4,4:01.0,D. Fox makes 2-pt jump shot from 12 ft,,110,111
4,4:00.0,Violation by Team (delay of game),,110,111
4,3:47.0,,B. Portis misses 2-pt layup from 6 ft,110,111
4,3:43.0,Defensive rebound by D. Fox,,110,111
4,3:41.0,B. Hield makes 2-pt layup from 1 ft (assist by D. Fox),,112,111
4,3:22.0,,B. Beal misses 3-pt jump shot from 26 ft,112,111
4,3:21.0,Defensive rebound by Team,,112,111
4,3:21.0,Personal foul by B. Portis (drawn by W. Cauley-Stein),,112,111
4,3:21.0,W. Cauley-Stein misses free throw 1 of 2,,112,111
4,3:21.0,Offensive rebound by Team,,112,111
4,3:21.0,W. Cauley-Stein misses free throw 2 of 2,,112,111
4,3:18.0,,Defensive rebound by T. Ariza,112,111
4,2:56.0,,Turnover by B. Beal (bad pass; steal by W. Cauley-Stein),112,111
4,2:32.0,B. Hield misses 3-pt jump shot from 26 ft,,112,111
4,2:28.0,,Defensive rebound by B. Beal,112,111
4,2:16.0,,Shooting foul by W. Cauley-Stein (drawn by J. Green),112,111
4,2:16.0,,J. Green makes free throw 1 of 2,112,112
4,2:16.0,,J. Green makes free throw 2 of 2,112,113
4,1:52.0,D. Fox misses 2-pt jump shot from 23 ft,,112,113
4,1:47.0,,Defensive rebound by T. Ariza,112,113
4,1:45.0,,Personal foul by N. Bjelica (drawn by B. Beal),112,113
4,1:45.0,,B. Beal makes free throw 1 of 2,112,114
4,1:45.0,,B. Beal makes free throw 2 of 2,112,115
4,1:34.0,Turnover by D. Fox (lost ball; steal by B. Portis),,112,115
4,1:30.0,,Shooting foul by B. Hield (drawn by B. Portis),112,115
4,1:30.0,,B. Portis misses free throw 1 of 2,112,115
4,1:30.0,,Offensive rebound by Team,112,115
4,1:30.0,,B. Portis makes free throw 2 of 2,112,116
4,1:14.0,H. Barnes misses 3-pt jump shot from 23 ft,,112,116
4,1:08.0,,Defensive rebound by B. Portis,112,116
4,0:51.0,,B. Beal makes 2-pt layup from 1 ft,112,118
4,0:48.0,D. Fox makes 2-pt layup from 1 ft,,114,118
4,0:48.0,Personal foul by T. Satoranský (drawn by D. Fox),,114,118
4,0:48.0,D. Fox makes free throw 1 of 1,,115,118
4,0:26.0,,B. Beal misses 3-pt jump shot from 26 ft,115,118
4,0:22.0,Defensive rebound by W. Cauley-Stein,,115,118
4,0:15.0,B. Hield misses 2-pt jump shot from 22 ft,,115,118
4,0:13.0,,Defensive rebound by T. Satoranský,115,118
4,0:13.0,,Personal take foul by H. Barnes (drawn by T. Satoranský),115,118
4,0:13.0,,T. Satoranský makes free throw 1 of 2,115,119
4,0:13.0,,T. Satoranský makes free throw 2 of 2,115,120
4,0:13.0,Sacramento full timeout,,115,120
4,0:11.0,B. Hield misses 3-pt jump shot from 29 ft,,115,120
4,0:06.0,,Defensive rebound by B. Portis,115,120
4,0:04.0,,Turnover by B. Portis (lost ball; steal by H. Barnes),115,120
4,0:01.0,H. Barnes misses 2-pt layup from 5 ft,,115,120
4,0:01.0,,Defensive rebound by Team,115,120
4,0:01.0,Loose ball foul by H. Barnes (drawn by B. Beal),,115,120
4,0:01.0,,B. Beal makes free throw 1 of 2,115,121
4,0:01.0,,B. Beal misses free throw 2 of 2,115,121
4,0:01.0,Defensive rebound by W. Cauley-Stein,,115,121
