QUARTER,TIME_REMAINING,UTAH_ACTION,MINNESOTA_ACTION,UTAH_SCORE,MINNESOTA_SCORE
4,5:16.0,Utah full timeout,,112,112
4,5:16.0,D. Exum enters the game for R. O'Neale,,112,112
4,5:16.0,J. Ingles enters the game for R. Rubio,,112,112
4,5:16.0,,J. Okogie makes free throw 1 of 3,112,113
4,5:16.0,,J. Okogie makes free throw 2 of 3,112,114
4,5:16.0,,J. Okogie misses free throw 3 of 3,112,114
4,5:14.0,Defensive rebound by J. Crowder,,112,114
4,5:01.0,D. Mitchell makes 2-pt layup from 3 ft (assist by J. Ingles),,114,114
4,5:01.0,Shooting foul by J. Okogie (drawn by D. Mitchell),,114,114
4,5:01.0,,T. Gibson enters the game for A. Tolliver,114,114
4,5:01.0,D. Mitchell makes free throw 1 of 1,,115,114
4,4:38.0,,T. Gibson misses 3-pt jump shot from 22 ft,115,114
4,4:36.0,,Offensive rebound by K. Towns,115,114
4,4:34.0,,T. Gibson makes 2-pt layup from 5 ft (assist by K. Towns),115,116
4,4:23.0,D. Mitchell misses 2-pt jump shot from 18 ft,,115,116
4,4:22.0,Offensive rebound by D. Exum,,115,116
4,4:22.0,Personal foul by D. Rose (drawn by D. Exum),,115,116
4,4:22.0,D. Exum makes free throw 1 of 2,,116,116
4,4:22.0,R. Rubio enters the game for D. Mitchell,,116,116
4,4:22.0,D. Exum makes free throw 2 of 2,,117,116
4,4:10.0,,Turnover by D. Rose (bad pass; steal by J. Crowder),117,116
4,4:03.0,Personal foul by T. Gibson (drawn by D. Exum),,117,116
4,4:03.0,D. Exum makes free throw 1 of 2,,118,116
4,4:03.0,D. Exum makes free throw 2 of 2,,119,116
4,3:43.0,,D. Rose misses 2-pt jump shot from 13 ft,119,116
4,3:42.0,,Offensive rebound by K. Towns,119,116
4,3:41.0,,K. Towns misses 2-pt layup from 3 ft (block by R. Gobert),119,116
4,3:40.0,,Offensive rebound by Team,119,116
4,3:33.0,,D. Rose makes 3-pt jump shot from 23 ft,119,119
4,3:12.0,Offensive foul by J. Ingles (drawn by D. Rose),,119,119
4,3:12.0,Turnover by J. Ingles (offensive foul),,119,119
4,2:55.0,,A. Wiggins misses 2-pt layup from 2 ft,119,119
4,2:54.0,,Offensive rebound by T. Gibson,119,119
4,2:54.0,,T. Gibson makes 2-pt layup at rim,119,121
4,2:34.0,Personal foul by D. Rose (drawn by R. Gobert),,119,121
4,2:34.0,R. Gobert makes free throw 1 of 2,,120,121
4,2:34.0,R. Gobert misses free throw 2 of 2,,120,121
4,2:30.0,Offensive rebound by D. Exum,,120,121
4,2:22.0,Turnover by R. Gobert (bad pass; steal by K. Towns),,120,121
4,2:08.0,,K. Towns misses 3-pt jump shot from 26 ft,120,121
4,2:04.0,Defensive rebound by J. Ingles,,120,121
4,1:45.0,R. Rubio misses 3-pt jump shot from 26 ft,,120,121
4,1:44.0,Offensive rebound by J. Crowder,,120,121
4,1:44.0,Personal foul by J. Okogie (drawn by J. Crowder),,120,121
4,1:44.0,J. Crowder misses free throw 1 of 2,,120,121
4,1:44.0,Offensive rebound by Team,,120,121
4,1:44.0,J. Crowder makes free throw 2 of 2,,121,121
4,1:44.0,,Minnesota full timeout,121,121
4,1:44.0,,A. Tolliver enters the game for T. Gibson,121,121
4,1:44.0,Violation by Team (kicked ball),,121,121
4,1:26.0,,K. Towns misses 3-pt jump shot from 26 ft,121,121
4,1:26.0,Defensive rebound by J. Crowder,,121,121
4,1:13.0,Shooting foul by K. Towns (drawn by R. Gobert),,121,121
4,1:13.0,R. Gobert makes free throw 1 of 2,,122,121
4,1:13.0,R. Gobert misses free throw 2 of 2,,122,121
4,1:10.0,,Defensive rebound by A. Wiggins,122,121
4,0:54.0,,D. Rose makes 2-pt layup from 1 ft,122,123
4,0:36.0,Shooting foul by A. Tolliver (drawn by R. Gobert),,122,123
4,0:36.0,R. Gobert misses free throw 1 of 2,,122,123
4,0:36.0,Offensive rebound by Team,,122,123
4,0:36.0,R. Gobert makes free throw 2 of 2,,123,123
4,0:36.0,,Minnesota full timeout,123,123
4,0:30.0,,D. Rose makes 2-pt jump shot from 6 ft,123,125
4,0:30.0,Utah full timeout,,123,125
4,0:30.0,,T. Gibson enters the game for A. Tolliver,123,125
4,0:22.0,R. Gobert misses 2-pt hook shot from 6 ft,,123,125
4,0:20.0,,Defensive rebound by K. Towns,123,125
4,0:20.0,,Personal take foul by R. Rubio (drawn by K. Towns),123,125
4,0:20.0,,K. Towns misses free throw 1 of 2,123,125
4,0:20.0,,Offensive rebound by Team,123,125
4,0:20.0,,K. Towns makes free throw 2 of 2,123,126
4,0:16.0,D. Exum makes 2-pt dunk at rim,,125,126
4,0:13.0,,Personal foul by J. Ingles (drawn by D. Rose),125,126
4,0:13.0,,D. Rose makes free throw 1 of 2,125,127
4,0:13.0,,D. Rose makes free throw 2 of 2,125,128
4,0:13.0,Utah full timeout,,125,128
4,0:13.0,J. Crowder misses 3-pt jump shot from 27 ft,,125,128
4,0:09.0,Offensive rebound by R. Rubio,,125,128
4,0:07.0,J. Ingles misses 3-pt jump shot from 23 ft,,125,128
4,0:04.0,Offensive rebound by J. Crowder,,125,128
4,0:02.0,D. Exum misses 3-pt jump shot from 23 ft (block by D. Rose),,125,128
4,0:00.0,,Defensive rebound by K. Towns,125,128
