QUARTER,TIME_REMAINING,MINNESOTA_ACTION,NEW YORK_ACTION,MINNESOTA_SCORE,NEW YORK_SCORE
4,6:43.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by E. Mudiay),107,92
4,6:23.0,A. Tolliver misses 2-pt hook shot from 1 ft,,107,92
4,6:19.0,,Defensive rebound by D. Jordan,107,92
4,6:17.0,,Offensive foul by A. Trier (drawn by D. Rose),107,92
4,6:17.0,,Turnover by A. Trier (offensive foul),107,92
4,6:17.0,D. Šarić enters the game for K. Bates-Diop,,107,92
4,6:17.0,A. Wiggins enters the game for A. Tolliver,,107,92
4,6:03.0,D. Rose misses 3-pt jump shot from 23 ft,,107,92
4,6:00.0,,Defensive rebound by K. Knox,107,92
4,5:48.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by D. Dotson),107,94
4,5:22.0,Turnover by J. Teague (bad pass; steal by A. Trier),,107,94
4,5:16.0,,A. Trier makes 2-pt layup from 1 ft,107,96
4,5:16.0,,Shooting foul by D. Rose (drawn by A. Trier),107,96
4,5:16.0,T. Jones enters the game for D. Rose,,107,96
4,5:16.0,,A. Trier makes free throw 1 of 1,107,97
4,5:07.0,A. Wiggins misses 2-pt jump shot from 20 ft,,107,97
4,5:02.0,,Defensive rebound by K. Knox,107,97
4,4:59.0,,D. Dotson misses 2-pt jump shot from 13 ft,107,97
4,4:56.0,Defensive rebound by T. Gibson,,107,97
4,4:48.0,J. Teague makes 2-pt jump shot from 10 ft,,109,97
4,4:28.0,,K. Knox makes 2-pt jump shot from 22 ft,109,99
4,4:07.0,D. Šarić misses 2-pt jump shot from 22 ft,,109,99
4,4:04.0,,Defensive rebound by E. Mudiay,109,99
4,4:00.0,,E. Mudiay makes 2-pt layup from 1 ft,109,101
4,3:59.0,Minnesota full timeout,,109,101
4,3:59.0,A. Tolliver enters the game for D. Šarić,,109,101
4,3:47.0,J. Teague makes 2-pt jump shot from 13 ft,,111,101
4,3:26.0,,E. Mudiay misses 2-pt jump shot from 10 ft,111,101
4,3:24.0,Defensive rebound by A. Tolliver,,111,101
4,3:14.0,T. Gibson makes 2-pt dunk from 1 ft (assist by J. Teague),,113,101
4,3:14.0,,New York full timeout,113,101
4,3:14.0,L. Deng enters the game for T. Jones,,113,101
4,3:14.0,D. Rose enters the game for A. Tolliver,,113,101
4,2:55.0,,K. Knox misses 2-pt jump shot from 21 ft,113,101
4,2:54.0,,Offensive rebound by D. Jordan,113,101
4,2:54.0,,D. Jordan misses 2-pt layup at rim,113,101
4,2:54.0,,Offensive rebound by Team,113,101
4,2:54.0,Loose ball foul by T. Gibson (drawn by D. Jordan),,113,101
4,2:54.0,,D. Jordan makes free throw 1 of 2,113,102
4,2:54.0,,D. Jordan misses free throw 2 of 2,113,102
4,2:51.0,Defensive rebound by T. Gibson,,113,102
4,2:42.0,T. Gibson makes 2-pt dunk from 1 ft (assist by J. Teague),,115,102
4,2:23.0,,K. Knox misses 3-pt jump shot from 26 ft,115,102
4,2:20.0,Defensive rebound by T. Gibson,,115,102
4,2:08.0,Turnover by J. Teague (lost ball; steal by K. Knox),,115,102
4,2:02.0,,Turnover by K. Knox (out of bounds lost ball),115,102
4,1:45.0,D. Rose misses 2-pt jump shot from 21 ft,,115,102
4,1:42.0,,Defensive rebound by E. Mudiay,115,102
4,1:32.0,,E. Mudiay misses 3-pt jump shot from 25 ft,115,102
4,1:30.0,Defensive rebound by T. Gibson,,115,102
4,1:15.0,D. Rose misses 3-pt jump shot from 26 ft,,115,102
4,1:12.0,,Defensive rebound by D. Jordan,115,102
4,1:05.0,,Shooting foul by T. Gibson (drawn by K. Knox),115,102
4,1:05.0,K. Bates-Diop enters the game for D. Rose,,115,102
4,1:05.0,T. Jones enters the game for J. Teague,,115,102
4,1:05.0,J. Okogie enters the game for A. Wiggins,,115,102
4,1:05.0,,K. Knox makes free throw 1 of 2,115,103
4,1:05.0,,K. Knox makes free throw 2 of 2,115,104
4,0:53.0,J. Okogie misses 2-pt jump shot from 17 ft,,115,104
4,0:50.0,,Defensive rebound by D. Jordan,115,104
4,0:45.0,,Turnover by E. Mudiay (bad pass; steal by T. Gibson),115,104
4,0:28.0,K. Bates-Diop misses 3-pt jump shot from 25 ft,,115,104
4,0:25.0,,Defensive rebound by D. Jordan,115,104
4,0:19.0,,A. Trier misses 2-pt layup from 1 ft (block by L. Deng),115,104
4,0:16.0,Defensive rebound by L. Deng,,115,104
