QUARTER,TIME_REMAINING,DETROIT_ACTION,MEMPHIS_ACTION,DETROIT_SCORE,MEMPHIS_SCORE
2,9:18.0,,M. Conley misses 2-pt jump shot from 13 ft,32,28
2,9:17.0,,Offensive rebound by J. Jackson,32,28
2,9:14.0,,J. Jackson makes 2-pt jump shot from 8 ft,32,30
2,8:56.0,Shooting foul by J. Jackson (drawn by J. Leuer),,32,30
2,8:56.0,J. Leuer makes free throw 1 of 2,,33,30
2,8:56.0,J. Leuer makes free throw 2 of 2,,34,30
2,8:34.0,,J. Jackson makes 3-pt jump shot from 25 ft (assist by J. Green),34,33
2,8:08.0,L. Kennard misses 2-pt jump shot from 20 ft,,34,33
2,8:06.0,,Defensive rebound by J. Green,34,33
2,8:02.0,,Turnover by M. Conley (lost ball; steal by L. Galloway),34,33
2,7:50.0,S. Johnson misses 2-pt jump shot from 6 ft,,34,33
2,7:48.0,,Defensive rebound by J. Jackson,34,33
2,7:45.0,,Shooting foul by S. Johnson (drawn by W. Selden),34,33
2,7:45.0,,W. Selden makes free throw 1 of 2,34,34
2,7:45.0,B. Griffin enters the game for L. Kennard,,34,34
2,7:45.0,,W. Selden misses free throw 2 of 2,34,34
2,7:43.0,Defensive rebound by B. Griffin,,34,34
2,7:29.0,Personal foul by J. Green (drawn by B. Griffin),,34,34
2,7:15.0,L. Galloway misses 2-pt jump shot from 19 ft,,34,34
2,7:15.0,Offensive rebound by Team,,34,34
2,7:15.0,Turnover by Team (shot clock),,34,34
2,7:01.0,,G. Temple makes 3-pt jump shot from 26 ft (assist by J. Green),34,37
2,7:01.0,R. Bullock enters the game for J. Calderón,,34,37
2,7:01.0,R. Jackson enters the game for L. Galloway,,34,37
2,6:39.0,S. Johnson misses 3-pt jump shot from 25 ft,,34,37
2,6:36.0,Offensive rebound by J. Leuer,,34,37
2,6:27.0,B. Griffin misses 3-pt jump shot from 28 ft,,34,37
2,6:23.0,,Defensive rebound by W. Selden,34,37
2,6:16.0,,W. Selden makes 2-pt jump shot from 8 ft,34,39
2,6:11.0,Detroit full timeout,,34,39
2,6:11.0,B. Brown enters the game for S. Johnson,,34,39
2,6:11.0,A. Drummond enters the game for J. Leuer,,34,39
2,6:11.0,,M. Gasol enters the game for M. Conley,34,39
2,6:11.0,,S. Mack enters the game for J. Green,34,39
2,5:52.0,B. Griffin makes 2-pt layup from 1 ft (assist by R. Bullock),,36,39
2,5:30.0,,J. Jackson makes 2-pt hook shot from 9 ft (assist by G. Temple),36,41
2,5:17.0,R. Bullock makes 2-pt layup from 1 ft (assist by A. Drummond),,38,41
2,5:01.0,,W. Selden makes 2-pt dunk from 1 ft,38,43
2,4:45.0,R. Bullock makes 3-pt jump shot from 26 ft (assist by B. Griffin),,41,43
2,4:29.0,,J. Jackson makes 2-pt hook shot from 11 ft (assist by M. Gasol),41,45
2,4:16.0,B. Griffin makes 2-pt layup from 1 ft,,43,45
2,4:16.0,Shooting foul by S. Mack (drawn by B. Griffin),,43,45
2,4:16.0,,K. Anderson enters the game for W. Selden,43,45
2,4:16.0,B. Griffin misses free throw 1 of 1,,43,45
2,4:14.0,Offensive rebound by Team,,43,45
2,4:14.0,Technical foul by A. Drummond,,43,45
2,4:14.0,,G. Temple makes technical free throw,43,46
2,4:09.0,B. Brown makes 3-pt jump shot from 26 ft (assist by B. Griffin),,46,46
2,3:55.0,,Personal foul by B. Griffin (drawn by J. Jackson),46,46
2,3:49.0,,M. Gasol makes 3-pt jump shot from 26 ft (assist by G. Temple),46,49
2,3:21.0,B. Griffin misses 2-pt layup from 6 ft,,46,49
2,3:20.0,,Defensive rebound by Team,46,49
2,2:59.0,,J. Jackson misses 2-pt layup from 3 ft,46,49
2,2:57.0,Defensive rebound by A. Drummond,,46,49
2,2:53.0,B. Griffin misses 2-pt layup from 7 ft,,46,49
