QUARTER,TIME_REMAINING,DETROIT_ACTION,LA LAKERS_ACTION,DETROIT_SCORE,LA LAKERS_SCORE
4,1:10.0,,M. Beasley misses 3-pt jump shot from 27 ft,94,113
4,1:08.0,Defensive rebound by L. Galloway,,94,113
4,0:53.0,B. Brown makes 2-pt layup from 2 ft,,96,113
4,0:37.0,,M. Wagner misses 3-pt jump shot from 27 ft,96,113
4,0:33.0,Defensive rebound by L. Galloway,,96,113
4,0:31.0,L. Kennard makes 2-pt layup from 2 ft (assist by L. Galloway),,98,113
4,0:07.0,,M. Beasley misses 2-pt layup from 4 ft,98,113
4,0:07.0,,Offensive rebound by Team,98,113
4,0:07.0,,Turnover by Team (shot clock),98,113
4,0:02.0,B. Brown makes 2-pt layup from 3 ft,,100,113
