QUARTER,TIME_REMAINING,MIAMI_ACTION,MINNESOTA_ACTION,MIAMI_SCORE,MINNESOTA_SCORE
4,2:40.0,D. Wade enters the game for J. Johnson,,104,108
4,2:27.0,Turnover by D. Wade (lost ball; steal by K. Towns),,104,108
4,2:23.0,,K. Bates-Diop makes 2-pt dunk at rim (assist by D. Šarić),104,110
4,2:11.0,D. Waiters makes 3-pt jump shot from 23 ft (assist by D. Wade),,107,110
4,1:44.0,,A. Wiggins misses 2-pt jump shot from 13 ft,107,110
4,1:41.0,Defensive rebound by J. Winslow,,107,110
4,1:33.0,D. Waiters misses 2-pt layup from 1 ft,,107,110
4,1:32.0,,Defensive rebound by D. Šarić,107,110
4,1:17.0,,Offensive foul by K. Towns (drawn by G. Dragić),107,110
4,1:17.0,,Turnover by K. Towns (offensive foul),107,110
4,1:06.0,G. Dragić misses 2-pt layup from 1 ft,,107,110
4,1:03.0,,Defensive rebound by K. Towns,107,110
4,0:46.0,,D. Šarić misses 3-pt jump shot from 26 ft,107,110
4,0:43.0,,Offensive rebound by K. Bates-Diop,107,110
4,0:43.0,,K. Bates-Diop misses 2-pt layup from 1 ft (block by J. Winslow),107,110
4,0:42.0,,Offensive rebound by Team,107,110
4,0:42.0,,Turnover by Team (shot clock),107,110
4,0:34.0,D. Waiters misses 3-pt jump shot from 26 ft,,107,110
4,0:32.0,,Defensive rebound by K. Towns,107,110
4,0:12.0,,Turnover by K. Towns (lost ball; steal by D. Wade),107,110
4,0:10.0,D. Wade makes 2-pt layup from 1 ft,,109,110
4,0:10.0,,Minnesota full timeout,109,110
4,0:10.0,J. Johnson enters the game for G. Dragić,,109,110
4,0:05.0,,Personal take foul by J. Winslow (drawn by T. Jones),109,110
4,0:04.0,,Personal foul by D. Waiters (drawn by K. Bates-Diop),109,110
4,0:04.0,,K. Bates-Diop misses free throw 1 of 2,109,110
4,0:04.0,,Offensive rebound by Team,109,110
4,0:04.0,,K. Bates-Diop makes free throw 2 of 2,109,111
4,0:04.0,Miami full timeout,,109,111
4,0:04.0,G. Dragić enters the game for J. Johnson,,109,111
4,0:04.0,,G. Dieng enters the game for D. Šarić,109,111
4,0:04.0,,J. Okogie enters the game for K. Towns,109,111
4,0:00.0,D. Wade misses 3-pt jump shot from 25 ft,,109,111
4,0:00.0,Offensive rebound by Team,,109,111
