QUARTER,TIME_REMAINING,PORTLAND_ACTION,SACRAMENTO_ACTION,PORTLAND_SCORE,SACRAMENTO_SCORE
4,5:23.0,D. Lillard makes free throw 2 of 3,,94,102
4,5:23.0,D. Lillard makes free throw 3 of 3,,95,102
4,5:23.0,,Sacramento full timeout,95,102
4,5:23.0,,W. Cauley-Stein enters the game for H. Giles,95,102
4,5:23.0,,Violation by Team (delay of game),95,102
4,5:04.0,,B. Bogdanović makes 2-pt layup from 4 ft,95,104
4,4:46.0,E. Turner misses 2-pt layup from 3 ft,,95,104
4,4:42.0,,Defensive rebound by M. Bagley,95,104
4,4:35.0,,Offensive foul by B. Bogdanović (drawn by E. Turner),95,104
4,4:35.0,,Turnover by B. Bogdanović (offensive foul),95,104
4,4:28.0,D. Lillard misses 2-pt jump shot from 13 ft,,95,104
4,4:25.0,Offensive rebound by D. Lillard,,95,104
4,4:24.0,D. Lillard misses 2-pt jump shot from 4 ft,,95,104
4,4:22.0,,Defensive rebound by W. Cauley-Stein,95,104
4,4:16.0,,Shooting foul by E. Turner (drawn by D. Fox),95,104
4,4:16.0,,D. Fox misses free throw 1 of 2,95,104
4,4:16.0,,Offensive rebound by Team,95,104
4,4:16.0,,D. Fox makes free throw 2 of 2,95,105
4,4:05.0,E. Turner makes 2-pt dunk from 2 ft,,97,105
4,3:49.0,,W. Cauley-Stein misses 2-pt jump shot from 15 ft,97,105
4,3:45.0,Defensive rebound by A. Aminu,,97,105
4,3:41.0,J. Nurkić makes 2-pt layup from 1 ft (assist by D. Lillard),,99,105
4,3:41.0,Shooting foul by M. Bagley (drawn by J. Nurkić),,99,105
4,3:41.0,,B. Hield enters the game for M. Bagley,99,105
4,3:41.0,J. Nurkić misses free throw 1 of 1,,99,105
4,3:38.0,,Defensive rebound by W. Cauley-Stein,99,105
4,3:19.0,,D. Fox misses 2-pt jump shot from 17 ft,99,105
4,3:14.0,,Offensive rebound by B. Hield,99,105
4,3:01.0,,B. Hield misses 3-pt jump shot from 25 ft,99,105
4,2:58.0,Defensive rebound by A. Aminu,,99,105
4,2:53.0,Personal foul by I. Shumpert (drawn by A. Aminu),,99,105
4,2:53.0,A. Aminu misses free throw 1 of 2,,99,105
4,2:53.0,Offensive rebound by Team,,99,105
4,2:53.0,A. Aminu misses free throw 2 of 2,,99,105
4,2:51.0,,Defensive rebound by B. Bogdanović,99,105
4,2:39.0,,Shooting foul by J. Nurkić (drawn by W. Cauley-Stein),99,105
4,2:39.0,,W. Cauley-Stein makes free throw 1 of 2,99,106
4,2:39.0,,W. Cauley-Stein makes free throw 2 of 2,99,107
4,2:22.0,J. Nurkić misses 2-pt jump shot from 6 ft,,99,107
4,2:17.0,Offensive rebound by A. Aminu,,99,107
4,2:17.0,A. Aminu makes 2-pt layup from 1 ft,,101,107
4,1:56.0,,B. Bogdanović makes 2-pt jump shot from 19 ft (assist by W. Cauley-Stein),101,109
4,1:47.0,D. Lillard makes 2-pt jump shot from 17 ft,,103,109
4,1:30.0,,D. Fox makes 3-pt jump shot from 25 ft,103,112
4,1:30.0,Portland full timeout,,103,112
4,1:30.0,J. Layman enters the game for A. Aminu,,103,112
4,1:30.0,,M. Bagley enters the game for B. Bogdanović,103,112
4,1:27.0,D. Lillard misses 3-pt jump shot from 29 ft,,103,112
4,1:24.0,Offensive rebound by C. McCollum,,103,112
4,1:24.0,Personal foul by D. Fox (drawn by C. McCollum),,103,112
4,1:24.0,C. McCollum makes free throw 1 of 2,,104,112
4,1:24.0,A. Aminu enters the game for J. Layman,,104,112
4,1:24.0,C. McCollum makes free throw 2 of 2,,105,112
4,1:14.0,,Personal take foul by A. Aminu (drawn by M. Bagley),105,112
4,1:14.0,,M. Bagley misses free throw 1 of 2,105,112
4,1:14.0,,Offensive rebound by Team,105,112
4,1:14.0,J. Layman enters the game for A. Aminu,,105,112
4,1:14.0,,J. Jackson enters the game for D. Fox,105,112
4,1:14.0,,M. Bagley makes free throw 2 of 2,105,113
4,1:09.0,Shooting foul by M. Bagley (drawn by E. Turner),,105,113
4,1:09.0,E. Turner makes free throw 1 of 2,,106,113
4,1:09.0,A. Aminu enters the game for J. Layman,,106,113
4,1:09.0,,N. Bjelica enters the game for M. Bagley,106,113
4,1:09.0,E. Turner makes free throw 2 of 2,,107,113
4,1:09.0,,Sacramento full timeout,107,113
4,1:09.0,,B. Bogdanović enters the game for N. Bjelica,107,113
4,1:09.0,,D. Fox enters the game for J. Jackson,107,113
4,0:47.0,,D. Fox misses 2-pt layup from 4 ft,107,113
4,0:44.0,Defensive rebound by J. Nurkić,,107,113
4,0:41.0,C. McCollum misses 2-pt jump shot from 15 ft,,107,113
4,0:39.0,Offensive rebound by A. Aminu,,107,113
4,0:39.0,A. Aminu misses 2-pt layup from 1 ft,,107,113
4,0:39.0,Offensive rebound by Team,,107,113
4,0:38.0,Turnover by D. Lillard (step out of bounds),,107,113
4,0:21.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),107,115
4,0:15.0,D. Lillard misses 3-pt jump shot from 28 ft,,107,115
4,0:12.0,,Defensive rebound by Team,107,115
