QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,PHILADELPHIA_ACTION,SAN ANTONIO_SCORE,PHILADELPHIA_SCORE
4,1:16.0,,Defensive rebound by B. Simmons,120,117
4,1:00.0,,J. Redick makes 3-pt jump shot from 28 ft (assist by B. Simmons),120,120
4,1:00.0,,Shooting foul by R. Gay (drawn by J. Redick),120,120
4,1:00.0,,C. Brewer enters the game for L. Shamet,120,120
4,1:00.0,,J. Redick makes free throw 1 of 1,120,121
4,0:45.0,Turnover by M. Belinelli (bad pass),,120,121
4,0:45.0,,L. Shamet enters the game for C. Brewer,120,121
4,0:22.0,,J. Embiid misses 2-pt layup from 3 ft (block by D. White),120,121
4,0:21.0,,Offensive rebound by W. Chandler,120,121
4,0:21.0,,Turnover by Team (shot clock),120,121
4,0:21.0,P. Mills enters the game for R. Gay,,120,121
4,0:21.0,,C. Brewer enters the game for L. Shamet,120,121
4,0:07.0,D. DeRozan misses 2-pt layup from 1 ft (block by W. Chandler),,120,121
4,0:04.0,,Defensive rebound by B. Simmons,120,121
4,0:01.0,,Personal foul by D. DeRozan (drawn by C. Brewer),120,121
4,0:01.0,,C. Brewer misses free throw 1 of 2,120,121
4,0:01.0,,Offensive rebound by Team,120,121
4,0:01.0,,C. Brewer makes free throw 2 of 2,120,122
4,0:01.0,San Antonio full timeout,,120,122
4,0:01.0,San Antonio full timeout,,120,122
