QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,LA LAKERS_ACTION,SACRAMENTO_SCORE,LA LAKERS_SCORE
4,9:40.0,Defensive rebound by H. Barnes,,82,94
4,9:33.0,H. Barnes makes 3-pt jump shot from 26 ft (assist by B. Bogdanović),,85,94
4,9:31.0,,LA Lakers full timeout,85,94
4,9:31.0,,K. Kuzma enters the game for K. Caldwell-Pope,85,94
4,9:12.0,,Turnover by L. James (bad pass),85,94
4,9:12.0,Away from play foul by A. Caruso (drawn by H. Barnes),,85,94
4,9:12.0,B. Bogdanović makes free throw 1 of 1,,86,94
4,8:56.0,M. Bagley makes 2-pt jump shot from 20 ft (assist by B. Bogdanović),,88,94
4,8:34.0,,L. James makes 2-pt layup from 2 ft,88,96
4,8:09.0,H. Barnes misses 3-pt jump shot from 23 ft,,88,96
4,8:07.0,,Defensive rebound by Team,88,96
4,8:07.0,,K. Caldwell-Pope enters the game for A. Caruso,88,96
4,8:07.0,,R. Rondo enters the game for L. Stephenson,88,96
4,7:53.0,,L. James makes 2-pt layup from 2 ft (assist by R. Rondo),88,98
4,7:39.0,Y. Ferrell misses 2-pt jump shot from 10 ft,,88,98
4,7:37.0,,Defensive rebound by J. McGee,88,98
4,7:32.0,,Turnover by L. James (bad pass),88,98
4,7:12.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by Y. Ferrell),,91,98
4,7:01.0,,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,91,98
4,6:59.0,Defensive rebound by M. Bagley,,91,98
4,6:46.0,M. Bagley makes 3-pt jump shot from 26 ft (assist by C. Brewer),,94,98
4,6:26.0,,L. James misses 3-pt jump shot from 27 ft,94,98
4,6:23.0,Defensive rebound by Y. Ferrell,,94,98
4,6:09.0,B. Bogdanović makes 2-pt layup from 3 ft,,96,98
4,6:09.0,,LA Lakers full timeout,96,98
4,6:09.0,N. Bjelica enters the game for C. Brewer,,96,98
4,6:09.0,D. Fox enters the game for Y. Ferrell,,96,98
4,6:09.0,,L. Stephenson enters the game for L. James,96,98
4,5:56.0,,R. Rondo misses 2-pt layup from 2 ft,96,98
4,5:54.0,Defensive rebound by N. Bjelica,,96,98
4,5:36.0,Personal foul by K. Caldwell-Pope (drawn by B. Bogdanović),,96,98
4,5:29.0,B. Bogdanović misses 2-pt jump shot from 20 ft,,96,98
4,5:26.0,,Defensive rebound by J. McGee,96,98
4,5:25.0,,Turnover by J. McGee (bad pass; steal by D. Fox),96,98
4,5:21.0,M. Bagley misses 2-pt jump shot from 2 ft,,96,98
4,5:18.0,,Defensive rebound by J. McGee,96,98
4,5:08.0,,K. Kuzma misses 3-pt jump shot from 28 ft,96,98
4,5:08.0,,Offensive rebound by Team,96,98
4,5:08.0,Loose ball foul by N. Bjelica (drawn by J. McGee),,96,98
4,4:57.0,,Personal foul by M. Bagley (drawn by K. Caldwell-Pope),96,98
4,4:50.0,,Turnover by R. Rondo (bad pass),96,98
4,4:50.0,,Violation by Team (delay of game),96,98
4,4:50.0,,Violation by Team (delay of game),96,98
4,4:50.0,B. Bogdanović misses technical free throw,,96,98
4,4:50.0,Offensive rebound by Team,,96,98
4,4:50.0,,A. Caruso enters the game for K. Caldwell-Pope,96,98
4,4:50.0,,L. James enters the game for L. Stephenson,96,98
4,4:40.0,Turnover by B. Bogdanović (bad pass; steal by J. McGee),,96,98
4,4:27.0,,Shooting foul by D. Fox (drawn by A. Caruso),96,98
4,4:27.0,,A. Caruso makes free throw 1 of 2,96,99
4,4:27.0,B. Hield enters the game for N. Bjelica,,96,99
4,4:27.0,,A. Caruso makes free throw 2 of 2,96,100
4,4:02.0,D. Fox misses 2-pt layup from 2 ft,,96,100
4,4:00.0,,Defensive rebound by J. McGee,96,100
4,3:56.0,,A. Caruso makes 2-pt layup from 2 ft (assist by L. James),96,102
4,3:56.0,Sacramento full timeout,,96,102
4,3:35.0,B. Hield makes 3-pt jump shot from 26 ft (assist by H. Barnes),,99,102
4,3:12.0,,K. Kuzma misses 2-pt jump shot from 12 ft,99,102
4,3:08.0,Defensive rebound by B. Hield,,99,102
4,2:52.0,D. Fox misses 3-pt jump shot from 27 ft,,99,102
4,2:49.0,,Defensive rebound by K. Kuzma,99,102
4,2:32.0,,Shooting foul by B. Hield (drawn by L. James),99,102
4,2:32.0,,L. James makes free throw 1 of 2,99,103
4,2:32.0,,L. James makes free throw 2 of 2,99,104
4,2:20.0,M. Bagley misses 2-pt hook shot from 3 ft (block by J. McGee),,99,104
4,2:17.0,,Defensive rebound by L. James,99,104
4,1:57.0,,Turnover by Team (shot clock),99,104
4,1:43.0,Shooting foul by J. McGee (drawn by D. Fox),,99,104
4,1:43.0,D. Fox makes free throw 1 of 2,,100,104
4,1:43.0,D. Fox makes free throw 2 of 2,,101,104
4,1:31.0,,K. Kuzma misses 2-pt layup from 2 ft,101,104
4,1:30.0,,Offensive rebound by K. Kuzma,101,104
4,1:18.0,,L. James misses 2-pt jump shot from 16 ft,101,104
4,1:17.0,,Offensive rebound by Team,101,104
4,1:17.0,,Turnover by Team (shot clock),101,104
4,0:58.0,B. Bogdanović misses 3-pt jump shot from 27 ft,,101,104
4,0:56.0,,Defensive rebound by A. Caruso,101,104
4,0:37.0,,K. Kuzma misses 3-pt jump shot from 26 ft,101,104
4,0:37.0,,Offensive rebound by L. James,101,104
4,0:37.0,,Personal foul by H. Barnes (drawn by L. James),101,104
4,0:37.0,,L. James makes free throw 1 of 2,101,105
4,0:37.0,,L. James makes free throw 2 of 2,101,106
4,0:27.0,H. Barnes misses 3-pt jump shot from 27 ft,,101,106
4,0:24.0,Offensive rebound by M. Bagley,,101,106
4,0:20.0,B. Hield misses 3-pt jump shot from 22 ft,,101,106
4,0:18.0,Offensive rebound by M. Bagley,,101,106
4,0:17.0,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by M. Bagley),,104,106
4,0:16.0,,Personal foul by B. Hield (drawn by L. James),104,106
4,0:16.0,,L. James makes free throw 1 of 2,104,107
4,0:16.0,,L. James makes free throw 2 of 2,104,108
4,0:16.0,Sacramento full timeout,,104,108
4,0:16.0,Turnover by (5 sec),,104,108
4,0:15.0,,Personal take foul by H. Barnes (drawn by L. James),104,108
4,0:15.0,,L. James makes free throw 1 of 2,104,109
4,0:15.0,,L. James makes free throw 2 of 2,104,110
4,0:08.0,B. Hield makes 2-pt layup from 2 ft,,106,110
4,0:06.0,,Personal take foul by B. Hield (drawn by K. Kuzma),106,110
4,0:06.0,,K. Kuzma misses free throw 1 of 2,106,110
4,0:06.0,,Offensive rebound by Team,106,110
4,0:06.0,,K. Kuzma makes free throw 2 of 2,106,111
4,0:06.0,Sacramento full timeout,,106,111
4,0:02.0,B. Hield misses 3-pt jump shot from 25 ft,,106,111
4,0:01.0,,Defensive rebound by Team,106,111
