QUARTER,TIME_REMAINING,BOSTON_ACTION,DALLAS_ACTION,BOSTON_SCORE,DALLAS_SCORE
4,3:38.0,,J. Barea enters the game for J. Brunson,95,106
4,3:26.0,,W. Matthews makes 3-pt jump shot from 26 ft (assist by J. Barea),95,109
4,3:11.0,K. Irving misses 2-pt layup from 3 ft,,95,109
4,3:08.0,Offensive rebound by K. Irving,,95,109
4,3:08.0,K. Irving misses 2-pt layup at rim,,95,109
4,3:08.0,,Defensive rebound by J. Barea,95,109
4,2:50.0,,D. Jordan makes 2-pt dunk from 1 ft (assist by L. Dončić),95,111
4,2:33.0,M. Morris makes 2-pt layup from 1 ft (assist by J. Tatum),,97,111
4,2:19.0,,Personal foul by J. Brown (drawn by L. Dončić),97,111
4,2:07.0,,M. Kleber misses 2-pt layup from 1 ft,97,111
4,2:05.0,,Offensive rebound by M. Kleber,97,111
4,2:05.0,,M. Kleber makes 2-pt layup from 1 ft,97,113
4,2:04.0,Boston full timeout,,97,113
4,2:04.0,M. Smart enters the game for J. Brown,,97,113
4,1:51.0,M. Smart makes 2-pt jump shot from 8 ft,,99,113
4,1:40.0,,Turnover by L. Dončić (traveling),99,113
4,1:32.0,M. Morris misses 2-pt layup from 3 ft (block by L. Dončić),,99,113
4,1:32.0,Offensive rebound by Team,,99,113
4,1:21.0,M. Morris makes 2-pt jump shot from 6 ft,,101,113
4,1:11.0,,Personal foul by K. Irving (drawn by J. Barea),101,113
4,0:59.0,,J. Barea misses 3-pt jump shot from 26 ft,101,113
4,0:57.0,Defensive rebound by M. Morris,,101,113
4,0:50.0,A. Horford misses 3-pt jump shot from 25 ft,,101,113
4,0:47.0,,Defensive rebound by D. Jordan,101,113
4,0:26.0,,L. Dončić misses 2-pt jump shot from 13 ft,101,113
4,0:23.0,Defensive rebound by M. Smart,,101,113
4,0:20.0,J. Tatum misses 3-pt jump shot from 25 ft,,101,113
4,0:17.0,Offensive rebound by M. Smart,,101,113
4,0:17.0,T. Rozier enters the game for K. Irving,,101,113
4,0:17.0,,J. Brunson enters the game for J. Barea,101,113
4,0:12.0,M. Morris makes 3-pt jump shot from 25 ft (assist by J. Tatum),,104,113
4,0:12.0,Technical foul by M. Smart,,104,113
4,0:12.0,S. Ojeleye enters the game for M. Smart,,104,113
4,0:12.0,,D. Jordan misses technical free throw,104,113
4,0:12.0,,Offensive rebound by Team,104,113
