QUARTER,TIME_REMAINING,INDIANA_ACTION,MILWAUKEE_ACTION,INDIANA_SCORE,MILWAUKEE_SCORE
4,8:32.0,,G. Antetokounmpo misses 2-pt layup from 6 ft (block by V. Oladipo),82,100
4,8:32.0,,Offensive rebound by Team,82,100
4,8:24.0,,B. Lopez makes 2-pt hook shot from 4 ft (assist by E. Bledsoe),82,102
4,8:07.0,T. Evans misses 2-pt layup from 3 ft,,82,102
4,8:05.0,Offensive rebound by D. Sabonis,,82,102
4,8:02.0,T. Young misses 2-pt layup from 3 ft,,82,102
4,8:02.0,Offensive rebound by Team,,82,102
4,8:01.0,,Loose ball foul by B. Lopez (drawn by D. Sabonis),82,102
4,8:01.0,,T. Snell enters the game for D. DiVincenzo,82,102
4,7:59.0,Shooting foul by T. Snell (drawn by V. Oladipo),,82,102
4,7:59.0,V. Oladipo makes free throw 1 of 3,,83,102
4,7:59.0,V. Oladipo misses free throw 2 of 3,,83,102
4,7:59.0,Offensive rebound by Team,,83,102
4,7:59.0,V. Oladipo makes free throw 3 of 3,,84,102
4,7:46.0,,Personal foul by V. Oladipo (drawn by G. Antetokounmpo),84,102
4,7:32.0,,K. Middleton misses 3-pt jump shot from 29 ft (block by T. Evans),84,102
4,7:28.0,Defensive rebound by V. Oladipo,,84,102
4,7:25.0,V. Oladipo misses 2-pt layup from 3 ft,,84,102
4,7:22.0,Offensive rebound by D. Sabonis,,84,102
4,7:16.0,T. Evans misses 2-pt layup from 1 ft,,84,102
4,7:13.0,,Defensive rebound by E. Bledsoe,84,102
4,6:56.0,,B. Lopez misses 3-pt jump shot from 28 ft,84,102
4,6:53.0,Defensive rebound by T. Young,,84,102
4,6:48.0,V. Oladipo misses 2-pt jump shot from 13 ft,,84,102
4,6:44.0,,Defensive rebound by G. Antetokounmpo,84,102
4,6:40.0,,Turnover by G. Antetokounmpo (traveling),84,102
4,6:40.0,Indiana full timeout,,84,102
4,6:40.0,,E. İlyasova enters the game for G. Antetokounmpo,84,102
4,6:30.0,Turnover by D. Sabonis (lost ball; steal by E. Bledsoe),,84,102
4,6:25.0,,T. Snell makes 2-pt dunk from 2 ft (assist by E. Bledsoe),84,104
4,6:11.0,V. Oladipo makes 2-pt jump shot from 22 ft,,86,104
4,5:52.0,,K. Middleton makes 3-pt jump shot from 26 ft (assist by E. Bledsoe),86,107
4,5:40.0,V. Oladipo makes 2-pt jump shot from 12 ft (assist by D. Sabonis),,88,107
4,5:27.0,,B. Lopez misses 3-pt jump shot from 28 ft,88,107
4,5:24.0,Defensive rebound by D. Sabonis,,88,107
4,5:17.0,V. Oladipo misses 2-pt jump shot from 19 ft,,88,107
4,5:14.0,,Defensive rebound by E. İlyasova,88,107
4,5:04.0,,K. Middleton makes 3-pt jump shot from 27 ft (assist by E. Bledsoe),88,110
4,5:04.0,,Shooting foul by V. Oladipo (drawn by K. Middleton),88,110
4,5:04.0,D. Collison enters the game for T. Evans,,88,110
4,5:04.0,,K. Middleton makes free throw 1 of 1,88,111
4,4:49.0,Shooting foul by E. İlyasova (drawn by T. Young),,88,111
4,4:49.0,T. Young makes free throw 1 of 2,,89,111
4,4:49.0,,M. Brogdon enters the game for E. Bledsoe,89,111
4,4:49.0,T. Young misses free throw 2 of 2,,89,111
4,4:44.0,,Defensive rebound by T. Snell,89,111
4,4:34.0,,K. Middleton misses 2-pt layup from 1 ft,89,111
4,4:32.0,Defensive rebound by D. Sabonis,,89,111
4,4:30.0,T. Young misses 2-pt layup from 2 ft (block by B. Lopez),,89,111
4,4:30.0,Offensive rebound by Team,,89,111
4,4:19.0,V. Oladipo misses 2-pt jump shot from 9 ft,,89,111
4,4:17.0,,Defensive rebound by B. Lopez,89,111
4,4:14.0,,K. Middleton makes 2-pt jump shot from 9 ft (assist by M. Brogdon),89,113
4,4:14.0,Indiana full timeout,,89,113
4,4:14.0,A. Holiday enters the game for D. Collison,,89,113
4,4:14.0,A. Johnson enters the game for C. Joseph,,89,113
4,4:14.0,D. McDermott enters the game for V. Oladipo,,89,113
4,4:14.0,K. O'Quinn enters the game for D. Sabonis,,89,113
4,4:14.0,E. Sumner enters the game for T. Young,,89,113
4,4:14.0,,M. Dellavedova enters the game for M. Brogdon,89,113
4,4:14.0,,D. DiVincenzo enters the game for E. İlyasova,89,113
4,4:14.0,,J. Henson enters the game for B. Lopez,89,113
4,4:14.0,,C. Wood enters the game for K. Middleton,89,113
4,3:57.0,K. O'Quinn misses 2-pt jump shot from 11 ft,,89,113
4,3:53.0,,Defensive rebound by M. Dellavedova,89,113
4,3:44.0,,Shooting foul by E. Sumner (drawn by D. DiVincenzo),89,113
4,3:44.0,,D. DiVincenzo makes free throw 1 of 2,89,114
4,3:44.0,,S. Brown enters the game for J. Henson,89,114
4,3:44.0,,P. Connaughton enters the game for T. Snell,89,114
4,3:44.0,,D. DiVincenzo makes free throw 2 of 2,89,115
4,3:35.0,Shooting foul by C. Wood (drawn by E. Sumner),,89,115
4,3:35.0,E. Sumner misses free throw 1 of 2,,89,115
4,3:35.0,Offensive rebound by Team,,89,115
4,3:35.0,,J. Henson enters the game for D. DiVincenzo,89,115
4,3:35.0,E. Sumner misses free throw 2 of 2,,89,115
4,3:32.0,,Defensive rebound by J. Henson,89,115
4,3:16.0,,C. Wood misses 2-pt jump shot from 20 ft,89,115
4,3:13.0,Defensive rebound by A. Holiday,,89,115
4,3:11.0,A. Holiday misses 2-pt jump shot from 19 ft,,89,115
4,3:07.0,,Defensive rebound by C. Wood,89,115
4,3:00.0,,S. Brown makes 2-pt layup from 2 ft (assist by P. Connaughton),89,117
4,2:50.0,K. O'Quinn makes 2-pt jump shot from 5 ft (assist by E. Sumner),,91,117
4,2:28.0,,J. Henson misses 3-pt jump shot from 26 ft,91,117
4,2:24.0,Defensive rebound by K. O'Quinn,,91,117
4,2:17.0,D. McDermott makes 3-pt jump shot from 24 ft (assist by A. Holiday),,94,117
4,2:00.0,,Personal foul by A. Johnson (drawn by C. Wood),94,117
4,2:00.0,,C. Wood misses free throw 1 of 2,94,117
4,2:00.0,,Offensive rebound by Team,94,117
4,2:00.0,,C. Wood makes free throw 2 of 2,94,118
4,1:44.0,A. Holiday misses 3-pt jump shot from 26 ft,,94,118
4,1:39.0,,Defensive rebound by J. Henson,94,118
4,1:19.0,,P. Connaughton misses 3-pt jump shot from 27 ft,94,118
4,1:18.0,Defensive rebound by A. Johnson,,94,118
4,1:18.0,Personal foul by J. Henson (drawn by K. O'Quinn),,94,118
4,1:18.0,K. O'Quinn makes free throw 1 of 2,,95,118
4,1:18.0,K. O'Quinn makes free throw 2 of 2,,96,118
4,1:01.0,,M. Dellavedova misses 2-pt jump shot from 4 ft,96,118
4,0:57.0,Defensive rebound by A. Johnson,,96,118
4,0:56.0,A. Johnson makes 2-pt jump shot from 10 ft,,98,118
4,0:42.0,,Turnover by C. Wood (traveling),98,118
4,0:30.0,D. McDermott makes 3-pt jump shot from 23 ft (assist by K. O'Quinn),,101,118
4,0:11.0,,P. Connaughton misses 2-pt jump shot from 17 ft,101,118
4,0:08.0,Defensive rebound by A. Johnson,,101,118
4,0:05.0,A. Johnson misses 2-pt jump shot from 19 ft,,101,118
4,0:00.0,,Defensive rebound by J. Henson,101,118
