QUARTER,TIME_REMAINING,CHICAGO_ACTION,MEMPHIS_ACTION,CHICAGO_SCORE,MEMPHIS_SCORE
2,0:33.0,R. Arcidiacono makes 2-pt jump shot from 8 ft,,46,46
2,0:09.0,,J. Noah misses 2-pt layup at rim,46,46
2,0:09.0,Defensive rebound by W. Selden,,46,46
2,0:00.0,Z. LaVine misses 2-pt jump shot from 4 ft,,46,46
2,0:00.0,Offensive rebound by Team,,46,46
3,11:43.0,L. Markkanen makes 2-pt jump shot from 11 ft,,48,46
3,11:21.0,,J. Holiday makes 2-pt layup from 1 ft (assist by M. Conley),48,48
3,10:57.0,L. Markkanen makes 2-pt jump shot from 17 ft (assist by Z. LaVine),,50,48
3,10:46.0,,J. Valančiūnas misses 3-pt jump shot from 25 ft,50,48
3,10:43.0,Defensive rebound by L. Markkanen,,50,48
3,10:39.0,Shooting foul by J. Holiday (drawn by L. Markkanen),,50,48
3,10:39.0,L. Markkanen makes free throw 1 of 2,,51,48
3,10:39.0,L. Markkanen makes free throw 2 of 2,,52,48
3,10:19.0,,Turnover by B. Caboclo (lost ball; steal by K. Dunn),52,48
3,10:15.0,Shooting foul by J. Holiday (drawn by Z. LaVine),,52,48
3,10:15.0,Z. LaVine makes free throw 1 of 2,,53,48
3,10:15.0,Z. LaVine makes free throw 2 of 2,,54,48
3,9:52.0,,A. Bradley makes 3-pt jump shot from 25 ft (assist by J. Valančiūnas),54,51
3,9:33.0,L. Markkanen misses 3-pt jump shot from 27 ft,,54,51
3,9:32.0,,Defensive rebound by M. Conley,54,51
3,9:24.0,,M. Conley misses 2-pt jump shot from 11 ft,54,51
3,9:20.0,Defensive rebound by L. Markkanen,,54,51
3,9:16.0,Z. LaVine misses 2-pt layup from 1 ft,,54,51
3,9:12.0,,Defensive rebound by J. Holiday,54,51
3,9:09.0,,Shooting foul by R. Lopez (drawn by J. Holiday),54,51
3,9:09.0,,J. Holiday makes free throw 1 of 2,54,52
3,9:09.0,,J. Holiday misses free throw 2 of 2,54,52
3,9:07.0,,Offensive rebound by J. Holiday,54,52
3,9:00.0,,A. Bradley makes 2-pt jump shot from 21 ft (assist by J. Valančiūnas),54,54
3,8:53.0,Chicago full timeout,,54,54
3,8:40.0,Turnover by L. Markkanen (bad pass; steal by J. Holiday),,54,54
3,8:25.0,,B. Caboclo misses 3-pt jump shot from 25 ft,54,54
3,8:23.0,Defensive rebound by Z. LaVine,,54,54
3,8:12.0,K. Dunn misses 2-pt layup from 3 ft (block by M. Conley),,54,54
3,8:07.0,Offensive rebound by K. Dunn,,54,54
3,8:07.0,K. Dunn misses 2-pt layup from 1 ft,,54,54
3,8:06.0,,Defensive rebound by J. Valančiūnas,54,54
3,7:59.0,,M. Conley misses 2-pt layup from 1 ft,54,54
3,7:57.0,Defensive rebound by L. Markkanen,,54,54
3,7:53.0,K. Dunn misses 2-pt jump shot from 18 ft,,54,54
3,7:49.0,,Defensive rebound by A. Bradley,54,54
3,7:28.0,,Turnover by B. Caboclo (lost ball; steal by K. Dunn),54,54
