QUARTER,TIME_REMAINING,HOUSTON_ACTION,PHILADELPHIA_ACTION,HOUSTON_SCORE,PHILADELPHIA_SCORE
4,6:09.0,,L. Shamet misses 2-pt dunk from 1 ft (block by M. Chriss),78,105
4,6:06.0,Defensive rebound by J. Ennis,,78,105
4,6:03.0,G. Green makes 2-pt layup from 1 ft (assist by J. Ennis),,80,105
4,6:03.0,Shooting foul by C. Brewer (drawn by G. Green),,80,105
4,6:03.0,G. Green makes free throw 1 of 1,,81,105
4,5:49.0,,L. Shamet makes 2-pt jump shot from 17 ft,81,107
4,5:33.0,G. Clark misses 3-pt jump shot from 27 ft,,81,107
4,5:30.0,,Defensive rebound by M. Muscala,81,107
4,5:16.0,,L. Shamet misses 3-pt jump shot from 29 ft,81,107
4,5:12.0,Defensive rebound by G. Green,,81,107
4,5:07.0,V. Edwards misses 3-pt jump shot from 23 ft,,81,107
4,5:02.0,Offensive rebound by M. Chriss,,81,107
4,5:02.0,M. Chriss misses 2-pt layup at rim,,81,107
4,5:02.0,,Defensive rebound by M. Muscala,81,107
4,5:00.0,,C. Brewer misses 2-pt jump shot from 4 ft,81,107
4,5:00.0,Defensive rebound by G. Clark,,81,107
4,4:49.0,G. Green misses 2-pt hook shot from 8 ft,,81,107
4,4:49.0,,Defensive rebound by F. Korkmaz,81,107
4,4:30.0,,F. Korkmaz misses 3-pt jump shot from 26 ft,81,107
4,4:27.0,Defensive rebound by M. Chriss,,81,107
4,4:17.0,M. Chriss misses 3-pt jump shot from 25 ft,,81,107
4,4:14.0,,Defensive rebound by L. Shamet,81,107
4,4:14.0,,Philadelphia full timeout,81,107
4,4:05.0,,L. Shamet misses 2-pt layup from 1 ft,81,107
4,4:04.0,,Offensive rebound by A. Johnson,81,107
4,4:04.0,,Shooting foul by M. Chriss (drawn by A. Johnson),81,107
4,4:04.0,,A. Johnson makes free throw 1 of 2,81,108
4,4:04.0,,A. Johnson misses free throw 2 of 2,81,108
4,4:01.0,Defensive rebound by M. Chriss,,81,108
4,3:53.0,M. Chriss makes 2-pt dunk from 1 ft (assist by G. Green),,83,108
4,3:43.0,,F. Korkmaz makes 3-pt jump shot from 26 ft (assist by A. Johnson),83,111
4,3:34.0,Shooting foul by A. Johnson (drawn by G. Green),,83,111
4,3:34.0,G. Green makes free throw 1 of 2,,84,111
4,3:34.0,G. Green makes free throw 2 of 2,,85,111
4,3:18.0,,F. Korkmaz misses 3-pt jump shot from 26 ft,85,111
4,3:18.0,,Offensive rebound by A. Johnson,85,111
4,3:18.0,,A. Johnson misses 2-pt layup from 1 ft,85,111
4,3:18.0,Defensive rebound by Team,,85,111
4,3:07.0,V. Edwards misses 3-pt jump shot from 26 ft,,85,111
4,3:03.0,,Defensive rebound by C. Brewer,85,111
4,2:49.0,,F. Korkmaz makes 3-pt jump shot from 27 ft (assist by C. Brewer),85,114
4,2:35.0,G. Green misses 2-pt layup from 2 ft (block by C. Brewer),,85,114
4,2:32.0,,Defensive rebound by A. Johnson,85,114
4,2:15.0,,Turnover by F. Korkmaz (bad pass; steal by J. Ennis),85,114
4,2:05.0,Turnover by M. Chriss (lost ball; steal by C. Brewer),,85,114
4,2:00.0,,C. Brewer makes 2-pt dunk from 2 ft (assist by A. Johnson),85,116
4,1:47.0,G. Green misses 3-pt jump shot from 26 ft,,85,116
4,1:44.0,,Defensive rebound by M. Muscala,85,116
4,1:30.0,,L. Shamet makes 3-pt jump shot from 27 ft (assist by M. Muscala),85,119
4,1:21.0,Personal foul by L. Shamet (drawn by J. Ennis),,85,119
4,1:21.0,J. Ennis makes free throw 1 of 2,,86,119
4,1:21.0,J. Ennis makes free throw 2 of 2,,87,119
4,0:56.0,,L. Shamet misses 3-pt jump shot from 29 ft,87,119
4,0:53.0,Defensive rebound by J. Ennis,,87,119
4,0:51.0,J. Ennis makes 2-pt layup from 1 ft,,89,119
4,0:51.0,Shooting foul by L. Shamet (drawn by J. Ennis),,89,119
4,0:51.0,J. Ennis makes free throw 1 of 1,,90,119
4,0:33.0,,L. Shamet makes 2-pt layup at rim,90,121
4,0:24.0,G. Green makes 3-pt jump shot from 25 ft,,93,121
