QUARTER,TIME_REMAINING,TORONTO_ACTION,NEW YORK_ACTION,TORONTO_SCORE,NEW YORK_SCORE
4,4:30.0,,K. Knox misses 2-pt jump shot from 15 ft,91,90
4,4:27.0,Defensive rebound by S. Ibaka,,91,90
4,4:22.0,D. Green makes 3-pt jump shot from 25 ft (assist by K. Lowry),,94,90
4,3:57.0,,K. Allen misses 2-pt jump shot from 8 ft,94,90
4,3:55.0,Defensive rebound by P. Siakam,,94,90
4,3:52.0,D. Green misses 3-pt jump shot from 25 ft,,94,90
4,3:48.0,Offensive rebound by P. Siakam,,94,90
4,3:45.0,K. Leonard misses 3-pt jump shot from 27 ft,,94,90
4,3:44.0,,Defensive rebound by Team,94,90
4,3:44.0,Loose ball foul by K. Lowry (drawn by K. Allen),,94,90
4,3:44.0,,M. Hezonja enters the game for N. Vonleh,94,90
4,3:44.0,,K. Allen misses free throw 1 of 2,94,90
4,3:44.0,,Offensive rebound by Team,94,90
4,3:44.0,,K. Allen misses free throw 2 of 2,94,90
4,3:39.0,Defensive rebound by P. Siakam,,94,90
4,3:28.0,D. Green makes 3-pt jump shot from 23 ft (assist by K. Lowry),,97,90
4,3:27.0,,New York full timeout,97,90
4,3:07.0,,D. Smith makes 2-pt layup from 1 ft,97,92
4,2:45.0,K. Leonard misses 2-pt jump shot from 19 ft,,97,92
4,2:42.0,,Defensive rebound by D. Smith,97,92
4,2:26.0,,Shooting foul by S. Ibaka (drawn by D. Smith),97,92
4,2:26.0,,D. Smith misses free throw 1 of 2,97,92
4,2:26.0,,Offensive rebound by Team,97,92
4,2:26.0,,D. Smith makes free throw 2 of 2,97,93
4,2:17.0,Personal foul by M. Hezonja (drawn by K. Lowry),,97,93
4,2:17.0,K. Lowry makes free throw 1 of 2,,98,93
4,2:17.0,K. Lowry makes free throw 2 of 2,,99,93
4,2:06.0,,K. Knox misses 2-pt layup from 5 ft,99,93
4,2:05.0,,Offensive rebound by D. Jordan,99,93
4,2:04.0,,D. Jordan misses 2-pt layup from 2 ft,99,93
4,2:02.0,,Offensive rebound by K. Knox,99,93
4,1:59.0,,K. Knox makes 3-pt jump shot from 23 ft (assist by D. Smith),99,96
4,1:43.0,K. Lowry misses 2-pt jump shot from 20 ft,,99,96
4,1:41.0,,Defensive rebound by D. Jordan,99,96
4,1:31.0,,M. Hezonja misses 2-pt jump shot from 18 ft,99,96
4,1:27.0,Defensive rebound by S. Ibaka,,99,96
4,1:18.0,P. Siakam misses 2-pt hook shot from 8 ft,,99,96
4,1:18.0,,Defensive rebound by D. Jordan,99,96
4,1:06.0,,New York full timeout,99,96
4,1:06.0,,D. Smith misses 2-pt jump shot from 22 ft,99,96
4,0:50.0,Defensive rebound by D. Green,,99,96
4,0:36.0,Shooting foul by D. Jordan (drawn by S. Ibaka),,99,96
4,0:36.0,S. Ibaka makes free throw 1 of 2,,100,96
4,0:36.0,S. Ibaka makes free throw 2 of 2,,101,96
4,0:36.0,,New York full timeout,101,96
4,0:30.0,,M. Hezonja misses 3-pt jump shot from 25 ft,101,96
4,0:27.0,Defensive rebound by S. Ibaka,,101,96
4,0:23.0,Personal take foul by D. Smith (drawn by K. Lowry),,101,96
4,0:23.0,K. Lowry misses free throw 1 of 2,,101,96
4,0:23.0,Offensive rebound by Team,,101,96
4,0:23.0,K. Lowry makes free throw 2 of 2,,102,96
4,0:14.0,,D. Smith misses 2-pt layup from 2 ft,102,96
4,0:13.0,,Offensive rebound by D. Jordan,102,96
4,0:11.0,,M. Hezonja makes 3-pt jump shot from 26 ft (assist by D. Jordan),102,99
4,0:11.0,Toronto full timeout,,102,99
4,0:08.0,Personal take foul by K. Allen (drawn by K. Lowry),,102,99
4,0:08.0,K. Lowry makes free throw 1 of 2,,103,99
4,0:08.0,K. Lowry makes free throw 2 of 2,,104,99
4,0:04.0,,M. Hezonja misses 3-pt jump shot from 27 ft,104,99
4,0:00.0,Defensive rebound by S. Ibaka,,104,99
