QUARTER,TIME_REMAINING,WASHINGTON_ACTION,CLEVELAND_ACTION,WASHINGTON_SCORE,CLEVELAND_SCORE
2,1:50.0,,T. Thompson makes 2-pt dunk at rim,43,62
2,1:38.0,J. Wall misses 2-pt layup from 2 ft,,43,62
2,1:36.0,,Defensive rebound by C. Osman,43,62
2,1:30.0,,C. Sexton misses 3-pt jump shot from 23 ft,43,62
2,1:27.0,Defensive rebound by O. Porter,,43,62
2,1:21.0,O. Porter makes 3-pt jump shot from 27 ft,,46,62
2,0:57.0,,A. Burks misses 2-pt layup from 1 ft,46,62
2,0:55.0,Defensive rebound by O. Porter,,46,62
2,0:46.0,M. Morris misses 2-pt hook shot from 5 ft,,46,62
2,0:44.0,,Defensive rebound by T. Thompson,46,62
2,0:28.0,,A. Burks misses 3-pt jump shot from 24 ft,46,62
2,0:25.0,Defensive rebound by J. Wall,,46,62
2,0:04.0,T. Satoranský misses 3-pt jump shot from 23 ft,,46,62
2,0:02.0,,Defensive rebound by A. Burks,46,62
2,0:02.0,,A. Burks misses 3-pt jump shot from 59 ft,46,62
2,0:01.0,,Offensive rebound by Team,46,62
3,11:42.0,,C. Sexton misses 2-pt jump shot from 12 ft,46,62
3,11:39.0,,Offensive rebound by T. Thompson,46,62
3,11:37.0,,T. Thompson makes 2-pt hook shot from 6 ft,46,64
3,11:24.0,Personal foul by C. Sexton (drawn by J. Wall),,46,64
3,11:19.0,Turnover by T. Bryant (offensive foul),,46,64
3,11:19.0,Offensive foul by T. Bryant (drawn by C. Osman),,46,64
3,10:57.0,,T. Thompson misses 2-pt hook shot from 9 ft,46,64
3,10:54.0,Defensive rebound by B. Beal,,46,64
3,10:46.0,J. Wall misses 3-pt jump shot from 26 ft,,46,64
3,10:46.0,,Defensive rebound by T. Thompson,46,64
3,10:40.0,,C. Sexton makes 2-pt jump shot from 15 ft (assist by T. Thompson),46,66
3,10:35.0,Turnover by B. Beal (bad pass),,46,66
3,10:20.0,,C. Osman misses 2-pt layup from 1 ft,46,66
3,10:10.0,,Offensive rebound by J. Blossomgame,46,66
3,10:10.0,,J. Blossomgame makes 2-pt dunk at rim,46,68
3,10:04.0,B. Beal misses 2-pt jump shot from 17 ft,,46,68
3,10:01.0,,Defensive rebound by J. Blossomgame,46,68
3,9:51.0,,T. Thompson misses 2-pt dunk from 1 ft (block by T. Bryant),46,68
3,9:48.0,Defensive rebound by J. Wall,,46,68
3,9:43.0,J. Wall misses 3-pt jump shot from 26 ft,,46,68
3,9:40.0,,Defensive rebound by J. Blossomgame,46,68
3,9:34.0,,A. Burks misses 2-pt jump shot from 9 ft,46,68
3,9:34.0,Defensive rebound by Team,,46,68
3,9:21.0,B. Beal makes 2-pt jump shot from 18 ft (assist by J. Wall),,48,68
3,9:05.0,,C. Sexton misses 2-pt jump shot from 17 ft,48,68
3,9:04.0,Defensive rebound by J. Wall,,48,68
3,8:59.0,T. Satoranský misses 3-pt jump shot from 24 ft,,48,68
3,8:54.0,,Defensive rebound by A. Burks,48,68
3,8:36.0,,C. Osman misses 2-pt jump shot from 17 ft,48,68
3,8:34.0,,Offensive rebound by T. Thompson,48,68
3,8:28.0,,C. Osman makes 3-pt jump shot from 26 ft (assist by A. Burks),48,71
3,8:16.0,B. Beal misses 2-pt layup from 3 ft (block by T. Thompson),,48,71
3,8:16.0,Offensive rebound by Team,,48,71
3,8:11.0,O. Porter misses 2-pt jump shot from 12 ft,,48,71
3,8:11.0,,Defensive rebound by Team,48,71
3,7:56.0,,C. Osman makes 3-pt jump shot from 26 ft (assist by T. Thompson),48,74
3,7:54.0,Washington full timeout,,48,74
3,7:54.0,M. Morris enters the game for T. Bryant,,48,74
3,7:47.0,Shooting foul by C. Osman (drawn by J. Wall),,48,74
3,7:47.0,J. Wall misses free throw 1 of 2,,48,74
3,7:47.0,Offensive rebound by Team,,48,74
3,7:47.0,J. Wall makes free throw 2 of 2,,49,74
3,7:34.0,,Personal foul by B. Beal (drawn by C. Osman),49,74
3,7:22.0,,T. Thompson misses 2-pt jump shot from 10 ft,49,74
3,7:14.0,,Offensive rebound by J. Blossomgame,49,74
3,7:14.0,,J. Blossomgame makes 2-pt dunk at rim,49,76
3,6:56.0,B. Beal misses 3-pt jump shot from 23 ft,,49,76
3,6:54.0,Offensive rebound by O. Porter,,49,76
3,6:53.0,B. Beal makes 2-pt dunk from 1 ft (assist by O. Porter),,51,76
3,6:34.0,,A. Burks makes 3-pt jump shot from 26 ft (assist by T. Thompson),51,79
3,6:15.0,T. Satoranský makes 2-pt layup from 1 ft (assist by M. Morris),,53,79
3,6:15.0,,Violation by Team (def goaltending),53,79
3,5:51.0,,C. Sexton makes 3-pt jump shot from 26 ft,53,82
3,5:33.0,M. Morris makes 3-pt jump shot from 25 ft (assist by J. Wall),,56,82
3,5:15.0,,Personal foul by M. Morris (drawn by T. Thompson),56,82
3,5:15.0,I. Mahinmi enters the game for T. Satoranský,,56,82
3,5:15.0,,J. Clarkson enters the game for A. Burks,56,82
3,5:00.0,,J. Clarkson misses 3-pt jump shot from 26 ft,56,82
