QUARTER,TIME_REMAINING,CHICAGO_ACTION,WASHINGTON_ACTION,CHICAGO_SCORE,WASHINGTON_SCORE
4,5:39.0,,Washington full timeout,100,102
4,5:18.0,,J. McRae misses 3-pt jump shot from 31 ft,100,102
4,5:14.0,Defensive rebound by C. Felício,,100,102
4,5:02.0,J. Sampson misses 2-pt layup from 4 ft,,100,102
4,5:00.0,,Defensive rebound by T. Bryant,100,102
4,4:44.0,,T. Brown misses 3-pt jump shot from 26 ft,100,102
4,4:42.0,,Offensive rebound by Team,100,102
4,4:35.0,,C. Randle makes 2-pt layup from 3 ft (assist by T. Bryant),100,104
4,4:21.0,R. Alkins misses 3-pt jump shot from 23 ft,,100,104
4,4:15.0,,Defensive rebound by T. Bryant,100,104
4,4:02.0,,S. Dekker misses 3-pt jump shot from 27 ft,100,104
4,3:57.0,Defensive rebound by R. Alkins,,100,104
4,3:37.0,J. Sampson makes 2-pt hook shot from 11 ft (assist by W. Lemon),,102,104
4,3:24.0,,T. Bryant makes 2-pt layup from 2 ft (assist by J. McRae),102,106
4,3:14.0,W. Lemon makes 2-pt layup from 1 ft,,104,106
4,3:14.0,,Washington full timeout,104,106
4,2:54.0,,T. Bryant makes 2-pt layup from 1 ft (assist by J. McRae),104,108
4,2:54.0,,Shooting foul by R. Alkins (drawn by T. Bryant),104,108
4,2:54.0,,T. Bryant makes free throw 1 of 1,104,109
4,2:32.0,W. Lemon misses 2-pt jump shot from 11 ft,,104,109
4,2:30.0,Offensive rebound by C. Felício,,104,109
4,2:30.0,Personal foul by S. Dekker (drawn by C. Felício),,104,109
4,2:23.0,S. Harrison makes 3-pt jump shot from 26 ft (assist by W. Lemon),,107,109
4,2:02.0,,T. Brown misses 2-pt jump shot from 8 ft,107,109
4,2:00.0,Defensive rebound by C. Felício,,107,109
4,1:45.0,S. Harrison makes 2-pt layup from 7 ft (assist by W. Lemon),,109,109
4,1:32.0,,S. Dekker makes 3-pt jump shot from 26 ft (assist by T. Bryant),109,112
4,1:22.0,W. Lemon misses 2-pt layup from 4 ft (block by T. Bryant),,109,112
4,1:22.0,,Defensive rebound by Team,109,112
4,1:02.0,,Turnover by J. McRae (step out of bounds),109,112
4,0:55.0,S. Harrison makes 2-pt layup from 2 ft,,111,112
4,0:41.0,,T. Bryant misses 2-pt layup from 7 ft,111,112
4,0:38.0,Defensive rebound by W. Lemon,,111,112
4,0:36.0,Chicago full timeout,,111,112
4,0:30.0,W. Lemon makes 2-pt layup from 2 ft,,113,112
4,0:14.0,,J. McRae misses 2-pt jump shot from 6 ft (block by S. Harrison),113,112
4,0:14.0,,Offensive rebound by Team,113,112
4,0:14.0,,Washington full timeout,113,112
4,0:12.0,,Shooting foul by S. Harrison (drawn by C. Randle),113,112
4,0:12.0,,C. Randle makes free throw 1 of 2,113,113
4,0:12.0,,C. Randle makes free throw 2 of 2,113,114
4,0:12.0,Chicago full timeout,,113,114
4,0:06.0,Personal take foul by J. McRae (drawn by S. Harrison),,113,114
4,0:01.0,Shooting foul by C. Randle (drawn by W. Lemon),,113,114
4,0:01.0,W. Lemon makes free throw 1 of 2,,114,114
4,0:01.0,W. Lemon makes free throw 2 of 2,,115,114
4,0:01.0,,Washington full timeout,115,114
4,0:00.0,,J. McRae misses 3-pt jump shot from 27 ft,115,114
4,0:00.0,,Offensive rebound by Team,115,114
