QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,GOLDEN STATE_ACTION,SACRAMENTO_SCORE,GOLDEN STATE_SCORE
3,5:43.0,,A. Iguodala enters the game for D. Green,78,76
3,5:43.0,,D. Cousins makes free throw 2 of 2,78,77
3,5:36.0,D. Fox makes 2-pt jump shot from 19 ft,,80,77
3,5:21.0,,D. Cousins misses 3-pt jump shot from 26 ft,80,77
3,5:19.0,Defensive rebound by M. Bagley,,80,77
3,5:09.0,H. Barnes misses 3-pt jump shot from 28 ft,,80,77
3,5:07.0,,Defensive rebound by Team,80,77
3,5:07.0,,K. Looney enters the game for D. Cousins,80,77
3,4:41.0,,A. Iguodala misses 3-pt jump shot from 26 ft,80,77
3,4:39.0,Defensive rebound by H. Giles,,80,77
3,4:34.0,D. Fox makes 2-pt layup from 3 ft,,82,77
3,4:34.0,Shooting foul by A. Iguodala (drawn by D. Fox),,82,77
3,4:34.0,D. Fox makes free throw 1 of 1,,83,77
3,4:21.0,,K. Looney makes 2-pt dunk at rim (assist by S. Curry),83,79
3,4:11.0,D. Fox makes 3-pt jump shot from 26 ft,,86,79
3,3:59.0,,S. Curry misses 2-pt layup from 5 ft,86,79
3,3:58.0,,Offensive rebound by K. Looney,86,79
3,3:58.0,,K. Looney misses 2-pt layup from 1 ft,86,79
3,3:56.0,Defensive rebound by H. Giles,,86,79
3,3:51.0,D. Fox misses 3-pt jump shot from 23 ft,,86,79
3,3:50.0,Offensive rebound by M. Bagley,,86,79
3,3:47.0,Turnover by M. Bagley (out of bounds lost ball),,86,79
3,3:29.0,,K. Thompson misses 3-pt jump shot from 26 ft,86,79
3,3:27.0,Defensive rebound by M. Bagley,,86,79
3,3:15.0,Shooting foul by K. Looney (drawn by M. Bagley),,86,79
3,3:15.0,M. Bagley misses free throw 1 of 2,,86,79
3,3:15.0,Offensive rebound by Team,,86,79
3,3:15.0,,J. Jerebko enters the game for K. Thompson,86,79
3,3:15.0,M. Bagley makes free throw 2 of 2,,87,79
