QUARTER,TIME_REMAINING,PHILADELPHIA_ACTION,DENVER_ACTION,PHILADELPHIA_SCORE,DENVER_SCORE
4,8:20.0,,M. Plumlee makes 2-pt dunk from 1 ft,100,116
4,7:58.0,J. Redick misses 3-pt jump shot from 24 ft,,100,116
4,7:55.0,,Defensive rebound by J. Hernangómez,100,116
4,7:49.0,,M. Morris misses 2-pt jump shot from 15 ft,100,116
4,7:46.0,Defensive rebound by B. Simmons,,100,116
4,7:43.0,Shooting foul by T. Lyles (drawn by B. Simmons),,100,116
4,7:43.0,B. Simmons makes free throw 1 of 2,,101,116
4,7:43.0,A. Johnson enters the game for T. McConnell,,101,116
4,7:43.0,S. Milton enters the game for M. Muscala,,101,116
4,7:43.0,L. Shamet enters the game for J. Redick,,101,116
4,7:43.0,,T. Craig enters the game for J. Hernangómez,101,116
4,7:43.0,B. Simmons makes free throw 2 of 2,,102,116
4,7:25.0,,M. Morris misses 2-pt jump shot from 13 ft,102,116
4,7:22.0,Defensive rebound by B. Simmons,,102,116
4,7:14.0,S. Milton makes 2-pt jump shot from 14 ft (assist by C. Brewer),,104,116
4,7:13.0,,Denver full timeout,104,116
4,7:13.0,,G. Harris enters the game for T. Lyles,104,116
4,7:13.0,,N. Jokić enters the game for M. Plumlee,104,116
4,7:02.0,,M. Beasley misses 3-pt jump shot from 24 ft,104,116
4,7:00.0,Defensive rebound by A. Johnson,,104,116
4,6:55.0,Turnover by A. Johnson (traveling),,104,116
4,6:50.0,,M. Beasley misses 2-pt layup from 4 ft,104,116
4,6:50.0,Defensive rebound by Team,,104,116
4,6:31.0,Turnover by A. Johnson (bad pass; steal by N. Jokić),,104,116
4,6:26.0,,M. Beasley makes 2-pt dunk from 1 ft (assist by N. Jokić),104,118
4,6:26.0,,W. Barton enters the game for M. Beasley,104,118
4,6:10.0,L. Shamet misses 2-pt jump shot from 19 ft,,104,118
4,6:08.0,,Defensive rebound by Team,104,118
4,5:48.0,,N. Jokić makes 2-pt layup from 2 ft,104,120
4,5:46.0,Philadelphia full timeout,,104,120
4,5:38.0,C. Brewer misses 3-pt jump shot from 23 ft,,104,120
4,5:35.0,Offensive rebound by B. Simmons,,104,120
4,5:33.0,B. Simmons makes 2-pt hook shot from 3 ft,,106,120
4,5:12.0,,G. Harris misses 3-pt jump shot from 25 ft,106,120
4,5:09.0,Defensive rebound by C. Brewer,,106,120
4,5:04.0,C. Brewer misses 2-pt layup from 3 ft (block by G. Harris),,106,120
4,5:04.0,,Defensive rebound by Team,106,120
4,4:40.0,,N. Jokić misses 2-pt jump shot from 4 ft,106,120
4,4:40.0,Defensive rebound by B. Simmons,,106,120
4,4:40.0,Turnover by B. Simmons (bad pass),,106,120
4,4:22.0,,N. Jokić misses 2-pt hook shot from 6 ft,106,120
4,4:20.0,Defensive rebound by A. Johnson,,106,120
4,4:05.0,L. Shamet misses 3-pt jump shot from 24 ft,,106,120
4,4:02.0,,Defensive rebound by G. Harris,106,120
4,3:39.0,,N. Jokić misses 2-pt jump shot from 3 ft,106,120
4,3:37.0,Defensive rebound by B. Simmons,,106,120
4,3:36.0,Personal foul by N. Jokić (drawn by B. Simmons),,106,120
4,3:36.0,H. Highsmith enters the game for B. Simmons,,106,120
4,3:28.0,S. Milton misses 3-pt jump shot from 23 ft,,106,120
4,3:25.0,Offensive rebound by A. Johnson,,106,120
4,3:24.0,C. Brewer misses 2-pt jump shot from 10 ft,,106,120
4,3:20.0,,Defensive rebound by W. Barton,106,120
4,3:08.0,,N. Jokić misses 2-pt jump shot from 2 ft,106,120
4,3:04.0,,Offensive rebound by N. Jokić,106,120
4,3:04.0,,N. Jokić makes 2-pt layup at rim,106,122
4,2:57.0,Philadelphia full timeout,,106,122
4,2:57.0,F. Korkmaz enters the game for C. Brewer,,106,122
4,2:57.0,,M. Beasley enters the game for W. Barton,106,122
4,2:57.0,,B. Goodwin enters the game for T. Craig,106,122
4,2:57.0,,J. Hernangómez enters the game for G. Harris,106,122
4,2:57.0,,T. Lydon enters the game for N. Jokić,106,122
4,2:57.0,,T. Lyles enters the game for M. Morris,106,122
4,2:57.0,Violation by Team (delay of game),,106,122
4,2:47.0,A. Johnson misses 2-pt hook shot from 7 ft,,106,122
4,2:44.0,,Defensive rebound by T. Lydon,106,122
4,2:33.0,,M. Beasley makes 2-pt layup from 1 ft (assist by T. Lyles),106,124
4,2:09.0,A. Johnson misses 3-pt jump shot from 25 ft,,106,124
4,2:07.0,,Defensive rebound by J. Hernangómez,106,124
4,1:49.0,,T. Lyles misses 2-pt jump shot from 21 ft,106,124
4,1:46.0,Defensive rebound by H. Highsmith,,106,124
4,1:42.0,F. Korkmaz makes 2-pt dunk from 1 ft (assist by H. Highsmith),,108,124
4,1:26.0,,J. Hernangómez misses 2-pt layup from 4 ft,108,124
4,1:25.0,Defensive rebound by F. Korkmaz,,108,124
4,1:11.0,F. Korkmaz misses 3-pt jump shot from 25 ft,,108,124
4,1:09.0,,Defensive rebound by J. Hernangómez,108,124
4,0:49.0,,M. Beasley misses 3-pt jump shot from 25 ft,108,124
4,0:47.0,,Offensive rebound by B. Goodwin,108,124
4,0:46.0,,B. Goodwin makes 2-pt layup from 1 ft,108,126
4,0:24.0,Shooting foul by M. Beasley (drawn by F. Korkmaz),,108,126
4,0:24.0,F. Korkmaz misses free throw 1 of 3,,108,126
4,0:24.0,Offensive rebound by Team,,108,126
4,0:24.0,F. Korkmaz makes free throw 2 of 3,,109,126
4,0:24.0,F. Korkmaz makes free throw 3 of 3,,110,126
4,0:00.0,,Turnover by Team (shot clock),110,126
