QUARTER,TIME_REMAINING,MILWAUKEE_ACTION,MINNESOTA_ACTION,MILWAUKEE_SCORE,MINNESOTA_SCORE
4,7:11.0,T. Maker makes free throw 2 of 2,,106,81
4,7:00.0,,D. Rose makes 2-pt layup at rim (assist by G. Dieng),106,83
4,7:00.0,,Shooting foul by T. Maker (drawn by D. Rose),106,83
4,7:00.0,,D. Rose makes free throw 1 of 1,106,84
4,6:52.0,P. Connaughton makes 2-pt dunk from 1 ft (assist by M. Dellavedova),,108,84
4,6:46.0,,Personal foul by S. Brown (drawn by A. Tolliver),108,84
4,6:46.0,,Minnesota full timeout,108,84
4,6:46.0,D. DiVincenzo enters the game for T. Snell,,108,84
4,6:36.0,,Shooting foul by T. Maker (drawn by G. Dieng),108,84
4,6:36.0,,G. Dieng makes free throw 1 of 2,108,85
4,6:36.0,,G. Dieng makes free throw 2 of 2,108,86
4,6:24.0,M. Dellavedova makes 3-pt jump shot from 27 ft (assist by D. DiVincenzo),,111,86
4,6:11.0,,G. Dieng misses 2-pt layup from 2 ft,111,86
4,6:10.0,Defensive rebound by S. Brown,,111,86
4,6:06.0,M. Dellavedova makes 3-pt jump shot from 25 ft (assist by S. Brown),,114,86
4,5:47.0,,D. Rose misses 2-pt jump shot from 12 ft,114,86
4,5:45.0,,Offensive rebound by G. Dieng,114,86
4,5:43.0,,G. Dieng misses 2-pt jump shot from 3 ft (block by T. Maker),114,86
4,5:43.0,,Offensive rebound by Team,114,86
4,5:43.0,,K. Bates-Diop enters the game for G. Dieng,114,86
4,5:32.0,,T. Jones misses 2-pt layup from 1 ft,114,86
4,5:30.0,Defensive rebound by T. Maker,,114,86
4,5:10.0,P. Connaughton makes 2-pt dunk from 2 ft (assist by D. DiVincenzo),,116,86
4,4:57.0,,L. Deng misses 3-pt jump shot from 24 ft,116,86
4,4:54.0,Defensive rebound by P. Connaughton,,116,86
4,4:43.0,T. Maker misses 3-pt jump shot from 24 ft,,116,86
4,4:41.0,,Defensive rebound by A. Tolliver,116,86
4,4:35.0,,D. Rose misses 2-pt layup from 1 ft,116,86
4,4:34.0,,Offensive rebound by L. Deng,116,86
4,4:32.0,,L. Deng misses 2-pt layup at rim,116,86
4,4:31.0,,Offensive rebound by L. Deng,116,86
4,4:29.0,,A. Tolliver misses 3-pt jump shot from 25 ft,116,86
4,4:27.0,Defensive rebound by P. Connaughton,,116,86
4,4:17.0,P. Connaughton misses 3-pt jump shot from 26 ft,,116,86
4,4:15.0,,Defensive rebound by D. Rose,116,86
4,4:10.0,,K. Bates-Diop misses 2-pt jump shot from 12 ft,116,86
4,4:06.0,Defensive rebound by T. Maker,,116,86
4,3:56.0,D. DiVincenzo misses 3-pt jump shot from 25 ft,,116,86
4,3:52.0,Offensive rebound by S. Brown,,116,86
4,3:52.0,S. Brown misses 2-pt layup from 5 ft (block by L. Deng),,116,86
4,3:52.0,,Defensive rebound by Team,116,86
4,3:52.0,J. Henson enters the game for D. DiVincenzo,,116,86
4,3:52.0,,J. Nunnally enters the game for D. Rose,116,86
4,3:52.0,,C. Williams enters the game for A. Tolliver,116,86
4,3:41.0,,J. Nunnally misses 3-pt jump shot from 26 ft,116,86
4,3:38.0,Defensive rebound by J. Henson,,116,86
4,3:29.0,P. Connaughton misses 3-pt jump shot from 23 ft,,116,86
4,3:26.0,,Defensive rebound by K. Bates-Diop,116,86
4,3:18.0,,J. Nunnally makes 3-pt jump shot from 23 ft (assist by T. Jones),116,89
4,3:00.0,M. Dellavedova misses 2-pt jump shot from 4 ft,,116,89
4,2:58.0,,Defensive rebound by L. Deng,116,89
4,2:45.0,,T. Jones misses 2-pt jump shot from 13 ft,116,89
4,2:42.0,Defensive rebound by P. Connaughton,,116,89
4,2:28.0,J. Henson makes 3-pt jump shot from 27 ft (assist by M. Dellavedova),,119,89
4,2:10.0,,J. Nunnally makes 3-pt jump shot from 26 ft (assist by T. Jones),119,92
4,2:10.0,,Shooting foul by T. Maker (drawn by J. Nunnally),119,92
4,2:10.0,Milwaukee full timeout,,119,92
4,2:10.0,T. Snell enters the game for J. Henson,,119,92
4,2:10.0,,J. Nunnally makes free throw 1 of 1,119,93
4,1:57.0,P. Connaughton misses 2-pt layup from 6 ft,,119,93
4,1:55.0,Offensive rebound by T. Maker,,119,93
4,1:55.0,T. Maker makes 2-pt layup from 1 ft,,121,93
4,1:47.0,,J. Nunnally misses 3-pt jump shot from 25 ft,121,93
4,1:45.0,Defensive rebound by S. Brown,,121,93
4,1:36.0,,Violation by Team (kicked ball),121,93
4,1:29.0,T. Maker makes 2-pt layup from 2 ft (assist by M. Dellavedova),,123,93
4,1:18.0,,L. Deng misses 3-pt jump shot from 26 ft,123,93
4,1:15.0,Defensive rebound by S. Brown,,123,93
4,1:09.0,S. Brown makes 2-pt layup from 5 ft,,125,93
4,1:00.0,,C. Williams misses 3-pt jump shot from 25 ft,125,93
4,0:56.0,Defensive rebound by T. Snell,,125,93
4,0:49.0,Personal foul by C. Williams (drawn by M. Dellavedova),,125,93
4,0:47.0,Turnover by P. Connaughton (bad pass; steal by T. Jones),,125,93
4,0:45.0,,Shooting foul by P. Connaughton (drawn by J. Nunnally),125,93
4,0:45.0,,J. Nunnally makes free throw 1 of 2,125,94
4,0:45.0,,J. Nunnally makes free throw 2 of 2,125,95
4,0:36.0,M. Dellavedova misses 3-pt jump shot from 27 ft,,125,95
4,0:35.0,,Defensive rebound by Team,125,95
4,0:25.0,,L. Deng misses 2-pt layup from 3 ft (block by T. Snell),125,95
4,0:24.0,Defensive rebound by P. Connaughton,,125,95
4,0:00.0,Turnover by Team (shot clock),,125,95
