QUARTER,TIME_REMAINING,ATLANTA_ACTION,WASHINGTON_ACTION,ATLANTA_SCORE,WASHINGTON_SCORE
4,5:03.0,,J. Green makes 3-pt jump shot from 27 ft (assist by B. Beal),94,102
4,5:00.0,Atlanta full timeout,,94,102
4,5:00.0,J. Collins enters the game for A. Len,,94,102
4,5:00.0,J. Lin enters the game for T. Young,,94,102
4,4:40.0,D. Bembry misses 3-pt jump shot from 23 ft,,94,102
4,4:36.0,,Defensive rebound by B. Beal,94,102
4,4:14.0,,J. Green misses 3-pt jump shot from 25 ft,94,102
4,4:11.0,Defensive rebound by D. Bembry,,94,102
4,4:05.0,Personal foul by B. Beal (drawn by D. Bembry),,94,102
4,3:59.0,D. Bembry makes 2-pt layup from 11 ft (assist by J. Collins),,96,102
4,3:43.0,,Offensive foul by T. Bryant (drawn by J. Lin),96,102
4,3:43.0,,Turnover by T. Bryant (offensive foul),96,102
4,3:27.0,D. Bembry misses 2-pt layup from 4 ft (block by T. Bryant),,96,102
4,3:24.0,,Defensive rebound by T. Bryant,96,102
4,3:20.0,,Washington full timeout,96,102
4,3:09.0,,J. Green makes 3-pt jump shot from 23 ft (assist by T. Satoranský),96,105
4,2:51.0,,Violation by Team (kicked ball),96,105
4,2:43.0,J. Lin misses 2-pt jump shot from 13 ft,,96,105
4,2:42.0,,Defensive rebound by J. Green,96,105
4,2:26.0,,T. Satoranský makes 2-pt jump shot from 11 ft (assist by J. Green),96,107
4,2:11.0,D. Bembry misses 2-pt jump shot from 13 ft,,96,107
4,2:08.0,,Defensive rebound by T. Bryant,96,107
4,1:48.0,,B. Beal makes 2-pt jump shot from 20 ft,96,109
4,1:37.0,Turnover by J. Lin (lost ball; steal by B. Beal),,96,109
4,1:35.0,,B. Beal makes 2-pt dunk from 1 ft (assist by T. Satoranský),96,111
4,1:23.0,K. Huerter misses 3-pt jump shot from 29 ft,,96,111
4,1:20.0,Offensive rebound by D. Dedmon,,96,111
4,1:20.0,D. Dedmon makes 2-pt layup from 2 ft,,98,111
4,0:57.0,,T. Ariza misses 3-pt jump shot from 22 ft,98,111
4,0:53.0,Defensive rebound by J. Collins,,98,111
4,0:50.0,Turnover by J. Lin (bad pass; steal by T. Satoranský),,98,111
4,0:48.0,Clear path foul by T. Satoranský,,98,111
4,0:48.0,,T. Satoranský misses clear path free throw 1 of 2,98,111
4,0:48.0,,Offensive rebound by Team,98,111
4,0:48.0,,T. Satoranský makes clear path free throw 2 of 2,98,112
4,0:48.0,J. Anderson enters the game for D. Bembry,,98,112
4,0:48.0,T. Dorsey enters the game for J. Collins,,98,112
4,0:48.0,D. Hamilton enters the game for D. Dedmon,,98,112
4,0:48.0,A. Len enters the game for J. Lin,,98,112
4,0:48.0,,T. Brown enters the game for B. Beal,98,112
4,0:48.0,,S. Dekker enters the game for J. Green,98,112
4,0:48.0,,C. Randle enters the game for T. Satoranský,98,112
4,0:33.0,,C. Randle misses 2-pt layup from 3 ft,98,112
4,0:32.0,,Offensive rebound by C. Randle,98,112
4,0:32.0,,C. Randle makes 2-pt layup from 5 ft,98,114
4,0:23.0,J. Anderson misses 2-pt jump shot from 18 ft,,98,114
4,0:21.0,,Defensive rebound by Team,98,114
