QUARTER,TIME_REMAINING,HOUSTON_ACTION,BOSTON_ACTION,HOUSTON_SCORE,BOSTON_SCORE
4,2:06.0,,J. Tatum misses 2-pt layup from 3 ft (block by P. Tucker),112,104
4,2:04.0,Defensive rebound by J. Harden,,112,104
4,1:44.0,Offensive foul by J. Harden (drawn by J. Brown),,112,104
4,1:44.0,Turnover by J. Harden (offensive foul),,112,104
4,1:44.0,A. Rivers enters the game for J. Harden,,112,104
4,1:33.0,,Turnover by K. Irving (lost ball; steal by E. Gordon),112,104
4,1:10.0,A. Rivers misses 3-pt jump shot from 23 ft,,112,104
4,1:07.0,Offensive rebound by P. Tucker,,112,104
4,0:56.0,Personal foul by J. Brown (drawn by C. Paul),,112,104
4,0:50.0,Personal foul by M. Smart (drawn by E. Gordon),,112,104
4,0:50.0,E. Gordon misses free throw 1 of 2,,112,104
4,0:50.0,Offensive rebound by Team,,112,104
4,0:50.0,,A. Baynes enters the game for J. Tatum,112,104
4,0:50.0,E. Gordon makes free throw 2 of 2,,113,104
4,0:50.0,,Boston full timeout,113,104
4,0:50.0,,J. Tatum enters the game for A. Baynes,113,104
4,0:48.0,,Turnover by M. Smart (bad pass; steal by P. Tucker),113,104
4,0:42.0,Personal take foul by J. Tatum (drawn by C. Paul),,113,104
4,0:42.0,C. Paul makes free throw 1 of 2,,114,104
4,0:42.0,C. Paul misses free throw 2 of 2,,114,104
4,0:41.0,,Defensive rebound by K. Irving,114,104
4,0:36.0,,K. Irving misses 3-pt jump shot from 27 ft,114,104
4,0:33.0,Defensive rebound by P. Tucker,,114,104
4,0:19.0,Personal take foul by M. Smart (drawn by A. Rivers),,114,104
4,0:19.0,A. Rivers misses free throw 1 of 2,,114,104
4,0:19.0,Offensive rebound by Team,,114,104
4,0:19.0,A. Rivers makes free throw 2 of 2,,115,104
