QUARTER,TIME_REMAINING,SAN ANTONIO_ACTION,SACRAMENTO_ACTION,SAN ANTONIO_SCORE,SACRAMENTO_SCORE
4,2:53.0,,B. Hield misses 3-pt jump shot from 25 ft,90,98
4,2:50.0,Defensive rebound by R. Gay,,90,98
4,2:40.0,Turnover by L. Aldridge (lost ball; steal by D. Fox),,90,98
4,2:38.0,,W. Cauley-Stein makes 2-pt dunk from 1 ft (assist by D. Fox),90,100
4,2:27.0,R. Gay misses 3-pt jump shot from 26 ft,,90,100
4,2:23.0,,Defensive rebound by D. Fox,90,100
4,2:20.0,,Turnover by D. Fox (bad pass; steal by P. Mills),90,100
4,2:20.0,Personal foul by D. Fox (drawn by P. Mills),,90,100
4,2:20.0,,B. Bogdanović enters the game for B. Hield,90,100
4,2:08.0,B. Forbes misses 3-pt jump shot from 26 ft,,90,100
4,2:03.0,,Defensive rebound by W. Cauley-Stein,90,100
4,1:47.0,,B. Bogdanović misses 3-pt jump shot from 27 ft,90,100
4,1:45.0,Defensive rebound by Team,,90,100
4,1:45.0,D. Bertāns enters the game for R. Gay,,90,100
4,1:37.0,P. Mills misses 3-pt jump shot from 26 ft,,90,100
4,1:35.0,,Defensive rebound by N. Bjelica,90,100
4,1:14.0,,Turnover by Team (shot clock),90,100
4,1:14.0,C. Metu enters the game for L. Aldridge,,90,100
4,1:06.0,D. Bertāns makes 3-pt jump shot from 27 ft (assist by D. DeRozan),,93,100
4,0:47.0,,B. Bogdanović makes 2-pt jump shot from 21 ft,93,102
4,0:38.0,D. Bertāns makes 3-pt jump shot from 25 ft (assist by D. DeRozan),,96,102
4,0:26.0,,Personal foul by B. Forbes (drawn by D. Fox),96,102
4,0:26.0,Q. Pondexter enters the game for C. Metu,,96,102
4,0:14.0,,D. Fox makes 2-pt jump shot from 17 ft,96,104
4,0:03.0,B. Forbes makes 3-pt jump shot from 26 ft (assist by Q. Pondexter),,99,104
