QUARTER,TIME_REMAINING,BOSTON_ACTION,DENVER_ACTION,BOSTON_SCORE,DENVER_SCORE
4,3:14.0,J. Brown makes 2-pt jump shot from 3 ft,,105,110
4,2:57.0,,Offensive foul by J. Murray (drawn by M. Smart),105,110
4,2:57.0,,Turnover by J. Murray (offensive foul),105,110
4,2:47.0,K. Irving misses 3-pt jump shot from 26 ft,,105,110
4,2:42.0,,Defensive rebound by G. Harris,105,110
4,2:23.0,,J. Murray makes 2-pt layup from 2 ft,105,112
4,2:08.0,M. Smart misses 3-pt jump shot from 25 ft,,105,112
4,2:06.0,,Defensive rebound by N. Jokić,105,112
4,1:48.0,,P. Millsap misses 2-pt dunk from 3 ft (block by M. Smart),105,112
4,1:48.0,,Offensive rebound by P. Millsap,105,112
4,1:48.0,,Denver full timeout,105,112
4,1:43.0,,J. Murray makes 2-pt layup from 1 ft,105,114
4,1:32.0,J. Brown misses 3-pt jump shot from 23 ft,,105,114
4,1:29.0,,Defensive rebound by N. Jokić,105,114
4,1:10.0,,J. Murray misses 3-pt jump shot from 24 ft,105,114
4,1:07.0,Defensive rebound by J. Brown,,105,114
4,0:59.0,J. Brown makes 2-pt layup from 1 ft,,107,114
4,0:45.0,,M. Morris misses 3-pt jump shot from 26 ft,107,114
4,0:42.0,,Offensive rebound by P. Millsap,107,114
4,0:33.0,,Personal foul by K. Irving (drawn by P. Millsap),107,114
4,0:31.0,,Personal take foul by M. Smart (drawn by N. Jokić),107,114
4,0:31.0,,N. Jokić misses free throw 1 of 2,107,114
4,0:31.0,,Offensive rebound by Team,107,114
4,0:31.0,A. Baynes enters the game for K. Irving,,107,114
4,0:31.0,,N. Jokić makes free throw 2 of 2,107,115
4,0:31.0,Boston full timeout,,107,115
4,0:31.0,K. Irving enters the game for A. Baynes,,107,115
4,0:31.0,T. Rozier enters the game for M. Smart,,107,115
4,0:31.0,,M. Plumlee enters the game for N. Jokić,107,115
4,0:28.0,T. Rozier misses 3-pt jump shot from 26 ft,,107,115
4,0:25.0,,Defensive rebound by P. Millsap,107,115
4,0:17.0,,J. Murray misses 2-pt layup from 3 ft,107,115
4,0:14.0,Defensive rebound by K. Irving,,107,115
4,0:10.0,Turnover by K. Irving (out of bounds lost ball),,107,115
4,0:01.0,,J. Murray misses 3-pt jump shot from 30 ft,107,115
4,0:00.0,,Offensive rebound by Team,107,115
