QUARTER,TIME_REMAINING,MINNESOTA_ACTION,LA CLIPPERS_ACTION,MINNESOTA_SCORE,LA CLIPPERS_SCORE
4,4:42.0,Def 3 sec tech foul by Team,,100,107
4,4:42.0,J. Butler misses technical free throw,,100,107
4,4:42.0,Offensive rebound by Team,,100,107
4,4:42.0,,T. Harris enters the game for S. Gilgeous-Alexander,100,107
4,4:32.0,D. Rose misses 3-pt jump shot from 26 ft,,100,107
4,4:29.0,,Defensive rebound by P. Beverley,100,107
4,4:18.0,,Turnover by M. Harrell (bad pass; steal by J. Butler),100,107
4,4:16.0,J. Butler makes 2-pt layup from 3 ft,,102,107
4,4:16.0,Shooting foul by L. Williams (drawn by J. Butler),,102,107
4,4:16.0,J. Butler makes free throw 1 of 1,,103,107
4,4:07.0,,D. Gallinari makes 3-pt jump shot from 28 ft (assist by M. Harrell),103,110
4,3:56.0,Shooting foul by D. Gallinari (drawn by T. Gibson),,103,110
4,3:56.0,T. Gibson makes free throw 1 of 2,,104,110
4,3:56.0,T. Gibson misses free throw 2 of 2,,104,110
4,3:54.0,,Defensive rebound by T. Harris,104,110
4,3:44.0,,L. Williams misses 2-pt layup from 4 ft,104,110
4,3:36.0,,Offensive rebound by M. Harrell,104,110
4,3:36.0,,M. Harrell makes 2-pt dunk at rim,104,112
4,3:22.0,A. Wiggins misses 2-pt jump shot from 14 ft,,104,112
4,3:22.0,,Defensive rebound by Team,104,112
4,3:22.0,Loose ball foul by T. Gibson (drawn by M. Harrell),,104,112
4,3:10.0,,Turnover by L. Williams (bad pass; steal by A. Wiggins),104,112
4,3:03.0,D. Rose makes 2-pt layup from 2 ft,,106,112
4,2:42.0,,Shooting foul by D. Rose (drawn by D. Gallinari),106,112
4,2:42.0,Minnesota full timeout,,106,112
4,2:42.0,,D. Gallinari makes free throw 1 of 2,106,113
4,2:42.0,,D. Gallinari makes free throw 2 of 2,106,114
4,2:33.0,J. Butler makes 2-pt dunk from 2 ft (assist by D. Rose),,108,114
4,2:15.0,,L. Williams makes 2-pt jump shot from 10 ft,108,116
4,1:59.0,Turnover by D. Rose (bad pass; steal by M. Harrell),,108,116
4,1:38.0,,L. Williams misses 3-pt jump shot from 27 ft,108,116
4,1:38.0,Defensive rebound by Team,,108,116
4,1:23.0,J. Butler misses 2-pt layup from 3 ft,,108,116
4,1:22.0,,Defensive rebound by D. Gallinari,108,116
4,1:06.0,,D. Gallinari makes 2-pt dunk from 2 ft (assist by L. Williams),108,118
4,1:06.0,Minnesota full timeout,,108,118
4,1:06.0,A. Tolliver enters the game for T. Gibson,,108,118
4,1:03.0,Shooting foul by P. Beverley (drawn by J. Butler),,108,118
4,1:03.0,J. Butler makes free throw 1 of 2,,109,118
4,1:03.0,T. Gibson enters the game for A. Tolliver,,109,118
4,1:03.0,J. Butler misses free throw 2 of 2,,109,118
4,1:00.0,,Defensive rebound by P. Beverley,109,118
4,0:47.0,,L. Williams misses 2-pt jump shot from 19 ft,109,118
4,0:44.0,Defensive rebound by T. Gibson,,109,118
4,0:40.0,Turnover by A. Wiggins (lost ball; steal by T. Harris),,109,118
4,0:20.0,,Shooting foul by T. Gibson (drawn by D. Gallinari),109,118
4,0:20.0,A. Tolliver enters the game for T. Gibson,,109,118
4,0:20.0,,D. Gallinari makes free throw 1 of 2,109,119
4,0:20.0,,D. Gallinari makes free throw 2 of 2,109,120
4,0:17.0,A. Wiggins misses 3-pt jump shot from 26 ft,,109,120
4,0:15.0,,Defensive rebound by Team,109,120
