QUARTER,TIME_REMAINING,ATLANTA_ACTION,LA CLIPPERS_ACTION,ATLANTA_SCORE,LA CLIPPERS_SCORE
4,6:05.0,T. Prince makes 2-pt jump shot from 15 ft (assist by A. Len),,111,95
4,5:46.0,,T. Harris makes 2-pt jump shot from 6 ft (assist by L. Williams),111,97
4,5:46.0,,Shooting foul by O. Spellman (drawn by T. Harris),111,97
4,5:46.0,,T. Harris makes free throw 1 of 1,111,98
4,5:31.0,O. Spellman makes 3-pt jump shot from 25 ft (assist by K. Huerter),,114,98
4,5:22.0,,Shooting foul by O. Spellman (drawn by L. Williams),114,98
4,5:22.0,,L. Williams makes free throw 1 of 2,114,99
4,5:22.0,,L. Williams makes free throw 2 of 2,114,100
4,5:15.0,Personal foul by A. Bradley (drawn by T. Prince),,114,100
4,5:15.0,T. Prince makes free throw 1 of 2,,115,100
4,5:15.0,J. Collins enters the game for J. Lin,,115,100
4,5:15.0,T. Young enters the game for O. Spellman,,115,100
4,5:15.0,T. Prince makes free throw 2 of 2,,116,100
4,5:02.0,,A. Bradley misses 3-pt jump shot from 25 ft,116,100
4,4:58.0,,Offensive rebound by P. Beverley,116,100
4,4:55.0,,L. Williams misses 3-pt jump shot from 26 ft,116,100
4,4:52.0,,Offensive rebound by P. Beverley,116,100
4,4:50.0,,A. Bradley makes 3-pt jump shot from 26 ft (assist by T. Harris),116,103
4,4:35.0,Offensive foul by J. Collins (drawn by L. Williams),,116,103
4,4:35.0,Turnover by J. Collins (offensive foul),,116,103
4,4:12.0,,T. Harris makes 2-pt jump shot from 5 ft,116,105
4,4:00.0,Turnover by A. Len (off goaltending),,116,105
4,4:00.0,,LA Clippers full timeout,116,105
4,4:00.0,D. Dedmon enters the game for A. Len,,116,105
4,3:51.0,,T. Harris makes 3-pt jump shot from 26 ft (assist by L. Williams),116,108
4,3:34.0,T. Young misses 3-pt jump shot from 26 ft,,116,108
4,3:30.0,Offensive rebound by K. Huerter,,116,108
4,3:26.0,K. Huerter misses 3-pt jump shot from 26 ft,,116,108
4,3:23.0,Offensive rebound by D. Dedmon,,116,108
4,3:18.0,Atlanta full timeout,,116,108
4,3:18.0,D. Bembry enters the game for K. Huerter,,116,108
4,3:10.0,T. Young makes 2-pt jump shot from 3 ft,,118,108
4,2:52.0,,T. Harris makes 2-pt layup from 2 ft,118,110
4,2:49.0,Turnover by J. Collins (inbound),,118,110
4,2:38.0,,A. Bradley misses 3-pt jump shot from 26 ft (block by D. Bembry),118,110
4,2:35.0,Defensive rebound by T. Young,,118,110
4,2:22.0,D. Dedmon misses 3-pt jump shot from 25 ft,,118,110
4,2:18.0,,Defensive rebound by P. Beverley,118,110
4,2:18.0,,Personal foul by D. Dedmon (drawn by P. Beverley),118,110
4,2:18.0,,P. Beverley makes free throw 1 of 2,118,111
4,2:18.0,,P. Beverley makes free throw 2 of 2,118,112
4,1:57.0,J. Collins misses 2-pt layup from 2 ft (block by T. Harris),,118,112
4,1:54.0,,Defensive rebound by L. Williams,118,112
4,1:52.0,,M. Harrell misses 2-pt layup from 1 ft (block by T. Prince),118,112
4,1:48.0,Defensive rebound by D. Dedmon,,118,112
4,1:30.0,T. Young misses 3-pt jump shot from 29 ft,,118,112
4,1:27.0,Offensive rebound by D. Dedmon,,118,112
4,1:18.0,D. Dedmon makes 2-pt dunk from 1 ft (assist by T. Young),,120,112
4,1:18.0,,LA Clippers full timeout,120,112
4,1:11.0,,M. Harrell makes 2-pt dunk from 2 ft (assist by L. Williams),120,114
4,0:54.0,T. Young makes 3-pt jump shot from 31 ft,,123,114
4,0:48.0,,Shooting foul by J. Collins (drawn by L. Williams),123,114
4,0:48.0,,L. Williams makes free throw 1 of 2,123,115
4,0:48.0,,L. Williams makes free throw 2 of 2,123,116
4,0:41.0,Atlanta full timeout,,123,116
4,0:41.0,,S. Thornwell enters the game for L. Williams,123,116
4,0:34.0,Turnover by D. Bembry (bad pass),,123,116
4,0:34.0,,L. Williams enters the game for S. Thornwell,123,116
4,0:28.0,,Shooting foul by T. Prince (drawn by P. Beverley),123,116
4,0:28.0,,P. Beverley makes free throw 1 of 2,123,117
4,0:28.0,V. Carter enters the game for D. Bembry,,123,117
4,0:28.0,,S. Thornwell enters the game for L. Williams,123,117
4,0:28.0,,P. Beverley makes free throw 2 of 2,123,118
4,0:21.0,Personal take foul by M. Harrell (drawn by T. Prince),,123,118
4,0:21.0,T. Prince misses free throw 1 of 2,,123,118
4,0:21.0,Offensive rebound by Team,,123,118
4,0:21.0,D. Bembry enters the game for V. Carter,,123,118
4,0:21.0,T. Prince misses free throw 2 of 2,,123,118
4,0:17.0,Offensive rebound by D. Dedmon,,123,118
4,0:04.0,Turnover by Team (shot clock),,123,118
