QUARTER,TIME_REMAINING,PHOENIX_ACTION,TORONTO_ACTION,PHOENIX_SCORE,TORONTO_SCORE
4,6:20.0,Offensive rebound by K. Oubre,,91,95
4,6:20.0,Shooting foul by P. Siakam (drawn by K. Oubre),,91,95
4,6:20.0,K. Oubre makes free throw 1 of 2,,92,95
4,6:20.0,K. Oubre makes free throw 2 of 2,,93,95
4,6:10.0,,C. Miles misses 3-pt jump shot from 26 ft,93,95
4,6:06.0,Defensive rebound by T. Warren,,93,95
4,5:56.0,T. Warren misses 3-pt jump shot from 29 ft,,93,95
4,5:52.0,,Defensive rebound by S. Ibaka,93,95
4,5:44.0,,S. Ibaka makes 2-pt jump shot from 17 ft (assist by K. Lowry),93,97
4,5:29.0,M. Bridges makes 2-pt jump shot from 13 ft (assist by K. Oubre),,95,97
4,5:15.0,,S. Ibaka makes 2-pt dunk at rim (assist by K. Lowry),95,99
4,4:56.0,Turnover by D. Booker (bad pass; steal by C. Miles),,95,99
4,4:50.0,,Personal foul by M. Bridges (drawn by K. Lowry),95,99
4,4:50.0,,D. Green enters the game for C. Miles,95,99
4,4:50.0,,F. VanVleet enters the game for N. Powell,95,99
4,4:37.0,,K. Lowry misses 3-pt jump shot from 25 ft,95,99
4,4:35.0,Defensive rebound by D. Booker,,95,99
4,4:31.0,M. Bridges makes 2-pt layup from 2 ft (assist by D. Booker),,97,99
4,4:10.0,,S. Ibaka makes 2-pt jump shot from 19 ft (assist by K. Lowry),97,101
4,3:56.0,D. Booker makes 3-pt jump shot from 26 ft,,100,101
4,3:36.0,,Shooting foul by D. Booker (drawn by D. Green),100,101
4,3:36.0,,D. Green makes free throw 1 of 3,100,102
4,3:36.0,,D. Green misses free throw 2 of 3,100,102
4,3:36.0,,Offensive rebound by Team,100,102
4,3:36.0,,D. Green makes free throw 3 of 3,100,103
4,3:32.0,Phoenix full timeout,,100,103
4,3:30.0,D. Booker misses 3-pt jump shot from 27 ft,,100,103
4,3:27.0,,Defensive rebound by K. Lowry,100,103
4,3:23.0,,D. Green misses 3-pt jump shot from 24 ft,100,103
4,3:20.0,Defensive rebound by K. Oubre,,100,103
4,3:07.0,Shooting foul by S. Ibaka (drawn by K. Oubre),,100,103
4,3:07.0,K. Oubre makes free throw 1 of 2,,101,103
4,3:07.0,K. Oubre makes free throw 2 of 2,,102,103
4,2:51.0,,P. Siakam misses 2-pt jump shot from 4 ft (block by T. Warren),102,103
4,2:48.0,Defensive rebound by D. Ayton,,102,103
4,2:46.0,M. Bridges makes 2-pt jump shot from 20 ft (assist by D. Booker),,104,103
4,2:29.0,,F. VanVleet makes 2-pt layup from 1 ft,104,105
4,2:10.0,T. Warren misses 2-pt jump shot from 2 ft (block by F. VanVleet),,104,105
4,2:10.0,Offensive rebound by T. Warren,,104,105
4,2:07.0,D. Booker makes 3-pt jump shot from 26 ft (assist by M. Bridges),,107,105
4,1:48.0,,S. Ibaka misses 2-pt jump shot from 4 ft,107,105
4,1:46.0,Defensive rebound by D. Ayton,,107,105
4,1:35.0,T. Warren misses 3-pt jump shot from 27 ft,,107,105
4,1:32.0,,Defensive rebound by K. Lowry,107,105
4,1:16.0,,Shooting foul by K. Oubre (drawn by P. Siakam),107,105
4,1:16.0,,P. Siakam makes free throw 1 of 2,107,106
4,1:16.0,,P. Siakam makes free throw 2 of 2,107,107
4,0:55.0,Turnover by T. Warren (lost ball; steal by K. Lowry),,107,107
4,0:47.0,,S. Ibaka makes 2-pt hook shot from 4 ft (assist by F. VanVleet),107,109
4,0:47.0,Phoenix full timeout,,107,109
4,0:36.0,K. Oubre misses 3-pt jump shot from 23 ft,,107,109
4,0:33.0,,Defensive rebound by K. Lowry,107,109
4,0:15.0,,K. Lowry misses 2-pt jump shot from 20 ft,107,109
4,0:13.0,Defensive rebound by Team,,107,109
4,0:13.0,,Loose ball foul by S. Ibaka (drawn by M. Bridges),107,109
4,0:13.0,M. Bridges makes free throw 1 of 2,,108,109
4,0:13.0,,G. Monroe enters the game for F. VanVleet,108,109
4,0:13.0,M. Bridges makes free throw 2 of 2,,109,109
4,0:13.0,,Toronto full timeout,109,109
4,0:13.0,,F. VanVleet enters the game for G. Monroe,109,109
4,0:00.0,,P. Siakam makes 2-pt layup from 2 ft,109,111
