QUARTER,TIME_REMAINING,UTAH_ACTION,WASHINGTON_ACTION,UTAH_SCORE,WASHINGTON_SCORE
4,1:37.0,,Personal foul by R. Neto (drawn by S. Dekker),113,92
4,1:37.0,,Offensive rebound by Team,113,92
4,1:37.0,,S. Dekker misses free throw 1 of 2,113,92
4,1:37.0,,S. Dekker makes free throw 2 of 2,113,93
4,1:26.0,Turnover by E. Udoh (bad pass; steal by T. Brown),,113,93
4,1:20.0,,C. Randle misses 3-pt jump shot from 27 ft,113,93
4,1:15.0,Defensive rebound by R. O'Neale,,113,93
4,1:12.0,G. Niang makes 2-pt layup from 9 ft,,115,93
4,1:12.0,Shooting foul by C. Randle (drawn by G. Niang),,115,93
4,1:12.0,G. Niang makes free throw 1 of 1,,116,93
4,0:57.0,,S. Dekker misses 2-pt layup from 4 ft (block by E. Udoh),116,93
4,0:53.0,Defensive rebound by T. Sefolosha,,116,93
4,0:50.0,R. Neto misses 3-pt jump shot from 24 ft,,116,93
4,0:45.0,,Defensive rebound by T. Brown,116,93
4,0:37.0,,J. McRae makes 2-pt layup from 2 ft,116,95
4,0:16.0,T. Sefolosha misses 2-pt layup from 2 ft,,116,95
4,0:10.0,,Defensive rebound by I. Mahinmi,116,95
4,0:07.0,,S. Dekker misses 3-pt jump shot from 27 ft,116,95
4,0:02.0,Defensive rebound by R. O'Neale,,116,95
