QUARTER,TIME_REMAINING,NEW YORK_ACTION,CLEVELAND_ACTION,NEW YORK_SCORE,CLEVELAND_SCORE
4,4:23.0,,C. Sexton makes 3-pt jump shot from 22 ft (assist by J. Clarkson),95,102
4,4:04.0,Shooting foul by C. Sexton (drawn by K. Allen),,95,102
4,4:04.0,K. Allen makes free throw 1 of 3,,96,102
4,4:04.0,K. Allen makes free throw 2 of 3,,97,102
4,4:04.0,K. Allen makes free throw 3 of 3,,98,102
4,3:47.0,,D. Nwaba misses 2-pt layup from 3 ft (block by L. Kornet),98,102
4,3:43.0,Defensive rebound by K. Knox,,98,102
4,3:34.0,K. Knox misses 3-pt jump shot from 25 ft,,98,102
4,3:31.0,,Defensive rebound by J. Clarkson,98,102
4,3:24.0,,J. Clarkson makes 3-pt jump shot from 28 ft,98,105
4,3:24.0,New York full timeout,,98,105
4,3:24.0,,Cleveland full timeout,98,105
4,3:03.0,K. Allen misses 2-pt jump shot from 12 ft (block by L. Nance),,98,105
4,3:02.0,,Defensive rebound by M. Dellavedova,98,105
4,3:02.0,,Personal foul by M. Robinson (drawn by M. Dellavedova),98,105
4,2:50.0,,J. Clarkson misses 3-pt jump shot from 25 ft,98,105
4,2:46.0,Defensive rebound by M. Robinson,,98,105
4,2:37.0,M. Robinson misses 2-pt dunk from 1 ft,,98,105
4,2:32.0,,Defensive rebound by J. Clarkson,98,105
4,2:26.0,,M. Dellavedova misses 3-pt jump shot from 27 ft,98,105
4,2:21.0,Defensive rebound by K. Allen,,98,105
4,2:17.0,L. Kornet makes 3-pt jump shot from 33 ft (assist by K. Allen),,101,105
4,1:50.0,,Turnover by L. Nance (lost ball; steal by M. Robinson),101,105
4,1:43.0,K. Allen misses 3-pt jump shot from 25 ft,,101,105
4,1:39.0,,Defensive rebound by J. Clarkson,101,105
4,1:23.0,,M. Dellavedova misses 2-pt jump shot from 12 ft,101,105
4,1:21.0,Defensive rebound by K. Knox,,101,105
4,1:11.0,Turnover by K. Knox (lost ball; steal by D. Nwaba),,101,105
4,0:58.0,,Turnover by J. Clarkson (lost ball; steal by D. Smith),101,105
4,0:58.0,New York full timeout,,101,105
4,0:52.0,L. Kornet makes 3-pt jump shot from 28 ft (assist by K. Allen),,104,105
4,0:36.0,,M. Dellavedova misses 3-pt jump shot from 25 ft,104,105
4,0:34.0,Defensive rebound by L. Kornet,,104,105
4,0:21.0,L. Kornet misses 3-pt jump shot from 26 ft,,104,105
4,0:17.0,,Defensive rebound by J. Clarkson,104,105
4,0:17.0,,Personal foul by L. Kornet (drawn by J. Clarkson),104,105
4,0:17.0,A. Trier enters the game for L. Kornet,,104,105
4,0:17.0,,Personal foul by K. Allen (drawn by C. Sexton),104,105
4,0:17.0,,C. Sexton makes free throw 1 of 2,104,106
4,0:17.0,,C. Sexton makes free throw 2 of 2,104,107
4,0:17.0,L. Kornet enters the game for A. Trier,,104,107
4,0:17.0,New York full timeout,,104,107
4,0:17.0,J. Jenkins enters the game for K. Allen,,104,107
4,0:07.0,J. Jenkins misses 3-pt jump shot from 23 ft,,104,107
4,0:02.0,Offensive rebound by D. Smith,,104,107
4,0:00.0,D. Smith misses 3-pt jump shot from 24 ft,,104,107
4,0:00.0,Offensive rebound by Team,,104,107
