QUARTER,TIME_REMAINING,MEMPHIS_ACTION,DALLAS_ACTION,MEMPHIS_SCORE,DALLAS_SCORE
4,5:20.0,J. Carter makes 3-pt jump shot from 24 ft,,114,97
4,5:18.0,,Dallas full timeout,114,97
4,5:18.0,,J. Jackson enters the game for C. Lee,114,97
4,5:00.0,,D. Nowitzki misses 3-pt jump shot from 24 ft,114,97
4,4:58.0,Defensive rebound by T. Dorsey,,114,97
4,4:42.0,T. Dorsey misses 2-pt layup from 6 ft (block by D. Harris),,114,97
4,4:42.0,Offensive rebound by Team,,114,97
4,4:42.0,D. Wright enters the game for T. Dorsey,,114,97
4,4:37.0,D. Wright misses 2-pt jump shot from 15 ft,,114,97
4,4:32.0,,Defensive rebound by R. Broekhoff,114,97
4,4:20.0,,R. Broekhoff makes 2-pt layup from 2 ft,114,99
4,4:20.0,,Shooting foul by I. Rabb (drawn by R. Broekhoff),114,99
4,4:20.0,J. Holiday enters the game for Y. Watanabe,,114,99
4,4:20.0,,M. Kleber enters the game for D. Nowitzki,114,99
4,4:20.0,,R. Broekhoff misses free throw 1 of 1,114,99
4,4:18.0,,Offensive rebound by Team,114,99
4,4:04.0,,D. Macon misses 3-pt jump shot from 26 ft,114,99
4,4:00.0,Defensive rebound by J. Carter,,114,99
4,3:53.0,J. Holiday misses 3-pt jump shot from 25 ft,,114,99
4,3:50.0,,Defensive rebound by D. Macon,114,99
4,3:34.0,,R. Broekhoff makes 2-pt layup from 1 ft (assist by M. Kleber),114,101
4,3:15.0,B. Caboclo makes 3-pt jump shot from 23 ft (assist by D. Wright),,117,101
4,2:57.0,,D. Macon misses 3-pt jump shot from 25 ft,117,101
4,2:55.0,,Offensive rebound by D. Macon,117,101
4,2:49.0,,J. Jackson misses 3-pt jump shot from 23 ft,117,101
4,2:46.0,,Offensive rebound by M. Kleber,117,101
4,2:44.0,,D. Harris misses 3-pt jump shot from 26 ft,117,101
4,2:41.0,,Offensive rebound by J. Jackson,117,101
4,2:38.0,,J. Jackson makes 2-pt layup from 1 ft,117,103
4,2:23.0,J. Carter misses 3-pt jump shot from 23 ft,,117,103
4,2:22.0,,Defensive rebound by Team,117,103
4,2:22.0,Memphis full timeout,,117,103
4,2:22.0,,T. Burke enters the game for D. Harris,117,103
4,2:08.0,,J. Jackson makes 3-pt jump shot from 25 ft (assist by T. Burke),117,106
4,1:46.0,J. Carter misses 2-pt jump shot from 10 ft,,117,106
4,1:44.0,Offensive rebound by Team,,117,106
4,1:44.0,Turnover by J. Carter (traveling),,117,106
4,1:33.0,,T. Burke misses 3-pt jump shot from 24 ft,117,106
4,1:28.0,Defensive rebound by J. Carter,,117,106
4,1:14.0,J. Carter makes 3-pt jump shot from 25 ft (assist by B. Caboclo),,120,106
4,1:04.0,,D. Macon makes 3-pt jump shot from 25 ft,120,109
4,0:51.0,Offensive foul by B. Caboclo (drawn by J. Jackson),,120,109
4,0:51.0,Turnover by B. Caboclo (offensive foul),,120,109
4,0:41.0,,M. Kleber misses 3-pt jump shot from 25 ft,120,109
4,0:38.0,Defensive rebound by D. Wright,,120,109
4,0:33.0,J. Holiday makes 2-pt layup from 2 ft (assist by D. Wright),,122,109
4,0:14.0,,D. Macon makes 3-pt jump shot from 25 ft,122,112
