QUARTER,TIME_REMAINING,LA LAKERS_ACTION,SAN ANTONIO_ACTION,LA LAKERS_SCORE,SAN ANTONIO_SCORE
4,5:12.0,,Personal foul by J. Williams (drawn by L. Aldridge),96,100
4,5:12.0,L. James enters the game for J. Williams,,96,100
4,5:01.0,,D. DeRozan makes 2-pt jump shot from 14 ft (assist by R. Gay),96,102
4,4:36.0,L. James misses 3-pt jump shot from 24 ft,,96,102
4,4:34.0,,Defensive rebound by Team,96,102
4,4:34.0,Loose ball foul by K. Kuzma (drawn by L. Aldridge),,96,102
4,4:24.0,,Offensive foul by D. DeRozan (drawn by J. Hart),96,102
4,4:24.0,,Turnover by D. DeRozan (offensive foul),96,102
4,4:24.0,LA Lakers full timeout,,96,102
4,4:24.0,,M. Belinelli enters the game for P. Gasol,96,102
4,4:06.0,R. Rondo misses 2-pt layup from 1 ft (block by L. Aldridge),,96,102
4,4:06.0,,Defensive rebound by Team,96,102
4,4:06.0,,P. Mills enters the game for M. Belinelli,96,102
4,3:55.0,,D. DeRozan misses 2-pt jump shot from 19 ft,96,102
4,3:51.0,Defensive rebound by R. Rondo,,96,102
4,3:48.0,K. Kuzma misses 2-pt layup from 1 ft,,96,102
4,3:45.0,,Defensive rebound by D. DeRozan,96,102
4,3:36.0,,R. Gay misses 3-pt jump shot from 26 ft,96,102
4,3:32.0,Defensive rebound by J. Hart,,96,102
4,3:27.0,L. James makes 2-pt dunk from 1 ft (assist by R. Rondo),,98,102
4,3:27.0,,San Antonio full timeout,98,102
4,3:27.0,J. McGee enters the game for L. Ball,,98,102
4,3:09.0,,B. Forbes misses 2-pt jump shot from 12 ft,98,102
4,3:07.0,Defensive rebound by L. James,,98,102
4,3:03.0,J. Hart misses 2-pt layup from 2 ft (block by D. DeRozan),,98,102
4,3:03.0,,Defensive rebound by L. Aldridge,98,102
4,2:45.0,,L. Aldridge makes 2-pt jump shot from 18 ft (assist by D. DeRozan),98,104
4,2:25.0,J. Hart misses 3-pt jump shot from 24 ft,,98,104
4,2:23.0,,Defensive rebound by B. Forbes,98,104
4,2:06.0,,D. DeRozan misses 2-pt jump shot from 16 ft,98,104
4,2:05.0,,Offensive rebound by L. Aldridge,98,104
4,2:05.0,,L. Aldridge misses 2-pt layup from 1 ft,98,104
4,2:05.0,Defensive rebound by L. James,,98,104
4,1:54.0,Turnover by J. McGee (step out of bounds),,98,104
4,1:34.0,,R. Gay makes 2-pt jump shot from 11 ft,98,106
4,1:34.0,LA Lakers full timeout,,98,106
4,1:34.0,L. Ball enters the game for J. McGee,,98,106
4,1:31.0,L. James makes 2-pt layup from 1 ft (assist by R. Rondo),,100,106
4,1:11.0,,D. DeRozan misses 2-pt jump shot from 15 ft,100,106
4,1:09.0,Defensive rebound by R. Rondo,,100,106
4,1:05.0,Shooting foul by D. DeRozan (drawn by L. James),,100,106
4,1:05.0,L. James makes free throw 1 of 2,,101,106
4,1:05.0,L. James makes free throw 2 of 2,,102,106
4,0:45.0,,L. Aldridge misses 2-pt jump shot from 14 ft,102,106
4,0:42.0,Defensive rebound by L. Ball,,102,106
4,0:37.0,J. Hart makes 3-pt jump shot from 26 ft (assist by L. James),,105,106
4,0:15.0,,D. DeRozan makes 2-pt jump shot from 16 ft,105,108
4,0:15.0,LA Lakers full timeout,,105,108
4,0:15.0,,D. Cunningham enters the game for L. Aldridge,105,108
4,0:05.0,L. James misses 3-pt jump shot from 31 ft,,105,108
4,0:03.0,Offensive rebound by Team,,105,108
4,0:03.0,,Loose ball foul by D. DeRozan (drawn by J. Hart),105,108
4,0:03.0,J. Hart makes free throw 1 of 2,,106,108
4,0:03.0,J. McGee enters the game for K. Kuzma,,106,108
4,0:03.0,,L. Aldridge enters the game for D. Cunningham,106,108
4,0:03.0,,P. Gasol enters the game for R. Gay,106,108
4,0:03.0,J. Hart misses free throw 2 of 2,,106,108
4,0:02.0,,Defensive rebound by P. Gasol,106,108
4,0:02.0,,Personal foul by R. Rondo (drawn by P. Gasol),106,108
4,0:02.0,,P. Gasol makes free throw 1 of 2,106,109
4,0:02.0,,D. Cunningham enters the game for L. Aldridge,106,109
4,0:02.0,,P. Gasol makes free throw 2 of 2,106,110
4,0:00.0,Turnover by R. Rondo (bad pass; steal by D. Cunningham),,106,110
