QUARTER,TIME_REMAINING,BROOKLYN_ACTION,MEMPHIS_ACTION,BROOKLYN_SCORE,MEMPHIS_SCORE
2,2:26.0,Defensive rebound by J. Allen,,37,42
2,2:06.0,J. Harris misses 2-pt layup from 2 ft (block by J. Jackson),,37,42
2,2:06.0,Offensive rebound by Team,,37,42
2,2:06.0,S. Napier enters the game for R. Kurucs,,37,42
2,2:04.0,D. Russell makes 3-pt jump shot from 24 ft (assist by J. Harris),,40,42
2,1:50.0,,Def 3 sec tech foul by Team,40,42
2,1:50.0,,M. Conley makes technical free throw,40,43
2,1:42.0,,J. Jackson misses 3-pt jump shot from 26 ft,40,43
2,1:39.0,Defensive rebound by J. Allen,,40,43
2,1:34.0,D. Russell makes 2-pt layup from 1 ft,,42,43
2,1:07.0,,M. Gasol makes 2-pt jump shot from 16 ft,42,45
2,0:56.0,D. Russell makes 2-pt jump shot from 20 ft,,44,45
2,0:45.0,,Turnover by M. Conley (bad pass; steal by J. Harris),44,45
2,0:41.0,J. Harris misses 2-pt layup from 4 ft,,44,45
2,0:40.0,Offensive rebound by J. Harris,,44,45
2,0:40.0,J. Harris makes 2-pt layup at rim,,46,45
2,0:31.0,,Turnover by M. Conley (out of bounds lost ball),46,45
2,0:31.0,,J. Green enters the game for J. Jackson,46,45
2,0:25.0,D. Russell makes 2-pt jump shot from 4 ft,,48,45
2,0:06.0,,M. Conley makes 2-pt jump shot from 9 ft,48,47
2,0:02.0,Turnover by S. Napier (out of bounds lost ball),,48,47
2,0:00.0,,K. Anderson misses 3-pt jump shot from 38 ft,48,47
2,0:00.0,,Offensive rebound by Team,48,47
3,11:51.0,J. Harris makes 2-pt layup from 1 ft (assist by D. Russell),,50,47
3,11:33.0,,Turnover by K. Anderson (bad pass; steal by J. Allen),50,47
3,11:24.0,J. Allen makes 2-pt dunk at rim (assist by J. Harris),,52,47
3,11:11.0,,K. Anderson makes 2-pt jump shot from 1 ft,52,49
3,11:01.0,D. Russell misses 2-pt jump shot from 2 ft,,52,49
3,10:57.0,Offensive rebound by J. Allen,,52,49
3,10:57.0,J. Allen makes 2-pt dunk from 1 ft,,54,49
3,10:45.0,,J. Jackson misses 2-pt hook shot from 3 ft,54,49
3,10:43.0,,Offensive rebound by J. Jackson,54,49
3,10:41.0,,Turnover by J. Jackson (lost ball; steal by R. Kurucs),54,49
3,10:37.0,R. Kurucs misses 3-pt jump shot from 26 ft (block by M. Gasol),,54,49
3,10:28.0,,Defensive rebound by K. Anderson,54,49
3,10:27.0,,J. Jackson makes 2-pt dunk from 2 ft (assist by K. Anderson),54,51
3,10:08.0,R. Kurucs makes 2-pt layup at rim (assist by D. Russell),,56,51
3,9:56.0,,Away from play foul by J. Harris (drawn by M. Gasol),56,51
3,9:56.0,,M. Conley makes free throw 1 of 1,56,52
3,9:49.0,,G. Temple makes 2-pt jump shot from 15 ft (assist by M. Gasol),56,54
3,9:35.0,Personal foul by G. Temple (drawn by J. Allen),,56,54
3,9:29.0,R. Kurucs makes 2-pt dunk at rim,,58,54
3,9:29.0,Shooting foul by J. Jackson (drawn by R. Kurucs),,58,54
3,9:29.0,Technical foul by R. Kurucs,,58,54
3,9:29.0,,M. Conley makes technical free throw,58,55
3,9:29.0,,J. Green enters the game for J. Jackson,58,55
3,9:29.0,R. Kurucs makes free throw 1 of 1,,59,55
3,9:20.0,,M. Conley makes 2-pt layup from 1 ft,59,57
3,9:08.0,Turnover by D. Russell (bad pass; steal by J. Green),,59,57
3,9:00.0,,K. Anderson misses 3-pt jump shot from 23 ft,59,57
3,8:55.0,Defensive rebound by J. Harris,,59,57
3,8:49.0,Offensive foul by J. Dudley (drawn by K. Anderson),,59,57
3,8:49.0,Turnover by J. Dudley (offensive foul),,59,57
3,8:36.0,,M. Conley makes 3-pt jump shot from 25 ft (assist by M. Gasol),59,60
3,8:34.0,Brooklyn full timeout,,59,60
3,8:20.0,D. Russell misses 2-pt jump shot from 17 ft,,59,60
3,8:17.0,Offensive rebound by J. Allen,,59,60
3,8:08.0,Personal foul by M. Gasol (drawn by D. Russell),,59,60
3,8:08.0,S. Dinwiddie enters the game for R. Kurucs,,59,60
3,8:02.0,J. Allen makes 2-pt dunk from 1 ft (assist by D. Russell),,61,60
3,7:39.0,,Turnover by J. Green (bad pass; steal by D. Russell),61,60
3,7:32.0,J. Dudley misses 3-pt jump shot from 26 ft,,61,60
3,7:28.0,,Defensive rebound by K. Anderson,61,60
3,7:18.0,,M. Conley makes 3-pt jump shot from 25 ft (assist by M. Gasol),61,63
3,7:08.0,D. Russell misses 2-pt jump shot from 21 ft,,61,63
3,7:08.0,,Defensive rebound by G. Temple,61,63
3,6:49.0,,Turnover by K. Anderson (lost ball; steal by J. Dudley),61,63
3,6:40.0,J. Harris makes 3-pt jump shot from 22 ft (assist by D. Russell),,64,63
3,6:38.0,,Memphis full timeout,64,63
3,6:38.0,D. Carroll enters the game for J. Dudley,,64,63
3,6:38.0,S. Napier enters the game for D. Russell,,64,63
3,6:38.0,,D. Brooks enters the game for K. Anderson,64,63
3,6:20.0,,D. Brooks misses 2-pt jump shot from 13 ft,64,63
3,6:17.0,Defensive rebound by D. Carroll,,64,63
3,6:02.0,Turnover by S. Dinwiddie (bad pass; steal by M. Conley),,64,63
3,5:57.0,,D. Brooks misses 2-pt layup from 3 ft (block by J. Allen),64,63
3,5:57.0,,Offensive rebound by Team,64,63
3,5:55.0,,Personal foul by J. Harris (drawn by D. Brooks),64,63
3,5:48.0,,M. Gasol misses 2-pt jump shot from 17 ft,64,63
3,5:45.0,Defensive rebound by S. Dinwiddie,,64,63
3,5:39.0,Shooting foul by D. Brooks (drawn by S. Dinwiddie),,64,63
3,5:39.0,S. Dinwiddie makes free throw 1 of 2,,65,63
3,5:39.0,S. Dinwiddie makes free throw 2 of 2,,66,63
3,5:17.0,,M. Gasol makes 2-pt hook shot from 6 ft,66,65
3,5:09.0,Personal foul by G. Temple (drawn by S. Napier),,66,65
3,5:09.0,S. Napier makes free throw 1 of 2,,67,65
3,5:09.0,E. Davis enters the game for J. Allen,,67,65
3,5:09.0,S. Napier makes free throw 2 of 2,,68,65
3,4:53.0,,Offensive foul by M. Gasol (drawn by E. Davis),68,65
3,4:53.0,,Turnover by M. Gasol (offensive foul),68,65
3,4:39.0,D. Carroll makes 2-pt jump shot from 4 ft (assist by S. Dinwiddie),,70,65
3,4:39.0,Shooting foul by J. Green (drawn by D. Carroll),,70,65
3,4:39.0,,K. Anderson enters the game for M. Gasol,70,65
3,4:39.0,D. Carroll makes free throw 1 of 1,,71,65
3,4:22.0,,Shooting foul by D. Carroll (drawn by M. Conley),71,65
3,4:22.0,,M. Conley makes free throw 1 of 2,71,66
3,4:22.0,,M. Conley makes free throw 2 of 2,71,67
3,4:04.0,S. Napier misses 3-pt jump shot from 26 ft,,71,67
3,4:01.0,,Defensive rebound by J. Green,71,67
3,4:00.0,,Turnover by J. Green (bad pass; steal by E. Davis),71,67
3,3:53.0,Turnover by E. Davis (lost ball; steal by M. Conley),,71,67
3,3:51.0,,G. Temple misses 2-pt layup from 1 ft,71,67
3,3:51.0,,Offensive rebound by G. Temple,71,67
3,3:51.0,,G. Temple makes 2-pt layup from 1 ft,71,69
3,3:51.0,,Shooting foul by J. Harris (drawn by G. Temple),71,69
3,3:51.0,,G. Temple misses free throw 1 of 1,71,69
3,3:49.0,Defensive rebound by E. Davis,,71,69
3,3:40.0,Personal foul by K. Anderson (drawn by S. Napier),,71,69
3,3:40.0,S. Napier makes free throw 1 of 2,,72,69
3,3:40.0,S. Napier makes free throw 2 of 2,,73,69
3,3:24.0,,J. Green makes 2-pt layup at rim (assist by K. Anderson),73,71
3,3:14.0,S. Dinwiddie misses 2-pt layup from 3 ft (block by J. Green),,73,71
3,3:11.0,Offensive rebound by E. Davis,,73,71
3,3:10.0,Turnover by E. Davis (bad pass),,73,71
3,3:03.0,,J. Green makes 2-pt jump shot from 21 ft (assist by M. Conley),73,73
3,2:42.0,S. Napier makes 3-pt jump shot from 23 ft (assist by D. Carroll),,76,73
3,2:30.0,Violation by Team (kicked ball),,76,73
3,2:30.0,D. Russell enters the game for J. Harris,,76,73
3,2:30.0,,J. Carter enters the game for M. Conley,76,73
3,2:15.0,,D. Brooks misses 3-pt jump shot from 26 ft,76,73
3,2:15.0,,Offensive rebound by Team,76,73
3,2:15.0,,Turnover by Team (shot clock),76,73
3,2:15.0,,Technical foul by J. Green,76,73
3,2:15.0,Technical foul by D. Carroll,,76,73
3,2:08.0,Personal foul by D. Brooks (drawn by S. Dinwiddie),,76,73
3,2:08.0,S. Dinwiddie makes free throw 1 of 2,,77,73
3,2:08.0,S. Dinwiddie makes free throw 2 of 2,,78,73
3,1:52.0,,J. Carter makes 2-pt jump shot from 20 ft,78,75
3,1:36.0,D. Carroll misses 3-pt jump shot from 26 ft,,78,75
3,1:33.0,,Defensive rebound by J. Green,78,75
3,1:14.0,,J. Carter misses 2-pt jump shot from 22 ft,78,75
3,1:10.0,Defensive rebound by D. Russell,,78,75
3,0:58.0,S. Dinwiddie misses 3-pt jump shot from 25 ft,,78,75
3,0:56.0,,Defensive rebound by K. Anderson,78,75
3,0:49.0,,K. Anderson makes 2-pt jump shot from 9 ft,78,77
3,0:41.0,S. Napier misses 3-pt jump shot from 23 ft,,78,77
3,0:37.0,,Defensive rebound by J. Green,78,77
3,0:32.0,,G. Temple misses 3-pt jump shot from 26 ft,78,77
3,0:29.0,Defensive rebound by D. Carroll,,78,77
3,0:14.0,D. Russell makes 3-pt jump shot from 26 ft,,81,77
3,0:02.0,,D. Brooks misses 2-pt jump shot from 16 ft,81,77
3,0:02.0,Defensive rebound by D. Carroll,,81,77
4,11:46.0,,M. Conley misses 2-pt jump shot from 12 ft,81,77
4,11:44.0,Defensive rebound by Team,,81,77
4,11:33.0,Shooting foul by J. Carter (drawn by D. Russell),,81,77
4,11:33.0,D. Russell makes free throw 1 of 2,,82,77
4,11:33.0,D. Russell makes free throw 2 of 2,,83,77
4,11:17.0,,J. Jackson makes 2-pt hook shot from 7 ft (assist by K. Anderson),83,79
4,11:00.0,Personal foul by J. Jackson (drawn by T. Graham),,83,79
4,10:52.0,D. Russell misses 3-pt jump shot from 26 ft,,83,79
4,10:48.0,,Defensive rebound by K. Anderson,83,79
4,10:45.0,,Personal foul by D. Carroll (drawn by J. Jackson),83,79
4,10:41.0,,M. Gasol misses 3-pt jump shot from 25 ft,83,79
4,10:38.0,,Offensive rebound by K. Anderson,83,79
4,10:30.0,,Offensive foul by M. Gasol (drawn by D. Carroll),83,79
4,10:30.0,,Turnover by M. Gasol (offensive foul),83,79
4,10:11.0,Turnover by T. Graham (step out of bounds),,83,79
4,10:01.0,,M. Conley makes 2-pt layup from 1 ft,83,81
4,9:53.0,Shooting foul by M. Conley (drawn by S. Napier),,83,81
4,9:53.0,S. Napier makes free throw 1 of 3,,84,81
4,9:53.0,S. Napier makes free throw 2 of 3,,85,81
4,9:53.0,S. Napier makes free throw 3 of 3,,86,81
4,9:31.0,,M. Conley misses 3-pt jump shot from 27 ft,86,81
4,9:27.0,Defensive rebound by T. Graham,,86,81
4,9:19.0,D. Carroll makes 3-pt jump shot from 25 ft (assist by S. Napier),,89,81
4,9:09.0,,Memphis full timeout,89,81
4,9:09.0,,G. Temple enters the game for J. Carter,89,81
4,9:00.0,,Shooting foul by S. Napier (drawn by M. Conley),89,81
4,9:00.0,,M. Conley makes free throw 1 of 2,89,82
4,9:00.0,,M. Conley misses free throw 2 of 2,89,82
4,8:58.0,Defensive rebound by E. Davis,,89,82
4,8:42.0,T. Graham misses 3-pt jump shot from 23 ft,,89,82
4,8:38.0,,Defensive rebound by M. Gasol,89,82
4,8:35.0,,M. Conley makes 2-pt layup at rim (assist by M. Gasol),89,84
4,8:28.0,D. Carroll makes 3-pt jump shot from 25 ft (assist by D. Russell),,92,84
4,8:02.0,,M. Gasol misses 3-pt jump shot from 26 ft,92,84
4,7:58.0,Defensive rebound by S. Napier,,92,84
4,7:51.0,D. Carroll misses 3-pt jump shot from 26 ft,,92,84
4,7:47.0,Offensive rebound by T. Graham,,92,84
4,7:34.0,T. Graham misses 2-pt jump shot from 21 ft,,92,84
4,7:31.0,,Defensive rebound by M. Gasol,92,84
4,7:27.0,,J. Jackson makes 2-pt jump shot from 4 ft (assist by K. Anderson),92,86
4,7:27.0,,Shooting foul by D. Carroll (drawn by J. Jackson),92,86
4,7:27.0,S. Dinwiddie enters the game for T. Graham,,92,86
4,7:27.0,J. Dudley enters the game for S. Napier,,92,86
4,7:27.0,,J. Jackson makes free throw 1 of 1,92,87
4,7:11.0,J. Dudley misses 3-pt jump shot from 26 ft,,92,87
4,7:07.0,,Defensive rebound by K. Anderson,92,87
4,7:03.0,,M. Conley misses 2-pt jump shot from 22 ft,92,87
4,7:02.0,Defensive rebound by Team,,92,87
4,7:02.0,Brooklyn full timeout,,92,87
4,7:02.0,J. Allen enters the game for E. Davis,,92,87
4,7:02.0,J. Harris enters the game for D. Russell,,92,87
4,6:43.0,D. Carroll makes 3-pt jump shot from 23 ft (assist by S. Dinwiddie),,95,87
4,6:16.0,,M. Gasol misses 2-pt jump shot from 11 ft,95,87
4,6:12.0,Defensive rebound by J. Harris,,95,87
4,5:56.0,J. Allen misses 2-pt hook shot from 7 ft,,95,87
4,5:54.0,,Defensive rebound by M. Gasol,95,87
4,5:42.0,,J. Jackson makes 2-pt jump shot from 11 ft (assist by K. Anderson),95,89
4,5:17.0,J. Allen misses 3-pt jump shot from 23 ft,,95,89
4,5:14.0,,Defensive rebound by M. Conley,95,89
4,5:08.0,,M. Gasol misses 3-pt jump shot from 26 ft,95,89
4,5:04.0,Defensive rebound by S. Dinwiddie,,95,89
4,4:59.0,S. Dinwiddie misses 2-pt layup from 2 ft,,95,89
4,4:54.0,Offensive rebound by J. Allen,,95,89
4,4:54.0,J. Allen makes 2-pt layup from 1 ft,,97,89
4,4:44.0,,M. Conley misses 2-pt layup from 1 ft,97,89
4,4:41.0,Defensive rebound by S. Dinwiddie,,97,89
4,4:38.0,J. Allen misses 2-pt layup from 3 ft,,97,89
4,4:34.0,,Defensive rebound by G. Temple,97,89
4,4:28.0,,K. Anderson makes 2-pt layup from 1 ft (assist by M. Gasol),97,91
4,4:28.0,,Shooting foul by J. Allen (drawn by K. Anderson),97,91
4,4:28.0,D. Russell enters the game for D. Carroll,,97,91
4,4:28.0,Brooklyn full timeout,,97,91
4,4:28.0,,Memphis full timeout,97,91
4,4:28.0,,K. Anderson makes free throw 1 of 1,97,92
4,4:20.0,J. Harris makes 2-pt layup from 2 ft (assist by D. Russell),,99,92
4,4:20.0,Shooting foul by J. Jackson (drawn by J. Harris),,99,92
4,4:20.0,J. Harris makes free throw 1 of 1,,100,92
