QUARTER,TIME_REMAINING,SACRAMENTO_ACTION,ATLANTA_ACTION,SACRAMENTO_SCORE,ATLANTA_SCORE
4,10:14.0,,O. Spellman enters the game for A. Len,117,92
4,10:06.0,Personal foul by K. Bazemore (drawn by Y. Ferrell),,117,92
4,9:51.0,F. Mason misses 3-pt jump shot from 26 ft (block by K. Bazemore),,117,92
4,9:46.0,,Defensive rebound by A. Poythress,117,92
4,9:44.0,,T. Prince misses 3-pt jump shot from 25 ft,117,92
4,9:39.0,Defensive rebound by Y. Ferrell,,117,92
4,9:38.0,F. Mason misses 2-pt layup from 1 ft (block by O. Spellman),,117,92
4,9:38.0,Offensive rebound by Team,,117,92
4,9:36.0,Y. Ferrell misses 3-pt jump shot from 25 ft,,117,92
4,9:32.0,,Defensive rebound by A. Poythress,117,92
4,9:30.0,,K. Bazemore makes 2-pt layup from 1 ft (assist by T. Young),117,94
4,9:30.0,Violation by Team (def goaltending),,117,94
4,9:23.0,Personal foul by O. Spellman (drawn by F. Mason),,117,94
4,9:23.0,B. Hield enters the game for Y. Ferrell,,117,94
4,9:23.0,,D. Bembry enters the game for K. Bazemore,117,94
4,9:11.0,F. Mason misses 3-pt jump shot from 25 ft,,117,94
4,9:07.0,,Defensive rebound by A. Poythress,117,94
4,9:04.0,,T. Young makes 2-pt layup from 1 ft,117,96
4,8:49.0,J. Jackson misses 3-pt jump shot from 22 ft,,117,96
4,8:49.0,Offensive rebound by Team,,117,96
4,8:49.0,,Loose ball foul by T. Young (drawn by M. Bagley),117,96
4,8:49.0,N. Bjelica enters the game for K. Koufos,,117,96
4,8:49.0,D. Fox enters the game for F. Mason,,117,96
4,8:49.0,,J. Lin enters the game for A. Poythress,117,96
4,8:27.0,Offensive foul by N. Bjelica (drawn by T. Young),,117,96
4,8:27.0,Turnover by N. Bjelica (offensive foul),,117,96
4,8:14.0,Violation by Team (kicked ball),,117,96
4,8:07.0,,T. Prince misses 3-pt jump shot from 23 ft,117,96
4,8:04.0,Defensive rebound by D. Fox,,117,96
4,8:01.0,B. Hield makes 3-pt jump shot from 26 ft (assist by D. Fox),,120,96
4,7:48.0,,T. Young misses 3-pt jump shot from 25 ft,120,96
4,7:45.0,Defensive rebound by B. Hield,,120,96
4,7:35.0,M. Bagley makes 2-pt hook shot from 11 ft,,122,96
4,7:26.0,,Turnover by T. Young (lost ball; steal by M. Bagley),122,96
4,7:20.0,M. Bagley misses 2-pt layup from 3 ft (block by D. Bembry),,122,96
4,7:17.0,,Defensive rebound by T. Prince,122,96
4,7:14.0,,J. Lin misses 3-pt jump shot from 26 ft,122,96
4,7:14.0,Defensive rebound by D. Fox,,122,96
4,7:04.0,Shooting foul by T. Young (drawn by D. Fox),,122,96
4,7:04.0,D. Fox makes free throw 1 of 3,,123,96
4,7:04.0,D. Fox makes free throw 2 of 3,,124,96
4,7:04.0,W. Cauley-Stein enters the game for M. Bagley,,124,96
4,7:04.0,I. Shumpert enters the game for J. Jackson,,124,96
4,7:04.0,,T. Dorsey enters the game for O. Spellman,124,96
4,7:04.0,,A. Len enters the game for T. Young,124,96
4,7:04.0,D. Fox makes free throw 3 of 3,,125,96
4,6:42.0,,J. Lin misses 3-pt jump shot from 24 ft,125,96
4,6:39.0,Defensive rebound by D. Fox,,125,96
4,6:34.0,I. Shumpert misses 3-pt jump shot from 23 ft,,125,96
4,6:30.0,,Defensive rebound by T. Dorsey,125,96
4,6:24.0,,T. Prince misses 3-pt jump shot from 25 ft,125,96
4,6:22.0,Defensive rebound by W. Cauley-Stein,,125,96
4,6:22.0,Sacramento full timeout,,125,96
4,6:22.0,B. McLemore enters the game for I. Shumpert,,125,96
4,6:22.0,,O. Spellman enters the game for T. Prince,125,96
4,6:14.0,B. McLemore makes 3-pt jump shot from 26 ft (assist by N. Bjelica),,128,96
4,5:55.0,,A. Len misses 3-pt jump shot from 24 ft,128,96
4,5:52.0,Defensive rebound by N. Bjelica,,128,96
4,5:36.0,W. Cauley-Stein makes 2-pt layup from 1 ft (assist by D. Fox),,130,96
4,5:29.0,,Personal foul by D. Fox (drawn by J. Lin),130,96
4,5:29.0,H. Giles enters the game for N. Bjelica,,130,96
4,5:29.0,J. Jackson enters the game for W. Cauley-Stein,,130,96
4,5:29.0,S. Labissière enters the game for D. Fox,,130,96
4,5:29.0,F. Mason enters the game for B. Hield,,130,96
4,5:21.0,,Turnover by J. Lin (bad pass; steal by H. Giles),130,96
4,5:12.0,B. McLemore misses 2-pt jump shot from 21 ft,,130,96
4,5:10.0,,Defensive rebound by A. Len,130,96
4,5:10.0,,Personal foul by B. McLemore (drawn by J. Lin),130,96
4,5:10.0,,M. Plumlee enters the game for A. Len,130,96
4,5:03.0,,J. Lin makes 3-pt jump shot from 26 ft (assist by O. Spellman),130,99
4,4:57.0,Turnover by B. McLemore (out of bounds lost ball),,130,99
4,4:45.0,,T. Dorsey misses 3-pt jump shot from 25 ft,130,99
4,4:38.0,Defensive rebound by S. Labissière,,130,99
4,4:33.0,Shooting foul by D. Bembry (drawn by F. Mason),,130,99
4,4:33.0,F. Mason makes free throw 1 of 2,,131,99
4,4:33.0,F. Mason makes free throw 2 of 2,,132,99
4,4:33.0,,A. Poythress enters the game for O. Spellman,132,99
4,4:18.0,,D. Bembry misses 3-pt jump shot from 25 ft,132,99
4,4:15.0,Defensive rebound by F. Mason,,132,99
4,4:09.0,S. Labissière makes 2-pt jump shot from 21 ft,,134,99
4,4:05.0,,Personal foul by B. McLemore (drawn by T. Dorsey),134,99
4,3:53.0,,D. Bembry misses 2-pt jump shot from 12 ft,134,99
4,3:49.0,Defensive rebound by H. Giles,,134,99
4,3:44.0,S. Labissière makes 2-pt dunk from 1 ft (assist by F. Mason),,136,99
4,3:36.0,,A. Poythress makes 2-pt layup from 1 ft (assist by J. Lin),136,101
4,3:24.0,Personal foul by J. Lin (drawn by F. Mason),,136,101
4,3:24.0,F. Mason makes free throw 1 of 2,,137,101
4,3:24.0,,O. Spellman enters the game for A. Poythress,137,101
4,3:24.0,F. Mason makes free throw 2 of 2,,138,101
4,3:11.0,,T. Dorsey makes 2-pt layup from 1 ft (assist by O. Spellman),138,103
4,3:11.0,,Shooting foul by F. Mason (drawn by T. Dorsey),138,103
4,3:11.0,,T. Dorsey makes free throw 1 of 1,138,104
4,3:04.0,S. Labissière misses 3-pt jump shot from 26 ft,,138,104
4,3:01.0,,Defensive rebound by D. Bembry,138,104
4,2:57.0,,O. Spellman makes 2-pt dunk from 1 ft (assist by D. Bembry),138,106
4,2:45.0,H. Giles makes 2-pt jump shot from 18 ft (assist by F. Mason),,140,106
4,2:26.0,,T. Dorsey misses 2-pt layup from 1 ft,140,106
4,2:24.0,Defensive rebound by S. Labissière,,140,106
4,2:20.0,F. Mason misses 3-pt jump shot from 24 ft,,140,106
4,2:16.0,,Defensive rebound by D. Bembry,140,106
4,2:11.0,,J. Lin makes 3-pt jump shot from 23 ft (assist by D. Bembry),140,109
4,1:49.0,Shooting foul by J. Lin (drawn by F. Mason),,140,109
4,1:49.0,F. Mason misses free throw 1 of 2,,140,109
4,1:49.0,Offensive rebound by Team,,140,109
4,1:49.0,F. Mason misses free throw 2 of 2,,140,109
4,1:47.0,Offensive rebound by H. Giles,,140,109
4,1:47.0,H. Giles makes 2-pt dunk from 1 ft,,142,109
4,1:27.0,,T. Dorsey makes 2-pt layup from 6 ft,142,111
4,1:27.0,,Shooting foul by B. McLemore (drawn by T. Dorsey),142,111
4,1:27.0,,T. Dorsey misses free throw 1 of 1,142,111
4,1:27.0,Defensive rebound by H. Giles,,142,111
4,1:22.0,J. Jackson makes 2-pt layup from 1 ft (assist by F. Mason),,144,111
4,1:13.0,,D. Bembry misses 2-pt layup from 1 ft,144,111
4,1:10.0,Defensive rebound by S. Labissière,,144,111
4,1:09.0,Turnover by S. Labissière (bad pass; steal by J. Lin),,144,111
4,1:09.0,,J. Lin makes 2-pt layup from 1 ft,144,113
4,1:09.0,Violation by Team (def goaltending),,144,113
4,0:57.0,Shooting foul by D. Bembry (drawn by S. Labissière),,144,113
4,0:57.0,S. Labissière makes free throw 1 of 2,,145,113
4,0:57.0,S. Labissière makes free throw 2 of 2,,146,113
4,0:47.0,,O. Spellman misses 3-pt jump shot from 25 ft,146,113
4,0:42.0,Defensive rebound by S. Labissière,,146,113
4,0:29.0,H. Giles misses 2-pt hook shot from 11 ft,,146,113
4,0:26.0,,Defensive rebound by O. Spellman,146,113
4,0:23.0,,J. Lin makes 2-pt layup from 1 ft,146,115
