QUARTER,TIME_REMAINING,DETROIT_ACTION,DENVER_ACTION,DETROIT_SCORE,DENVER_SCORE
2,9:48.0,,P. Millsap makes 3-pt jump shot from 25 ft (assist by M. Morris),15,38
2,9:33.0,L. Kennard misses 3-pt jump shot from 24 ft,,15,38
2,9:29.0,Offensive rebound by R. Jackson,,15,38
2,9:27.0,L. Kennard makes 3-pt jump shot from 23 ft (assist by R. Jackson),,18,38
2,9:02.0,,P. Millsap makes 2-pt jump shot from 12 ft (assist by M. Plumlee),18,40
2,8:50.0,A. Drummond misses 2-pt layup from 4 ft (block by M. Plumlee),,18,40
2,8:45.0,,Defensive rebound by J. Murray,18,40
2,8:40.0,,Turnover by P. Millsap (bad pass),18,40
2,8:19.0,W. Ellington makes 3-pt jump shot from 23 ft (assist by A. Drummond),,21,40
2,8:06.0,,M. Morris makes 2-pt jump shot from 5 ft,21,42
2,8:06.0,,Shooting foul by W. Ellington (drawn by M. Morris),21,42
2,8:06.0,,G. Harris enters the game for P. Millsap,21,42
2,8:06.0,,N. Jokić enters the game for J. Murray,21,42
2,8:06.0,,M. Morris misses free throw 1 of 1,21,42
2,8:02.0,Defensive rebound by A. Drummond,,21,42
2,7:54.0,L. Kennard misses 3-pt jump shot from 22 ft,,21,42
2,7:51.0,Offensive rebound by A. Drummond,,21,42
2,7:49.0,Personal foul by M. Plumlee (drawn by B. Griffin),,21,42
2,7:43.0,R. Jackson makes 2-pt jump shot from 7 ft,,23,42
2,7:29.0,,T. Craig misses 3-pt jump shot from 25 ft,23,42
2,7:26.0,Defensive rebound by A. Drummond,,23,42
2,7:21.0,W. Ellington makes 3-pt jump shot from 25 ft (assist by A. Drummond),,26,42
2,7:19.0,,Denver full timeout,26,42
2,7:19.0,,W. Barton enters the game for T. Craig,26,42
2,7:09.0,,N. Jokić misses 2-pt jump shot from 21 ft,26,42
2,7:05.0,Defensive rebound by A. Drummond,,26,42
2,6:58.0,W. Ellington misses 3-pt jump shot from 25 ft,,26,42
2,6:56.0,,Defensive rebound by N. Jokić,26,42
2,6:47.0,,N. Jokić misses 3-pt jump shot from 25 ft,26,42
2,6:44.0,Defensive rebound by B. Griffin,,26,42
2,6:33.0,B. Griffin makes 2-pt hook shot from 2 ft,,28,42
2,6:33.0,Shooting foul by G. Harris (drawn by B. Griffin),,28,42
2,6:33.0,L. Galloway enters the game for L. Kennard,,28,42
2,6:33.0,B. Griffin makes free throw 1 of 1,,29,42
2,6:11.0,,Turnover by N. Jokić (bad pass; steal by A. Drummond),29,42
2,6:10.0,Personal take foul by N. Jokić (drawn by R. Jackson),,29,42
2,5:55.0,L. Galloway misses 3-pt jump shot from 25 ft,,29,42
2,5:54.0,,Defensive rebound by Team,29,42
2,5:54.0,,J. Murray enters the game for M. Morris,29,42
2,5:44.0,,N. Jokić makes 2-pt jump shot from 10 ft,29,44
2,5:22.0,B. Griffin makes 2-pt layup from 3 ft,,31,44
2,5:22.0,Shooting foul by J. Murray (drawn by B. Griffin),,31,44
2,5:22.0,,P. Millsap enters the game for M. Plumlee,31,44
2,5:22.0,B. Griffin makes free throw 1 of 1,,32,44
2,5:12.0,,N. Jokić misses 3-pt jump shot from 25 ft,32,44
2,5:09.0,Defensive rebound by R. Jackson,,32,44
2,5:04.0,A. Drummond makes 2-pt layup from 1 ft (assist by R. Jackson),,34,44
2,4:47.0,,N. Jokić makes 2-pt jump shot from 17 ft,34,46
2,4:37.0,Personal foul by P. Millsap (drawn by B. Griffin),,34,46
2,4:37.0,Offensive rebound by Team,,34,46
2,4:37.0,B. Griffin misses free throw 1 of 2,,34,46
2,4:37.0,B. Griffin makes free throw 2 of 2,,35,46
2,4:22.0,,J. Murray makes 3-pt jump shot from 25 ft,35,49
2,4:09.0,Turnover by R. Jackson (bad pass; steal by J. Murray),,35,49
2,4:09.0,,Personal take foul by R. Jackson (drawn by J. Murray),35,49
2,3:51.0,,N. Jokić misses 3-pt jump shot from 25 ft,35,49
2,3:48.0,Defensive rebound by L. Galloway,,35,49
2,3:34.0,B. Griffin misses 3-pt jump shot from 26 ft,,35,49
2,3:31.0,,Defensive rebound by W. Barton,35,49
2,3:27.0,,W. Barton misses 3-pt jump shot from 25 ft,35,49
2,3:23.0,Defensive rebound by A. Drummond,,35,49
2,3:19.0,R. Jackson misses 3-pt jump shot from 25 ft,,35,49
2,3:16.0,,Defensive rebound by P. Millsap,35,49
2,2:59.0,,J. Murray misses 2-pt jump shot from 13 ft,35,49
2,2:56.0,Defensive rebound by B. Griffin,,35,49
2,2:52.0,L. Galloway misses 3-pt jump shot from 23 ft,,35,49
2,2:51.0,,Defensive rebound by Team,35,49
2,2:32.0,,N. Jokić makes 2-pt layup from 2 ft (assist by J. Murray),35,51
2,2:32.0,,Shooting foul by A. Drummond (drawn by N. Jokić),35,51
2,2:32.0,T. Maker enters the game for A. Drummond,,35,51
2,2:32.0,,N. Jokić misses free throw 1 of 1,35,51
2,2:30.0,Defensive rebound by B. Griffin,,35,51
2,2:26.0,Detroit full timeout,,35,51
2,2:21.0,B. Griffin misses 2-pt hook shot from 5 ft,,35,51
2,2:19.0,,Defensive rebound by N. Jokić,35,51
2,2:11.0,,N. Jokić makes 2-pt jump shot from 6 ft (assist by W. Barton),35,53
2,1:55.0,B. Griffin makes 2-pt layup from 2 ft (assist by R. Jackson),,37,53
2,1:35.0,,J. Murray makes 3-pt jump shot from 25 ft (assist by G. Harris),37,56
2,1:21.0,W. Ellington misses 3-pt jump shot from 24 ft,,37,56
2,1:18.0,,Defensive rebound by J. Murray,37,56
2,1:12.0,,J. Murray makes 2-pt layup from 1 ft (assist by N. Jokić),37,58
2,0:53.0,B. Griffin misses 3-pt jump shot from 23 ft,,37,58
2,0:51.0,,Defensive rebound by N. Jokić,37,58
2,0:46.0,,Shooting foul by B. Griffin (drawn by P. Millsap),37,58
2,0:46.0,,P. Millsap makes free throw 1 of 2,37,59
2,0:46.0,,M. Plumlee enters the game for N. Jokić,37,59
2,0:46.0,,P. Millsap makes free throw 2 of 2,37,60
