QUARTER,TIME_REMAINING,CHICAGO_ACTION,NEW ORLEANS_ACTION,CHICAGO_SCORE,NEW ORLEANS_SCORE
4,4:29.0,,A. Davis misses 2-pt layup from 1 ft,88,96
4,4:29.0,,Offensive rebound by N. Mirotić,88,96
4,4:19.0,,W. Johnson makes 2-pt jump shot from 20 ft (assist by A. Davis),88,98
4,4:17.0,Chicago full timeout,,88,98
4,4:17.0,W. Carter enters the game for R. Lopez,,88,98
4,4:02.0,W. Carter makes 2-pt dunk from 1 ft (assist by J. Parker),,90,98
4,3:42.0,,A. Davis misses 2-pt jump shot from 8 ft,90,98
4,3:39.0,Defensive rebound by J. Parker,,90,98
4,3:35.0,J. Parker makes 2-pt layup from 2 ft,,92,98
4,3:22.0,,J. Holiday misses 3-pt jump shot from 24 ft,92,98
4,3:20.0,Defensive rebound by J. Parker,,92,98
4,3:05.0,Z. LaVine misses 2-pt jump shot from 15 ft,,92,98
4,3:05.0,Offensive rebound by Team,,92,98
4,3:05.0,,J. Randle enters the game for N. Mirotić,92,98
4,2:53.0,J. Parker misses 2-pt layup from 1 ft (block by J. Holiday),,92,98
4,2:53.0,Offensive rebound by Team,,92,98
4,2:51.0,J. Holiday misses 3-pt jump shot from 23 ft,,92,98
4,2:47.0,,Defensive rebound by A. Davis,92,98
4,2:28.0,,A. Davis misses 3-pt jump shot from 26 ft,92,98
4,2:24.0,,Offensive rebound by J. Holiday,92,98
4,2:16.0,,J. Holiday makes 2-pt jump shot from 12 ft,92,100
4,2:03.0,Z. LaVine misses 2-pt layup from 3 ft,,92,100
4,1:58.0,,Defensive rebound by E. Moore,92,100
4,1:55.0,,J. Randle makes 2-pt layup from 2 ft,92,102
4,1:55.0,Chicago full timeout,,92,102
4,1:42.0,J. Parker makes 2-pt hook shot from 7 ft,,94,102
4,1:42.0,Shooting foul by J. Randle (drawn by J. Parker),,94,102
4,1:42.0,J. Parker makes free throw 1 of 1,,95,102
4,1:30.0,,Shooting foul by J. Holiday (drawn by J. Holiday),95,102
4,1:30.0,,J. Holiday makes free throw 1 of 2,95,103
4,1:30.0,,J. Holiday makes free throw 2 of 2,95,104
4,1:19.0,Z. LaVine misses 2-pt layup from 2 ft,,95,104
4,1:16.0,Offensive rebound by W. Carter,,95,104
4,1:13.0,Z. LaVine misses 2-pt dunk from 2 ft,,95,104
4,1:09.0,,Defensive rebound by A. Davis,95,104
4,0:50.0,,W. Johnson misses 2-pt jump shot from 20 ft,95,104
4,0:48.0,Defensive rebound by J. Parker,,95,104
4,0:44.0,Z. LaVine misses 2-pt layup from 3 ft (block by W. Johnson),,95,104
4,0:40.0,,Defensive rebound by J. Holiday,95,104
4,0:25.0,,Personal take foul by J. Parker (drawn by J. Randle),95,104
4,0:25.0,,J. Randle makes free throw 1 of 2,95,105
4,0:25.0,A. Blakeney enters the game for Z. LaVine,,95,105
4,0:25.0,,C. Diallo enters the game for A. Davis,95,105
4,0:25.0,,J. Randle misses free throw 2 of 2,95,105
4,0:23.0,Defensive rebound by W. Carter,,95,105
4,0:17.0,J. Holiday misses 3-pt jump shot from 25 ft,,95,105
4,0:14.0,,Defensive rebound by C. Diallo,95,105
4,0:14.0,,Personal take foul by J. Parker (drawn by C. Diallo),95,105
4,0:14.0,,C. Diallo makes free throw 1 of 2,95,106
4,0:14.0,C. Hutchison enters the game for J. Parker,,95,106
4,0:14.0,,T. Frazier enters the game for J. Holiday,95,106
4,0:14.0,,K. Williams enters the game for E. Moore,95,106
4,0:14.0,,C. Diallo makes free throw 2 of 2,95,107
4,0:09.0,R. Arcidiacono makes 3-pt jump shot from 25 ft,,98,107
